pos,change,title,days,peak,streams,total,artistIds
1,=,SOYEON - 퇴사할게여,,,1655936,,
2,=,ATEEZ - BAD,,,1241449,,
3,=,MEOMURU - 꿈꾸던 어른이 되었나요?,,,1028253,,
4,+1,CORTIS - REDRED,,,846358,,
5,+1,RESCENE - LOVE ATTACK,,,844747,,
6,+1,RESCENE - Pretty Girl,,,806856,,
7,-3,ROSÉ - new trick,,,790139,,
8,=,IU - Dear my crazy soulmate,,,780797,,
9,=,aespa - LEMONADE,,,685526,,
10,+4,"LEE CHANGSUB - Four seasons, and you",,,663650,,
11,-1,RESCENE - Deja Vu,,,624499,,
12,+6,IU - Unknown Planet,,,608476,,
13,-2,ILLIT - It's Me,,,555805,,
14,NEW,xikers - 'JUST FOR FUN' | xikers(싸이커스) 민재 & 수민 & 예찬,,,555313,,
15,-3,Hearts2Hearts - RUDE!,,,537145,,
16,-1,Girls' Generation - Skibidi,,,500770,,
17,-4,I.O.I - 갑자기,,,498694,,
18,-1,HWASA - Good Goodbye,,,478903,,
19,=,Lim Young Woong - 또또,,,477167,,
20,NEW,LE SSERAFIM - Made My Night,,,473959,,
