pos,change,title,days,peak,streams,total,artistIds
1,+1,Jung Kook - Seven (w/ Latto ),1158,1,77279,72613793,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
2,-1,CORTIS - REDRED,147,1,72785,14272542,1ebt9HnXdyYA6KgLXr1n4P
3,=,RESCENE - LOVE ATTACK,116,2,71049,7395532,5deOsjuFTKrNMJW3rKuL8S
4,=,BIG Naughty - Nostalgia,14,1,70044,964453,7cEaNXXTHx3LokbjUUyHal
5,+4,Jimin - Who,787,1,56326,105269877,1oSPZhvZMIrWW5I41kPkkY
6,=,Redoor - Forever Has Always Been,484,6,54735,10634371,5xhi1KB7WkPiTYb5Fm3YvS
7,-2,RESCENE - Pretty Girl,68,3,54353,3963045,5deOsjuFTKrNMJW3rKuL8S
8,-1,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1762,3,52872,12464483,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
9,+2,RESCENE - Deja Vu,105,8,50907,3712143,5deOsjuFTKrNMJW3rKuL8S
10,-2,aespa - LEMONADE,108,2,49763,7320604,6YVMFz59CuY7ngCxTxjpxE
11,+1,ATEEZ - BAD,76,7,48157,3419292,68KmkJeZGfwe1OUaivBa2L
12,+2,KiiiKiii - Pop Off Pop Off,35,1,47162,2036109,63sat2XSMKdwKfqspmYQKP
13,=,HANRORO - Landing in Love,426,1,46540,18706188,5wVJpXzuKV6Xj7Yhsf2uYx
14,-4,HANRORO - 0+0,361,1,45715,17524690,5wVJpXzuKV6Xj7Yhsf2uYx
15,=,IU - Dear my crazy soulmate,4,6,43576,173471,3HqSLMAZ3g3d5poNaI7GOU
16,+1,Hearts2Hearts - RUDE!,206,1,42534,11689172,1ZLU77nRzQIaP23mVSYpCQ
17,-1,ILLIT - It's Me,137,2,42291,8670663,36cgvBn0aadzOijnjjwqMN
18,=,Nerd Connection - If I have you only (My love X Nerd Connection),1033,13,41579,14113913,5WKUZJPvN1SScyggtPFShK
19,+1,HANRORO - Let Me Love My Youth,429,6,40018,12170340,5wVJpXzuKV6Xj7Yhsf2uYx
20,-1,BIGBANG - BiiiG,26,1,39400,1588495,4Kxlr1PRlDKEB0ekOCyHgX
21,+1,Hearts2Hearts - Lemon Tang,84,2,38913,4159376,1ZLU77nRzQIaP23mVSYpCQ
22,-1,IU - Unknown Planet,4,5,35964,168112,3HqSLMAZ3g3d5poNaI7GOU
23,=,I.O.I - Suddenly,117,4,35822,5879759,6RKnXXyprPjhBdCvL802Ku
24,+26,SOYEON - I’m gonna TOESA,5,24,35373,113051,6Xg22wJOAcnvPUfk5WvODH
25,-1,WOODZ - Drowning,712,7,35050,16655359,6y9nlaoynxSvoTGY09Vdcy
26,+1,Nerd Connection - ‎Good Night Good Dream,818,26,35005,9215086,5WKUZJPvN1SScyggtPFShK
27,-2,"Woo - We Are (w/ Loco , GRAY )",635,15,34319,8594666,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
28,-2,KiiiKiii - 404 (New Era),231,1,34211,10527865,63sat2XSMKdwKfqspmYQKP
29,-1,The Black Skirts - Ling Ling,312,28,32864,4699315,6WeDO4GynFmK4OxwkBzMW8
30,+1,TUIDE - SUN KISS,21,14,32863,701517,2uxeKIw5ancTu92x28Ctkf
31,-1,데이먼스 이어 Damons year - yours,1417,6,32683,20079599,2T5KKZuEEudb7alCJ1pCus
32,-3,JANNABI - for lovers who hesitate,1847,23,32019,12148182,2SY6OktZyMLdOnscX3DCyS
33,-1,OFFICIAL HIGE DANDISM - Pretender,812,19,30257,13311850,5Vo1hnCRmCM6M4thZCInCj
34,+1,Girls' Generation-HRS - Skibidi,12,34,30105,289980,1wlgozUz29VEBQxMDqQFK1
35,+10,Lim Young Woong - ToTo,5,35,29996,126326,75MOYjGEyyH5U4ZFHOPvxR
36,-2,Epik High - Love Love Love,306,5,29364,9528450,5snNHNlYT2UrtZo5HCJkiw
37,-4,YENA - Catch Catch,181,10,29271,6497363,49muoiIu4uea4PO8vueUNN
38,-2,TAEYEON - Bansanka,77,10,28862,2465856,3qNVuliS40BLgXGxhdBdqu
39,-2,JENNIE - FALLEN ANGEL,17,19,28614,568162,250b0Wlc5Vk0CoUsaCY84M
40,-1,RESCENE - Runaway,107,17,27503,2793537,5deOsjuFTKrNMJW3rKuL8S
41,=,JENNIE - Less than a Lover,52,3,27280,2448354,250b0Wlc5Vk0CoUsaCY84M
42,-2,fromis_9 - Vitamin ME,55,15,27045,1736605,24nUVBIlCGi4twz4nYxJum
43,=,Hearts2Hearts - FOCUS,329,6,27026,10202608,1ZLU77nRzQIaP23mVSYpCQ
44,=,ENHYPEN - Bloody Paradise,24,18,26883,761729,5t5FqBwTcgKTaWmfEbwQY9
45,-7,BOL4 - Please Summer!,52,18,26263,1477868,4k5fFEYgkWYrYvtOK3zVBl
46,=,Hearts2Hearts - STYLE,453,8,26048,12720489,1ZLU77nRzQIaP23mVSYpCQ
47,-5,LEE CHANHYUK - Endangered Love,416,11,25312,10367608,4RkTSLr5Qf79FfUkeaDKbl
48,-1,BTS - SWIM,178,1,25298,8650377,3Nrfpe0tUJi4K4DXYWgMUX
49,+2,Lim Young Woong - Please Be Happy,5,49,24549,111433,75MOYjGEyyH5U4ZFHOPvxR
50,-2,NMIXX - Heavy Serenade,126,3,24299,5061928,28ot3wh4oNmoFOdVajibBl
51,+1,Lim Young Woong - Moise,5,51,23612,109982,75MOYjGEyyH5U4ZFHOPvxR
52,+23,D.O. - Guitarist,5,52,23536,98963,2CQZr2RPZmrcvDnaod1ldC
53,-4,Jin - Don’t Say You Love Me,486,1,23525,24939936,5vV3bFXnN6D6N3Nj4xRvaV
54,+1,BIG Naughty - Vancouver,1235,33,23320,9052538,7cEaNXXTHx3LokbjUUyHal
55,+8,george - Boat,563,49,23310,5454770,2pRZp2WxvnWWiSPcSSYkNV
56,-3,Hearts2Hearts - ICONIC HEART,33,19,22955,917458,1ZLU77nRzQIaP23mVSYpCQ
57,+1,Lim Young Woong - Baila,5,56,22760,103895,75MOYjGEyyH5U4ZFHOPvxR
58,-2,Sung Si Kyung - Every moment of you,310,41,22597,4753239,7jFUYMpMUBDL4JQtMZ5ilc
59,-5,Lim Young Woong - For Us,5,54,22508,104144,75MOYjGEyyH5U4ZFHOPvxR
60,+12,Kim Na Young - A Letter For You,127,50,21809,2286628,4dvmLXorXADxVq8EcySEWk
61,+3,Lim Young Woong - New York,5,61,21727,98238,75MOYjGEyyH5U4ZFHOPvxR
