pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,,,1150821,,
2,+3,RESCENE - LOVE ATTACK,,,1076092,,
3,-1,RESCENE - Pretty Girl,,,1028257,,
4,=,aespa - LEMONADE,,,1005005,,
5,-2,Hwa Sa - Good Goodbye,,,954679,,
6,=,ILLIT - It's Me,,,918332,,
7,=,I.O.I - 갑자기,,,742940,,
8,=,ATEEZ - BAD,,,672088,,
9,=,Hearts2Hearts - RUDE!,,,627098,,
10,NEW,A2O - Love Got Me Ooh,,,535596,,
11,+1,RESCENE - Deja Vu,,,532192,,
12,-1,TAEYEON - Bansanka,,,519432,,
13,=,WOODZ - Drowning,,,477718,,
14,-4,QWER - Our Voyage,,,463827,,
15,-1,i-dle - Gimme Dat Love,,,459851,,
16,-1,YENA - 캐치 캐치,,,441524,,
17,=,HANRORO - 사랑하게 될 거야,,,409303,,
18,-2,OFFICIAL HIGE DANDISM - Pretender,,,408144,,
19,-1,tuki. - 晩餐歌,,,390773,,
20,-1,Hearts2Hearts - Lemon Tang,,,384374,,
