pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,109,1,82639,11379041,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,78,2,74368,4713010,5deOsjuFTKrNMJW3rKuL8S
3,=,JENNIE - Less than a Lover,14,3,61860,955027,250b0Wlc5Vk0CoUsaCY84M
4,+3,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1724,4,60827,10194940,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
5,-1,aespa - LEMONADE,70,2,60005,5276688,6YVMFz59CuY7ngCxTxjpxE
6,-1,RESCENE - Pretty Girl,30,3,57702,1884950,5deOsjuFTKrNMJW3rKuL8S
7,-1,Jimin - Who,749,1,53028,103124539,1oSPZhvZMIrWW5I41kPkkY
8,=,ILLIT - It's Me,99,2,51984,6925228,36cgvBn0aadzOijnjjwqMN
9,=,Hearts2Hearts - Lemon Tang,46,2,51648,2571964,1ZLU77nRzQIaP23mVSYpCQ
10,+1,HANRORO - 0+0,323,1,47316,15830671,5wVJpXzuKV6Xj7Yhsf2uYx
11,-1,ATEEZ - BAD,38,7,47091,1570282,68KmkJeZGfwe1OUaivBa2L
12,=,RESCENE - Deja Vu,67,10,45806,1887507,5deOsjuFTKrNMJW3rKuL8S
13,+1,I.O.I - Suddenly,79,4,45367,4372067,6RKnXXyprPjhBdCvL802Ku
14,-1,Hearts2Hearts - RUDE!,168,1,44102,10174236,1ZLU77nRzQIaP23mVSYpCQ
15,=,HANRORO - Landing in Love,388,1,42804,17102807,5wVJpXzuKV6Xj7Yhsf2uYx
16,=,Red Velvet - Surfin' Boy,4,16,40241,153188,1z4g3DjTBBZKhvAroFlhOM
17,=,fromis_9 - Vitamin ME,17,15,37888,596499,24nUVBIlCGi4twz4nYxJum
18,=,KiiiKiii - 404 (New Era),193,1,36651,9245347,63sat2XSMKdwKfqspmYQKP
19,+3,HANRORO - Let Me Love My Youth,391,6,35211,10794456,5wVJpXzuKV6Xj7Yhsf2uYx
20,+1,YENA - Catch Catch,143,10,34450,5320870,49muoiIu4uea4PO8vueUNN
21,-2,WOODZ - Drowning,674,7,34149,15341751,6y9nlaoynxSvoTGY09Vdcy
22,-2,Jung Kook - Seven (w/ Latto ),1120,1,33112,70778900,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
23,+1,Nerd Connection - If I have you only (My love X Nerd Connection),995,15,33106,12685104,5WKUZJPvN1SScyggtPFShK
24,-1,Jin - Don’t Say You Love Me,448,1,31518,23760643,5vV3bFXnN6D6N3Nj4xRvaV
25,=,NMIXX - Heavy Serenade,88,3,31365,4041972,28ot3wh4oNmoFOdVajibBl
26,+7,"Woo - We Are (w/ Loco , GRAY )",597,15,31227,7465780,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
27,-1,OFFICIAL HIGE DANDISM - Pretender,774,19,31124,12153085,5Vo1hnCRmCM6M4thZCInCj
28,-1,Redoor - Forever Has Always Been,446,17,31105,9158113,5xhi1KB7WkPiTYb5Fm3YvS
29,-1,TAEYEON - Bansanka,39,10,29560,1398710,3qNVuliS40BLgXGxhdBdqu
30,+7,BOL4 - Please Summer!,14,30,29263,293386,4k5fFEYgkWYrYvtOK3zVBl
31,+1,Epik High - Love Love Love,268,5,28840,8455769,5snNHNlYT2UrtZo5HCJkiw
32,-3,BTS - SWIM,140,1,28827,7602464,3Nrfpe0tUJi4K4DXYWgMUX
33,-2,AKMU - Paradise of Rumors,122,1,28516,5666820,6OwKE9Ez6ALxpTaKcT5ayv
34,+1,Hearts2Hearts - STYLE,415,8,28328,11763403,1ZLU77nRzQIaP23mVSYpCQ
35,-5,JANNABI - for lovers who hesitate,1809,26,28180,10977418,2SY6OktZyMLdOnscX3DCyS
36,-2,RESCENE - Runaway,69,17,27781,1689339,5deOsjuFTKrNMJW3rKuL8S
37,+1,tuki. - 晩餐歌,785,31,27503,8383540,1Y5vJqABeI6QI6R95EDV6o
38,+1,데이먼스 이어 Damons year - yours,1379,6,26822,19000552,2T5KKZuEEudb7alCJ1pCus
39,-3,Hearts2Hearts - FOCUS,291,6,26357,9232738,1ZLU77nRzQIaP23mVSYpCQ
40,+3,CORTIS - GO!,311,6,25680,7509232,1ebt9HnXdyYA6KgLXr1n4P
41,+3,ILLIT - Magnetic,865,1,25659,20615589,36cgvBn0aadzOijnjjwqMN
42,=,Ariana Grande - hate that i made you love me,69,15,25507,2078181,66CXWjxzNUsdJxJ2JdwvnR
43,-3,VINXEN - FLYING HIGH WITH U,172,21,25478,3893993,4T6xiCykTP9rCNaEPU7D4q
44,+2,CORTIS - ACAI,95,32,25295,2228211,1ebt9HnXdyYA6KgLXr1n4P
45,-4,Nerd Connection - ‎Good Night Good Dream,780,28,25068,8156816,5WKUZJPvN1SScyggtPFShK
46,+2,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",140,2,24465,6245322,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
47,=,LEE CHANHYUK - Endangered Love,378,11,24019,9440699,4RkTSLr5Qf79FfUkeaDKbl
48,-3,Lim Young Woong - Eternal Moment,343,16,23908,7806130,75MOYjGEyyH5U4ZFHOPvxR
