pos,change,title,days,peak,streams,total,artistIds
1,=,Jung Kook - Seven (w/ Latto ),1167,1,73150,73268744,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
2,=,SOYEON - I’m gonna TOESA,14,2,71509,651991,6Xg22wJOAcnvPUfk5WvODH
3,=,RESCENE - LOVE ATTACK,125,1,69797,8009228,5deOsjuFTKrNMJW3rKuL8S
4,+1,CORTIS - REDRED,156,1,65018,14874611,1ebt9HnXdyYA6KgLXr1n4P
5,-1,Jimin - Who,796,1,59404,105813313,1oSPZhvZMIrWW5I41kPkkY
6,=,BIG Naughty - Nostalgia,23,1,55781,1519816,7cEaNXXTHx3LokbjUUyHal
7,=,RESCENE - Deja Vu,114,7,54752,4178468,5deOsjuFTKrNMJW3rKuL8S
8,=,Redoor - Forever Has Always Been,493,6,50944,11108449,5xhi1KB7WkPiTYb5Fm3YvS
9,+1,RESCENE - Pretty Girl,77,3,50470,4421951,5deOsjuFTKrNMJW3rKuL8S
10,+1,ATEEZ - BAD,85,7,48922,3860555,68KmkJeZGfwe1OUaivBa2L
11,-2,IU - Dear my crazy soulmate,13,6,48813,624881,3HqSLMAZ3g3d5poNaI7GOU
12,=,HANRORO - 0+0,370,1,46839,17961230,5wVJpXzuKV6Xj7Yhsf2uYx
13,+3,Nerd Connection - If I have you only (My love X Nerd Connection),1042,13,44063,14497041,5WKUZJPvN1SScyggtPFShK
14,-1,aespa - LEMONADE,117,2,43353,7738280,6YVMFz59CuY7ngCxTxjpxE
15,+2,KiiiKiii - Pop Off Pop Off,44,1,42639,2435447,63sat2XSMKdwKfqspmYQKP
16,-1,HANRORO - Landing in Love,435,1,42585,19096526,5wVJpXzuKV6Xj7Yhsf2uYx
17,-3,IU - Unknown Planet,13,5,41639,547988,3HqSLMAZ3g3d5poNaI7GOU
18,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1771,3,41446,12868608,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
19,=,Hearts2Hearts - RUDE!,215,1,38842,12047398,1ZLU77nRzQIaP23mVSYpCQ
20,=,HANRORO - Let Me Love My Youth,438,6,38451,12520040,5wVJpXzuKV6Xj7Yhsf2uYx
21,=,ILLIT - It's Me,146,2,38296,9026973,36cgvBn0aadzOijnjjwqMN
22,=,I.O.I - Suddenly,126,4,36990,6210215,6RKnXXyprPjhBdCvL802Ku
