pos,change,title,days,peak,streams,total,artistIds
1,=,Jung Kook - Seven (w/ Latto ),1154,1,72312,72336188,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
2,+1,CORTIS - REDRED,143,1,68912,13991012,1ebt9HnXdyYA6KgLXr1n4P
3,+1,RESCENE - LOVE ATTACK,112,2,65759,7123672,5deOsjuFTKrNMJW3rKuL8S
4,-2,BIG Naughty - Nostalgia,10,1,65324,700226,7cEaNXXTHx3LokbjUUyHal
5,=,Jimin - Who,783,1,58044,105053524,1oSPZhvZMIrWW5I41kPkkY
6,+1,RESCENE - Pretty Girl,64,3,51029,3758698,5deOsjuFTKrNMJW3rKuL8S
7,+2,aespa - LEMONADE,104,2,50389,7118797,6YVMFz59CuY7ngCxTxjpxE
8,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1758,3,50132,12264861,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
9,-3,KiiiKiii - Pop Off Pop Off,31,1,49826,1850308,63sat2XSMKdwKfqspmYQKP
10,=,RESCENE - Deja Vu,101,8,48680,3520680,5deOsjuFTKrNMJW3rKuL8S
11,=,ATEEZ - BAD,72,7,47760,3230080,68KmkJeZGfwe1OUaivBa2L
12,+2,HANRORO - 0+0,357,1,47212,17332153,5wVJpXzuKV6Xj7Yhsf2uYx
13,=,Redoor - Forever Has Always Been,480,13,46930,10428339,5xhi1KB7WkPiTYb5Fm3YvS
14,-2,BIGBANG - BiiiG,22,1,45819,1421077,4Kxlr1PRlDKEB0ekOCyHgX
15,+1,HANRORO - Landing in Love,422,1,44563,18520459,5wVJpXzuKV6Xj7Yhsf2uYx
16,+1,Hearts2Hearts - RUDE!,202,1,40788,11522607,1ZLU77nRzQIaP23mVSYpCQ
17,-2,ILLIT - It's Me,133,2,40247,8505555,36cgvBn0aadzOijnjjwqMN
18,+4,HANRORO - Let Me Love My Youth,425,6,39387,12010613,5wVJpXzuKV6Xj7Yhsf2uYx
19,=,Nerd Connection - If I have you only (My love X Nerd Connection),1029,13,38191,13953208,5WKUZJPvN1SScyggtPFShK
20,+1,TUIDE - SUN KISS,17,14,36535,569428,2uxeKIw5ancTu92x28Ctkf
21,-3,I.O.I - Suddenly,113,4,36445,5738524,6RKnXXyprPjhBdCvL802Ku
22,-2,Hearts2Hearts - Lemon Tang,80,2,36225,4011167,1ZLU77nRzQIaP23mVSYpCQ
23,=,WOODZ - Drowning,708,7,35333,16514092,6y9nlaoynxSvoTGY09Vdcy
24,+3,KiiiKiii - 404 (New Era),227,1,33351,10392804,63sat2XSMKdwKfqspmYQKP
25,+1,JENNIE - FALLEN ANGEL,13,19,33059,450010,250b0Wlc5Vk0CoUsaCY84M
26,+4,"Woo - We Are (w/ Loco , GRAY )",631,15,32234,8463533,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
27,-3,JENNIE - Less than a Lover,48,3,31833,2334843,250b0Wlc5Vk0CoUsaCY84M
28,-3,JANNABI - for lovers who hesitate,1843,23,31457,12028993,2SY6OktZyMLdOnscX3DCyS
29,+4,Nerd Connection - ‎Good Night Good Dream,814,28,30971,9087448,5WKUZJPvN1SScyggtPFShK
30,+6,The Black Skirts - Ling Ling,308,30,30499,4572411,6WeDO4GynFmK4OxwkBzMW8
31,-3,ENHYPEN - Bloody Paradise,20,18,30164,650917,5t5FqBwTcgKTaWmfEbwQY9
32,-1,데이먼스 이어 Damons year - yours,1413,6,30054,19955657,2T5KKZuEEudb7alCJ1pCus
33,-4,OFFICIAL HIGE DANDISM - Pretender,808,19,29918,13192428,5Vo1hnCRmCM6M4thZCInCj
34,+4,Girls' Generation-HRS - Skibidi,8,34,29111,173282,1wlgozUz29VEBQxMDqQFK1
35,-3,TAEYEON - Bansanka,73,10,28679,2351489,3qNVuliS40BLgXGxhdBdqu
36,+1,Jin - Don’t Say You Love Me,482,1,28212,24836742,5vV3bFXnN6D6N3Nj4xRvaV
37,-2,Epik High - Love Love Love,302,5,27686,9413803,5snNHNlYT2UrtZo5HCJkiw
38,-4,RESCENE - Runaway,103,17,27428,2679692,5deOsjuFTKrNMJW3rKuL8S
39,=,YENA - Catch Catch,177,10,26921,6384077,49muoiIu4uea4PO8vueUNN
40,=,BTS - SWIM,174,1,26802,8546113,3Nrfpe0tUJi4K4DXYWgMUX
41,+1,BOL4 - Please Summer!,48,18,26291,1369983,4k5fFEYgkWYrYvtOK3zVBl
42,+1,Hearts2Hearts - FOCUS,325,6,25790,10096973,1ZLU77nRzQIaP23mVSYpCQ
43,+1,fromis_9 - Vitamin ME,51,15,25487,1629887,24nUVBIlCGi4twz4nYxJum
44,+3,NMIXX - Heavy Serenade,122,3,25218,4964817,28ot3wh4oNmoFOdVajibBl
45,+1,Hearts2Hearts - STYLE,449,8,25178,12616472,1ZLU77nRzQIaP23mVSYpCQ
46,-1,LEE CHANHYUK - Endangered Love,412,11,24382,10267712,4RkTSLr5Qf79FfUkeaDKbl
47,+1,TUIDE - GRLS,17,35,24199,423027,2uxeKIw5ancTu92x28Ctkf
48,+1,Hearts2Hearts - ICONIC HEART,29,19,24065,825531,1ZLU77nRzQIaP23mVSYpCQ
49,+1,Red Velvet - Surfin' Boy,38,12,22053,1249765,1z4g3DjTBBZKhvAroFlhOM
50,+3,Kim Na Young - A Letter For You,123,50,21340,2202708,4dvmLXorXADxVq8EcySEWk
51,=,RESCENE - Pinball,67,50,21316,1240611,5deOsjuFTKrNMJW3rKuL8S
52,-11,Lim Young Woong - Eternal Moment,377,16,21197,8682398,75MOYjGEyyH5U4ZFHOPvxR
53,+25,"Car, the garden - My whole world",250,3,20658,6316557,7c1HgFDe8ogy5NOZ1ANCJQ
54,+7,JISOO - CLICK,6,54,20279,102489,6UZ0ba50XreR4TM8u322gs
55,+1,Lady Gaga - Die With A Smile (w/ Bruno Mars ),755,5,20244,14686473,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
56,+6,BIG Naughty - Vancouver,1231,33,20099,8965032,7cEaNXXTHx3LokbjUUyHal
57,NEW,Lim Young Woong - ToTo,1,57,20053,20053,75MOYjGEyyH5U4ZFHOPvxR
58,+19,Sung Si Kyung - Every moment of you,306,41,19608,4665835,7jFUYMpMUBDL4JQtMZ5ilc
59,-2,ILLIT - Magnetic,899,1,19489,21372182,36cgvBn0aadzOijnjjwqMN
60,NEW,Lim Young Woong - Moise,1,60,19419,19419,75MOYjGEyyH5U4ZFHOPvxR
61,-3,Jung Kook - Standing Next to You,1039,3,19282,27702246,6HaGTQPmzraVmaVxvz6EUc
62,-2,tuki. - 晩餐歌,819,30,19167,9220784,1Y5vJqABeI6QI6R95EDV6o
63,NEW,Lim Young Woong - Please Be Happy,1,63,18952,18952,75MOYjGEyyH5U4ZFHOPvxR
64,-10,"AKMU - How can I love the heartbreak, you're the one I love",1097,24,18852,9455024,6OwKE9Ez6ALxpTaKcT5ayv
65,+4,aespa - Whiplash,676,3,18797,18289727,6YVMFz59CuY7ngCxTxjpxE
66,+37,The NuTs - 사랑의 바보,621,50,18793,7389915,56NKtypwi90dIOb5ZQZwHb
67,-8,Ariana Grande - hate that i made you love me,103,15,18618,2757387,66CXWjxzNUsdJxJ2JdwvnR
68,-16,george - Boat,559,49,18587,5374601,2pRZp2WxvnWWiSPcSSYkNV
69,-14,KiiiKiii - Candy Pink Magic Hole Flip Phone,31,21,18576,815927,63sat2XSMKdwKfqspmYQKP
70,-6,"Heize - And July (w/ DEAN , dj friz )",113,53,18544,2018956,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
