pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,,,1243214,,
2,=,RESCENE - Pretty Girl,,,1177069,,
3,+1,aespa - LEMONADE,,,1144382,,
4,-1,RESCENE - LOVE ATTACK,,,1128263,,
5,+8,Hwa Sa - Good Goodbye,,,933694,,
6,-1,ILLIT - It's Me,,,932125,,
7,=,I.O.I - 갑자기,,,807632,,
8,-2,ATEEZ - BAD,,,785626,,
9,=,Hearts2Hearts - RUDE!,,,648714,,
10,-2,TAEYEON - Bansanka,,,643273,,
11,-1,RESCENE - Deja Vu,,,595345,,
12,=,YEONJUN - Ice Cream,,,584979,,
13,-2,i-dle - Gimme Dat Love,,,518772,,
14,=,WOODZ - Drowning,,,492419,,
15,+1,OFFICIAL HIGE DANDISM - Pretender,,,456096,,
16,-1,HANRORO - 사랑하게 될 거야,,,448972,,
17,=,tuki. - 晩餐歌,,,445752,,
18,NEW,YENA - 캐치 캐치,,,433392,,
19,-1,Hearts2Hearts - Lemon Tang,,,431288,,
20,-1,HANRORO - 0+0,,,411675,,
