pos,change,title,days,peak,streams,total,artistIds
1,=,aespa - LEMONADE,,,962309,,
2,=,RESCENE - LOVE ATTACK,,,947147,,
3,=,CORTIS - REDRED,,,884986,,
4,=,ATEEZ - BAD,,,843902,,
5,=,ILLIT - It's Me,,,833252,,
6,=,RESCENE - Pretty Girl,,,704490,,
7,=,I.O.I - 갑자기,,,633169,,
8,+1,Hearts2Hearts - RUDE!,,,610064,,
9,-1,JENNIE - Less than a Lover,,,563428,,
10,=,RESCENE - Deja Vu,,,562346,,
11,+1,HWASA - Good Goodbye,,,483394,,
12,-1,TAEYEON - Bansanka,,,474966,,
13,=,WOODZ - Drowning,,,458256,,
14,=,BOL4 - Please Summer!,,,427954,,
15,+3,YENA - 캐치 캐치,,,420470,,
16,=,HANRORO - 사랑하게 될 거야,,,392001,,
17,-2,tuki. - 晩餐歌,,,382561,,
18,-1,OFFICIAL HIGE DANDISM - Pretender,,,378420,,
19,+1,Hearts2Hearts - Lemon Tang,,,370821,,
20,NEW,fromis_9 - Vitamin ME,,,364571,,
