pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,,,1114556,,
2,=,ATEEZ - BAD,,,979390,,
3,=,RESCENE - LOVE ATTACK,,,860948,,
4,=,aespa - LEMONADE,,,783510,,
5,=,CORTIS - REDRED,,,718426,,
6,=,RESCENE - Pretty Girl,,,670135,,
7,+4,RESCENE - Deja Vu,,,567678,,
8,=,JENNIE - FALLEN ANGEL,,,554801,,
9,+1,Hearts2Hearts - RUDE!,,,540719,,
10,-3,ILLIT - It's Me,,,539567,,
11,-2,LEE SUHYUN - Blue Lagoon (Korean Ver.),,,523631,,
12,=,I.O.I - 갑자기,,,493898,,
13,=,KiiiKiii - Pop Off Pop Off,,,447257,,
14,+1,TAEYEON - Bansanka,,,420444,,
15,+1,WOODZ - Drowning,,,404566,,
16,+1,Choi Yu Ree - 생각을 멈추다 보면,,,381542,,
17,-3,YENA - 캐치 캐치,,,368941,,
18,=,OFFICIAL HIGE DANDISM - Pretender,,,358190,,
19,NEW,BIG Naughty - Nostalgia,,,354513,,
20,-1,HWASA - Good Goodbye,,,347898,,
