pos,change,title,days,peak,streams,total,artistIds
53,-2,"HAON - TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush) (w/ Nosun , Raf Sandou , Marv , Jung Junhyuk , ZICO )",139,2,21999,5804976,2krUNMgFZYm5s4Nn0g91W9;0BHYZCuuyLl53LVgeC3pUa;4FBKTurCVdtC6Fq8mSQgj8;1V2ep7618bYgCcTVyDKPcW;3AfvvgMrTONEdoXOfWrBoS;4XpUIb8uuNlIWVKmgKZXC0
54,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1709,31,21787,9673420,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
55,+1,Kim Na Young - A Letter For You,74,53,20497,1264618,4dvmLXorXADxVq8EcySEWk
56,-3,Sung Si Kyung - Every moment of you,257,41,20458,3771924,7jFUYMpMUBDL4JQtMZ5ilc
57,+19,Yerin Baek - Antifreeze,650,5,20064,6597752,6dhfy4ByARPJdPtMyrUYJK
58,+13,ILLIT - NOT CUTE ANYMORE,241,2,19841,7004344,36cgvBn0aadzOijnjjwqMN
59,+5,The Black Skirts - 1:05,462,45,19414,5953778,6WeDO4GynFmK4OxwkBzMW8
60,-5,The Black Skirts - Ling Ling,259,54,19315,3457096,6WeDO4GynFmK4OxwkBzMW8
61,+12,Dominic Fike - Babydoll,127,58,19293,2061562,6USv9qhCn6zfxlBQIYJ9qs
62,+3,"Heize - And July (w/ DEAN , dj friz )",64,53,19273,1177010,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
63,-11,RESCENE - Pinball,18,50,19140,306250,5deOsjuFTKrNMJW3rKuL8S
64,-6,"AKMU - How can I love the heartbreak, you're the one I love",1048,24,18997,8559715,6OwKE9Ez6ALxpTaKcT5ayv
65,-3,Brown Eyes - 벌써 일년,490,34,18981,7044828,6O7LgtO6NKOOOudzRayUfJ
66,+9,NMIXX - Blue Valentine,283,3,18454,8508035,28ot3wh4oNmoFOdVajibBl
67,+11,NewJeans - Supernatural,753,1,18247,13049956,6HvZYsbFfjnjFrWF950C9d
68,+43,NewJeans - Attention,1426,1,18245,18733885,6HvZYsbFfjnjFrWF950C9d
69,-8,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park ),450,49,18031,5487179,2dd5mrQZvg6SmahdgVKDzh;7MNyflLAWpaH0EPw1fdORD
70,-4,aespa - WDA (Whole Different Animal) (w/ G-DRAGON ),73,5,18015,2688356,6YVMFz59CuY7ngCxTxjpxE;30b9WulBM8sFuBo17nNq9c
71,+17,NewJeans - Ditto,1312,1,17932,24002073,6HvZYsbFfjnjFrWF950C9d
72,-15,Jimin - Be Mine,714,2,17844,28030796,1oSPZhvZMIrWW5I41kPkkY
73,-4,ILLIT - Billyeoon Goyangi (Do the Dance),402,4,17800,9742853,36cgvBn0aadzOijnjjwqMN
74,+11,NewJeans - How Sweet,786,1,17786,14664600,6HvZYsbFfjnjFrWF950C9d
75,+6,The NuTs - 사랑의 바보,572,50,17538,6615487,56NKtypwi90dIOb5ZQZwHb
76,+19,ROSÉ - toxic till the end,595,2,17399,12681690,3eVa5w3URK5duf6eyVDbu9
77,+2,Primary - Johnny (w/ Dynamicduo ),416,64,17373,5001835,4QDcs3XrA8uHUZ7Xt9Ytep;4nvFFLtv7ZqoTr83387uK4
78,+11,"AKMU - Joy, Sorrow, A Beautiful Heart",107,3,17359,3831506,6OwKE9Ez6ALxpTaKcT5ayv
79,-12,CORTIS - YOUNGCREATORCREW,80,18,17283,1978364,1ebt9HnXdyYA6KgLXr1n4P
80,+21,COOL - 애상,86,71,17277,966744,0w3PsroIezW7uRTNxEJLb9
81,-9,Lady Gaga - Die With A Smile (w/ Bruno Mars ),706,5,17276,13793991,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
82,+1,10CM - To Reach You,275,8,17238,4435013,6zn0ihyAApAYV51zpXxdEp
83,+4,Epik High - 우산 (w/ Younha ),196,50,17214,2413762,5snNHNlYT2UrtZo5HCJkiw;6GwM5CHqhWXzG3l5kzRSAS
84,-16,BTS - NORMAL,98,12,17199,2331749,3Nrfpe0tUJi4K4DXYWgMUX
85,-11,BIG Naughty - Vancouver,1182,33,16978,8150760,7cEaNXXTHx3LokbjUUyHal
86,-6,aespa - Whiplash,640,3,16880,17652871,6YVMFz59CuY7ngCxTxjpxE
87,-5,Kenshi Yonezu - IRIS OUT,311,1,16829,14230590,1snhtMLeb2DYoMOcVbb8iB
