pos,change,title,days,peak,streams,total,artistIds
1,+1,CORTIS - REDRED,126,1,82810,12722819,1ebt9HnXdyYA6KgLXr1n4P
2,-1,BIGBANG - BiiiG,5,1,82313,429449,4Kxlr1PRlDKEB0ekOCyHgX
3,=,RESCENE - LOVE ATTACK,95,2,73206,5950856,5deOsjuFTKrNMJW3rKuL8S
4,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1741,3,69126,11311873,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
5,=,KiiiKiii - Pop Off Pop Off,14,1,67103,870006,63sat2XSMKdwKfqspmYQKP
6,=,RESCENE - Pretty Girl,47,3,58244,2856261,5deOsjuFTKrNMJW3rKuL8S
7,=,aespa - LEMONADE,87,2,56963,6236805,6YVMFz59CuY7ngCxTxjpxE
8,=,Jimin - Who,766,1,54783,104096296,1oSPZhvZMIrWW5I41kPkkY
9,+2,RESCENE - Deja Vu,84,8,50869,2705818,5deOsjuFTKrNMJW3rKuL8S
10,-1,ATEEZ - BAD,55,7,50435,2386567,68KmkJeZGfwe1OUaivBa2L
11,-1,ILLIT - It's Me,116,2,50110,7751698,36cgvBn0aadzOijnjjwqMN
12,+1,Hearts2Hearts - Lemon Tang,63,2,43726,3340038,1ZLU77nRzQIaP23mVSYpCQ
13,+11,Jung Kook - Seven (w/ Latto ),1137,1,43329,71351697,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
14,-2,HANRORO - 0+0,340,1,43280,16580738,5wVJpXzuKV6Xj7Yhsf2uYx
15,-1,I.O.I - Suddenly,96,4,41957,5082622,6RKnXXyprPjhBdCvL802Ku
16,-1,HANRORO - Landing in Love,405,1,41118,17809702,5wVJpXzuKV6Xj7Yhsf2uYx
17,-1,Hearts2Hearts - RUDE!,185,1,38351,10865245,1ZLU77nRzQIaP23mVSYpCQ
18,=,Redoor - Forever Has Always Been,463,17,37437,9729692,5xhi1KB7WkPiTYb5Fm3YvS
19,-2,Nerd Connection - If I have you only (My love X Nerd Connection),1012,15,36496,13280258,5WKUZJPvN1SScyggtPFShK
20,-1,WOODZ - Drowning,691,7,35428,15915893,6y9nlaoynxSvoTGY09Vdcy
21,=,JENNIE - Less than a Lover,31,3,34438,1711235,250b0Wlc5Vk0CoUsaCY84M
22,+5,Hearts2Hearts - ICONIC HEART,12,19,34141,341198,1ZLU77nRzQIaP23mVSYpCQ
23,-3,HANRORO - Let Me Love My Youth,408,6,33709,11389601,5wVJpXzuKV6Xj7Yhsf2uYx
24,-2,KiiiKiii - Candy Pink Magic Hole Flip Phone,14,21,33478,386136,63sat2XSMKdwKfqspmYQKP
25,=,KiiiKiii - 404 (New Era),210,1,33006,9840075,63sat2XSMKdwKfqspmYQKP
26,=,BOL4 - Please Summer!,31,18,32968,854329,4k5fFEYgkWYrYvtOK3zVBl
27,-4,YENA - Catch Catch,160,10,32431,5879088,49muoiIu4uea4PO8vueUNN
28,=,Red Velvet - Surfin' Boy,21,12,31811,799367,1z4g3DjTBBZKhvAroFlhOM
29,+4,Jin - Don’t Say You Love Me,465,1,31278,24328167,5vV3bFXnN6D6N3Nj4xRvaV
30,-1,RESCENE - Runaway,86,17,31210,2185486,5deOsjuFTKrNMJW3rKuL8S
31,+3,OFFICIAL HIGE DANDISM - Pretender,791,19,30361,12668589,5Vo1hnCRmCM6M4thZCInCj
32,-1,fromis_9 - Vitamin ME,34,15,29799,1174742,24nUVBIlCGi4twz4nYxJum
33,+2,"Woo - We Are (w/ Loco , GRAY )",614,15,29377,7961606,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
34,-2,Epik High - Love Love Love,285,5,28896,8921507,5snNHNlYT2UrtZo5HCJkiw
35,+13,ENHYPEN - Bloody Paradise,3,35,28601,76577,5t5FqBwTcgKTaWmfEbwQY9
36,=,데이먼스 이어 Damons year - yours,1396,6,28284,19453942,2T5KKZuEEudb7alCJ1pCus
37,-7,JANNABI - for lovers who hesitate,1826,26,27857,11471228,2SY6OktZyMLdOnscX3DCyS
38,+1,NMIXX - Heavy Serenade,105,3,27075,4527742,28ot3wh4oNmoFOdVajibBl
39,-1,Nerd Connection - ‎Good Night Good Dream,797,28,26854,8601606,5WKUZJPvN1SScyggtPFShK
40,-3,tuki. - 晩餐歌,802,30,26718,8837612,1Y5vJqABeI6QI6R95EDV6o
41,-1,BTS - SWIM,157,1,26270,8079244,3Nrfpe0tUJi4K4DXYWgMUX
42,+3,TAEYEON - Bansanka,56,10,25809,1859659,3qNVuliS40BLgXGxhdBdqu
43,+1,Lim Young Woong - Eternal Moment,360,16,25536,8230407,75MOYjGEyyH5U4ZFHOPvxR
44,-3,LEE CHANHYUK - Endangered Love,395,11,25318,9847524,4RkTSLr5Qf79FfUkeaDKbl
45,+2,VINXEN - FLYING HIGH WITH U,189,21,25127,4311474,4T6xiCykTP9rCNaEPU7D4q
46,=,Hearts2Hearts - FOCUS,308,6,24978,9667551,1ZLU77nRzQIaP23mVSYpCQ
47,+3,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",157,2,24818,6652101,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
48,+1,Hearts2Hearts - STYLE,432,8,24812,12198664,1ZLU77nRzQIaP23mVSYpCQ
49,-7,AKMU - Paradise of Rumors,139,1,24299,6102972,6OwKE9Ez6ALxpTaKcT5ayv
50,-7,The Black Skirts - Ling Ling,291,41,23038,4098360,6WeDO4GynFmK4OxwkBzMW8
51,=,ILLIT - Magnetic,882,1,21104,21022741,36cgvBn0aadzOijnjjwqMN
52,+4,RESCENE - Pinball,50,50,20868,902658,5deOsjuFTKrNMJW3rKuL8S
53,=,CORTIS - GO!,328,6,20772,7895562,1ebt9HnXdyYA6KgLXr1n4P
54,-2,Dominic Fike - Babydoll,159,51,20664,2680178,6USv9qhCn6zfxlBQIYJ9qs
55,=,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park ),482,49,19753,6085312,2dd5mrQZvg6SmahdgVKDzh;7MNyflLAWpaH0EPw1fdORD
56,+13,"Heize - And July (w/ DEAN , dj friz )",96,53,18954,1718900,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
57,+1,Kim Na Young - A Letter For You,106,53,18517,1860335,4dvmLXorXADxVq8EcySEWk
58,+1,The Black Skirts - 1:05,494,45,18512,6508386,6WeDO4GynFmK4OxwkBzMW8
59,+11,BIGBANG - Sunset Glow,287,50,18507,2992889,4Kxlr1PRlDKEB0ekOCyHgX
60,+3,BIGBANG - HARU HARU - KR Ver.,256,55,17975,2649803,4Kxlr1PRlDKEB0ekOCyHgX
61,-1,Primary - Johnny (w/ Dynamicduo ),448,60,17919,5486737,4QDcs3XrA8uHUZ7Xt9Ytep;4nvFFLtv7ZqoTr83387uK4
62,+20,CORTIS - ACAI,112,32,17846,2583282,1ebt9HnXdyYA6KgLXr1n4P
