pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,,,1817704,,
2,=,ATEEZ - BAD,,,849895,,
3,=,aespa - LEMONADE,,,834984,,
4,+1,RESCENE - LOVE ATTACK,,,776568,,
5,-1,CORTIS - REDRED,,,775620,,
6,+5,LEE SUHYUN - Blue Lagoon (Korean Ver.),,,640613,,
7,-1,RESCENE - Pretty Girl,,,635066,,
8,=,RESCENE - Deja Vu,,,560476,,
9,-2,ILLIT - It's Me,,,522888,,
10,=,Hearts2Hearts - RUDE!,,,518046,,
11,-2,I.O.I - 갑자기,,,513811,,
12,=,KiiiKiii - Pop Off Pop Off,,,439566,,
13,=,TAEYEON - Bansanka,,,412199,,
14,=,WOODZ - Drowning,,,373563,,
15,+3,Choi Yu Ree - 생각을 멈추다 보면,,,355206,,
16,=,HWASA - Good Goodbye,,,349647,,
17,-2,YENA - 캐치 캐치,,,342605,,
18,-1,Post Malone - Sunflower,,,334502,,
19,=,OFFICIAL HIGE DANDISM - Pretender,,,320485,,
20,NEW,HANRORO - 사랑하게 될 거야,,,314393,,
