pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,88,1,100768,9454253,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,57,2,80368,3068247,5deOsjuFTKrNMJW3rKuL8S
3,=,aespa - LEMONADE,49,2,60943,4012136,6YVMFz59CuY7ngCxTxjpxE
4,=,RESCENE - Pretty Girl,9,4,59008,457910,5deOsjuFTKrNMJW3rKuL8S
5,=,ILLIT - It's Me,78,2,58881,5696601,36cgvBn0aadzOijnjjwqMN
6,+1,Jimin - Who,728,1,57011,101962647,1oSPZhvZMIrWW5I41kPkkY
7,-1,Hearts2Hearts - Lemon Tang,25,2,56321,1499046,1ZLU77nRzQIaP23mVSYpCQ
8,+2,HANRORO - Landing in Love,367,1,47973,16108936,5wVJpXzuKV6Xj7Yhsf2uYx
9,=,I.O.I - Suddenly,58,4,47408,3379828,6RKnXXyprPjhBdCvL802Ku
10,-2,HANRORO - 0+0,302,1,45962,14798626,5wVJpXzuKV6Xj7Yhsf2uYx
11,=,ATEEZ - BAD,17,11,45743,562434,68KmkJeZGfwe1OUaivBa2L
12,=,Hearts2Hearts - RUDE!,147,1,44463,9204783,1ZLU77nRzQIaP23mVSYpCQ
13,=,RESCENE - Deja Vu,46,13,43349,925791,5deOsjuFTKrNMJW3rKuL8S
14,=,TAEYEON - Bansanka,18,10,38177,693846,3qNVuliS40BLgXGxhdBdqu
15,=,HANRORO - Let Me Love My Youth,370,6,36161,10012342,5wVJpXzuKV6Xj7Yhsf2uYx
16,=,KiiiKiii - 404 (New Era),172,1,36095,8476472,63sat2XSMKdwKfqspmYQKP
17,=,Jin - Don’t Say You Love Me,427,1,35125,23060928,5vV3bFXnN6D6N3Nj4xRvaV
18,=,Nerd Connection - If I have you only (My love X Nerd Connection),974,15,35080,11934931,5WKUZJPvN1SScyggtPFShK
19,+2,WOODZ - Drowning,653,7,34507,14579128,6y9nlaoynxSvoTGY09Vdcy
20,=,RESCENE - Runaway,48,17,33866,1035773,5deOsjuFTKrNMJW3rKuL8S
21,-2,NMIXX - Heavy Serenade,67,3,33840,3369791,28ot3wh4oNmoFOdVajibBl
22,=,OFFICIAL HIGE DANDISM - Pretender,753,19,32440,11476962,5Vo1hnCRmCM6M4thZCInCj
23,+1,YENA - Catch Catch,122,10,32416,4599869,49muoiIu4uea4PO8vueUNN
24,-1,Jung Kook - Seven (w/ Latto ),1099,1,32289,70043092,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
25,+1,CORTIS - GO!,290,6,31424,6925090,1ebt9HnXdyYA6KgLXr1n4P
26,-1,BTS - SWIM,119,1,31231,6938141,3Nrfpe0tUJi4K4DXYWgMUX
27,=,Redoor - Forever Has Always Been,425,17,29675,8514756,5xhi1KB7WkPiTYb5Fm3YvS
28,+6,AKMU - Paradise of Rumors,101,1,29673,5057054,6OwKE9Ez6ALxpTaKcT5ayv
29,+4,데이먼스 이어 Damons year - yours,1358,6,28254,18407473,2T5KKZuEEudb7alCJ1pCus
30,=,Hearts2Hearts - STYLE,394,8,27930,11168072,1ZLU77nRzQIaP23mVSYpCQ
31,-3,"Woo - We Are (w/ Loco , GRAY )",576,15,27784,6844340,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
32,-3,Epik High - Love Love Love,247,5,27711,7834115,5snNHNlYT2UrtZo5HCJkiw
33,-1,CORTIS - ACAI,74,32,27349,1685554,1ebt9HnXdyYA6KgLXr1n4P
34,-3,Ariana Grande - hate that i made you love me,49,15,26868,1522533,66CXWjxzNUsdJxJ2JdwvnR
35,+6,JANNABI - for lovers who hesitate,1788,32,26463,10363499,2SY6OktZyMLdOnscX3DCyS
36,+7,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",119,2,26322,5722585,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
37,+1,ILLIT - Magnetic,844,1,26198,20053566,36cgvBn0aadzOijnjjwqMN
38,-1,VINXEN - FLYING HIGH WITH U,151,21,25977,3368909,4T6xiCykTP9rCNaEPU7D4q
39,-4,LE SSERAFIM - BOOMPALA,56,7,25766,2027605,4SpbR6yFEvexJuaBpgAU5p
40,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj ),95,14,25706,2749677,1uNFoZAHBGtllmzznpCI3s;0hCNtLu0JehylgoiP8L4Gh
41,+1,CORTIS - FaSHioN,245,12,25471,4355276,1ebt9HnXdyYA6KgLXr1n4P
42,-3,Nerd Connection - ‎Good Night Good Dream,759,28,24964,7588525,5WKUZJPvN1SScyggtPFShK
43,+1,hamo - 아크라포빅 (Akrapovic),153,4,23742,5533397,7bQHemX2QBqGaERdrfraNW
44,+1,LEE CHANHYUK - Endangered Love,357,11,23679,8925555,4RkTSLr5Qf79FfUkeaDKbl
45,+3,Lim Young Woong - Eternal Moment,322,16,23346,7294941,75MOYjGEyyH5U4ZFHOPvxR
