pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,97,1,93146,10332329,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,66,2,77553,3777070,5deOsjuFTKrNMJW3rKuL8S
3,=,RESCENE - Pretty Girl,18,3,70454,1079151,5deOsjuFTKrNMJW3rKuL8S
4,+2,ILLIT - It's Me,87,2,62658,6241349,36cgvBn0aadzOijnjjwqMN
5,-1,JENNIE - Less than a Lover,2,4,62507,127523,250b0Wlc5Vk0CoUsaCY84M
6,-1,aespa - LEMONADE,58,2,59611,4554264,6YVMFz59CuY7ngCxTxjpxE
7,=,HANRORO - 0+0,311,1,50601,15245008,5wVJpXzuKV6Xj7Yhsf2uYx
8,=,Hearts2Hearts - Lemon Tang,34,2,49416,1965643,1ZLU77nRzQIaP23mVSYpCQ
9,=,I.O.I - Suddenly,67,4,47542,3815062,6RKnXXyprPjhBdCvL802Ku
10,+1,Jimin - Who,737,1,46826,102447074,1oSPZhvZMIrWW5I41kPkkY
11,+2,Hearts2Hearts - RUDE!,156,1,46675,9619136,1ZLU77nRzQIaP23mVSYpCQ
12,-2,ATEEZ - BAD,26,7,46558,984716,68KmkJeZGfwe1OUaivBa2L
13,-1,HANRORO - Landing in Love,376,1,45619,16547178,5wVJpXzuKV6Xj7Yhsf2uYx
14,=,RESCENE - Deja Vu,55,12,44474,1329405,5deOsjuFTKrNMJW3rKuL8S
15,+2,HANRORO - Let Me Love My Youth,379,6,37157,10354836,5wVJpXzuKV6Xj7Yhsf2uYx
16,-1,WOODZ - Drowning,662,7,36956,14905337,6y9nlaoynxSvoTGY09Vdcy
17,-1,KiiiKiii - 404 (New Era),181,1,36911,8803168,63sat2XSMKdwKfqspmYQKP
18,=,Nerd Connection - If I have you only (My love X Nerd Connection),983,15,35176,12265235,5WKUZJPvN1SScyggtPFShK
19,+2,YENA - Catch Catch,131,10,34986,4903030,49muoiIu4uea4PO8vueUNN
20,-1,Jung Kook - Seven (w/ Latto ),1108,1,34539,70350675,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
21,-1,TAEYEON - Bansanka,27,10,32775,1014362,3qNVuliS40BLgXGxhdBdqu
22,=,OFFICIAL HIGE DANDISM - Pretender,762,19,32353,11769731,5Vo1hnCRmCM6M4thZCInCj
23,=,NMIXX - Heavy Serenade,76,3,32257,3662533,28ot3wh4oNmoFOdVajibBl
24,+1,Jin - Don’t Say You Love Me,436,1,32061,23358561,5vV3bFXnN6D6N3Nj4xRvaV
25,+3,"Woo - We Are (w/ Loco , GRAY )",585,15,31626,7113523,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
26,-2,BTS - SWIM,128,1,31447,7224224,3Nrfpe0tUJi4K4DXYWgMUX
27,=,RESCENE - Runaway,57,17,31119,1328818,5deOsjuFTKrNMJW3rKuL8S
28,+4,AKMU - Paradise of Rumors,110,1,30919,5321182,6OwKE9Ez6ALxpTaKcT5ayv
29,=,Epik High - Love Love Love,256,5,30254,8100981,5snNHNlYT2UrtZo5HCJkiw
30,+3,Redoor - Forever Has Always Been,434,17,29239,8787207,5xhi1KB7WkPiTYb5Fm3YvS
31,-1,ILLIT - Magnetic,853,1,28832,20297199,36cgvBn0aadzOijnjjwqMN
32,+4,데이먼스 이어 Damons year - yours,1367,6,28410,18665479,2T5KKZuEEudb7alCJ1pCus
33,+2,JANNABI - for lovers who hesitate,1797,26,27904,10619850,2SY6OktZyMLdOnscX3DCyS
34,+3,Nerd Connection - ‎Good Night Good Dream,768,28,27698,7836547,5WKUZJPvN1SScyggtPFShK
35,-1,CORTIS - GO!,299,6,27348,7190498,1ebt9HnXdyYA6KgLXr1n4P
36,+2,Hearts2Hearts - STYLE,403,8,27096,11421695,1ZLU77nRzQIaP23mVSYpCQ
37,-6,tuki. - 晩餐歌,773,31,26886,8052055,1Y5vJqABeI6QI6R95EDV6o
38,+1,"HEEDAE - 112 (w/ C JAMM , BlackNut )",8,15,26115,231350,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
39,+1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj ),104,14,25528,2980523,1uNFoZAHBGtllmzznpCI3s;0hCNtLu0JehylgoiP8L4Gh
40,+4,Ariana Grande - hate that i made you love me,58,15,25457,1760879,66CXWjxzNUsdJxJ2JdwvnR
41,-15,fromis_9 - Vitamin ME,5,26,25408,131546,24nUVBIlCGi4twz4nYxJum
42,=,CORTIS - ACAI,83,32,24893,1924676,1ebt9HnXdyYA6KgLXr1n4P
43,+3,LEE CHANHYUK - Endangered Love,366,11,24712,9144945,4RkTSLr5Qf79FfUkeaDKbl
44,-3,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",128,2,24554,5951844,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
45,+3,Lim Young Woong - Eternal Moment,331,16,24334,7509245,75MOYjGEyyH5U4ZFHOPvxR
46,-3,LE SSERAFIM - BOOMPALA,65,7,24197,2243370,4SpbR6yFEvexJuaBpgAU5p
47,-2,VINXEN - FLYING HIGH WITH U,160,21,23674,3592985,4T6xiCykTP9rCNaEPU7D4q
48,-1,hamo - 아크라포빅 (Akrapovic),162,4,23172,5750141,7bQHemX2QBqGaERdrfraNW
49,=,CORTIS - FaSHioN,254,12,22509,4572898,1ebt9HnXdyYA6KgLXr1n4P
50,+1,CHOIJUNSEONG (Jun S) - L[ ]VE,58,16,22446,1584860,2RPo7pzzve2r1LufIxrPeR
51,-1,Hearts2Hearts - FOCUS,279,6,21718,8928754,1ZLU77nRzQIaP23mVSYpCQ
52,=,NewJeans - Hype Boy,1455,1,21263,24544481,6HvZYsbFfjnjFrWF950C9d
53,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1712,31,20512,9737765,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
54,+2,ILLIT - NOT CUTE ANYMORE,244,2,20009,7064479,36cgvBn0aadzOijnjjwqMN
55,+10,COOL - 애상,89,55,19825,1023695,0w3PsroIezW7uRTNxEJLb9
56,-1,"HEEDAE - Brainwash (w/ C JAMM , BlackNut )",8,18,19743,207658,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
57,=,"AKMU - How can I love the heartbreak, you're the one I love",1051,24,19050,8618090,6OwKE9Ez6ALxpTaKcT5ayv
58,+3,Sung Si Kyung - Every moment of you,260,41,19027,3829309,7jFUYMpMUBDL4JQtMZ5ilc
59,-1,Dominic Fike - Babydoll,130,56,18862,2120502,6USv9qhCn6zfxlBQIYJ9qs
60,+2,Kim Na Young - A Letter For You,77,53,18862,1322669,4dvmLXorXADxVq8EcySEWk
