pos,change,title,days,peak,streams,total,artistIds
1,=,SOYEON - 퇴사할게여,,,1984905,,
2,=,ATEEZ - BAD,,,1481247,,
3,=,meomuru - 꿈꾸던 어른이 되었나요?,,,1127031,,
4,NEW,ROSÉ - new trick,,,1007940,,
5,=,RESCENE - LOVE ATTACK,,,911815,,
6,-2,IU - Dear my crazy soulmate,,,894444,,
7,-1,CORTIS - REDRED,,,878031,,
8,-1,RESCENE - Pretty Girl,,,825023,,
9,-1,aespa - LEMONADE,,,761859,,
10,=,RESCENE - Deja Vu,,,670369,,
11,+2,Hearts2Hearts - RUDE!,,,603190,,
12,+3,ILLIT - It's Me,,,602493,,
13,-4,Lim Young Woong - 또또,,,588904,,
14,-3,Girls' Generation - Skibidi,,,567518,,
15,-3,BIGBANG - BiiiG,,,564117,,
16,+3,I.O.I - 갑자기,,,551324,,
17,-1,HWASA - Good Goodbye,,,539052,,
18,+2,WOODZ - Drowning,,,521620,,
19,-2,LE SSERAFIM - Made My Night,,,491513,,
20,NEW,BESTIE - 연애의 조건,,,467132,,
