pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,,,1387964,,
2,=,ATEEZ - BAD,,,848792,,
3,=,aespa - LEMONADE,,,813358,,
4,=,CORTIS - REDRED,,,772696,,
5,=,RESCENE - LOVE ATTACK,,,766815,,
6,=,RESCENE - Pretty Girl,,,660209,,
7,=,ILLIT - It's Me,,,555827,,
8,+2,RESCENE - Deja Vu,,,532069,,
9,-1,I.O.I - 갑자기,,,518408,,
10,-1,Hearts2Hearts - RUDE!,,,515063,,
11,+6,LEE SUHYUN - Blue Lagoon (Korean Ver.),,,495719,,
12,-1,KiiiKiii - Pop Off Pop Off,,,423197,,
13,=,TAEYEON - Bansanka,,,391039,,
14,=,WOODZ - Drowning,,,369661,,
15,-3,YENA - 캐치 캐치,,,362824,,
16,-1,HWASA - Good Goodbye,,,353292,,
17,-1,Post Malone - Sunflower,,,343776,,
18,=,Choi Yu Ree - 생각을 멈추다 보면,,,330570,,
19,=,OFFICIAL HIGE DANDISM - Pretender,,,313904,,
20,=,KiiiKiii - 404 (New Era),,,307471,,
