pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,,,1366910,,
2,=,ATEEZ - BAD,,,1197007,,
3,=,RESCENE - LOVE ATTACK,,,967213,,
4,=,aespa - LEMONADE,,,890426,,
5,=,CORTIS - REDRED,,,882831,,
6,=,RESCENE - Pretty Girl,,,777256,,
7,NEW,JENNIE - FALLEN ANGEL,,,701030,,
8,+1,ILLIT - It's Me,,,688240,,
9,-1,RESCENE - Deja Vu,,,625723,,
10,=,Hearts2Hearts - RUDE!,,,612023,,
11,=,I.O.I - 갑자기,,,584240,,
12,-5,LEE SUHYUN - Blue Lagoon (Korean Ver.),,,581363,,
13,-1,KiiiKiii - Pop Off Pop Off,,,492773,,
14,-1,TAEYEON - Bansanka,,,471726,,
15,-1,WOODZ - Drowning,,,455975,,
16,NEW,WINTER - Speed of Summer,,,445559,,
17,=,YENA - 캐치 캐치,,,427816,,
18,-3,HWASA - Good Goodbye,,,423626,,
19,-3,Choi Yu Ree - 생각을 멈추다 보면,,,397771,,
20,-2,OFFICIAL HIGE DANDISM - Pretender,,,395131,,
