pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,138,1,71633,13621644,1ebt9HnXdyYA6KgLXr1n4P
2,+2,BIG Naughty - Nostalgia,5,2,68833,323002,7cEaNXXTHx3LokbjUUyHal
3,=,RESCENE - LOVE ATTACK,107,2,66259,6779086,5deOsjuFTKrNMJW3rKuL8S
4,+2,Jimin - Who,778,1,59837,104762281,1oSPZhvZMIrWW5I41kPkkY
5,=,KiiiKiii - Pop Off Pop Off,26,1,56274,1582001,63sat2XSMKdwKfqspmYQKP
6,+1,BIGBANG - BiiiG,17,1,51939,1178204,4Kxlr1PRlDKEB0ekOCyHgX
7,+2,RESCENE - Pretty Girl,59,3,51816,3489829,5deOsjuFTKrNMJW3rKuL8S
8,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1753,3,51577,11997815,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
9,+1,aespa - LEMONADE,99,2,51272,6860179,6YVMFz59CuY7ngCxTxjpxE
10,-8,Jung Kook - Seven (w/ Latto ),1149,1,49922,71970025,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
11,=,ATEEZ - BAD,67,7,48194,2977861,68KmkJeZGfwe1OUaivBa2L
12,=,RESCENE - Deja Vu,96,8,47070,3272927,5deOsjuFTKrNMJW3rKuL8S
13,=,ILLIT - It's Me,128,2,43122,8285698,36cgvBn0aadzOijnjjwqMN
14,+2,HANRORO - 0+0,352,1,42836,17103874,5wVJpXzuKV6Xj7Yhsf2uYx
15,-1,HANRORO - Landing in Love,417,1,41554,18304190,5wVJpXzuKV6Xj7Yhsf2uYx
16,+1,Redoor - Forever Has Always Been,475,15,40368,10195518,5xhi1KB7WkPiTYb5Fm3YvS
17,-2,Hearts2Hearts - RUDE!,197,1,39675,11314503,1ZLU77nRzQIaP23mVSYpCQ
18,+1,I.O.I - Suddenly,108,4,38047,5545989,6RKnXXyprPjhBdCvL802Ku
19,-1,Hearts2Hearts - Lemon Tang,75,2,37988,3816747,1ZLU77nRzQIaP23mVSYpCQ
20,+1,Nerd Connection - If I have you only (My love X Nerd Connection),1024,13,37222,13759480,5WKUZJPvN1SScyggtPFShK
21,-1,JENNIE - Less than a Lover,43,3,36452,2163529,250b0Wlc5Vk0CoUsaCY84M
22,=,JENNIE - FALLEN ANGEL,8,19,35883,277038,250b0Wlc5Vk0CoUsaCY84M
23,+2,HANRORO - Let Me Love My Youth,420,6,35412,11819339,5wVJpXzuKV6Xj7Yhsf2uYx
24,=,WOODZ - Drowning,703,7,35408,16330689,6y9nlaoynxSvoTGY09Vdcy
25,+1,JANNABI - for lovers who hesitate,1838,25,34044,11853438,2SY6OktZyMLdOnscX3DCyS
26,-3,TUIDE - SUN KISS,12,14,33815,385852,2uxeKIw5ancTu92x28Ctkf
27,=,KiiiKiii - 404 (New Era),222,1,33462,10225608,63sat2XSMKdwKfqspmYQKP
28,+1,OFFICIAL HIGE DANDISM - Pretender,803,19,31168,13031888,5Vo1hnCRmCM6M4thZCInCj
29,-1,ENHYPEN - Bloody Paradise,15,18,30631,493602,5t5FqBwTcgKTaWmfEbwQY9
30,+4,"Woo - We Are (w/ Loco , GRAY )",626,15,29310,8306081,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
31,=,TAEYEON - Bansanka,68,10,28987,2204403,3qNVuliS40BLgXGxhdBdqu
32,+6,Nerd Connection - ‎Good Night Good Dream,809,28,28978,8934102,5WKUZJPvN1SScyggtPFShK
33,+2,YENA - Catch Catch,172,10,28799,6236434,49muoiIu4uea4PO8vueUNN
34,+2,BOL4 - Please Summer!,43,18,28432,1227464,4k5fFEYgkWYrYvtOK3zVBl
35,-2,데이먼스 이어 Damons year - yours,1408,6,28120,19801966,2T5KKZuEEudb7alCJ1pCus
36,+1,Hearts2Hearts - ICONIC HEART,24,19,28112,702023,1ZLU77nRzQIaP23mVSYpCQ
37,+4,Epik High - Love Love Love,297,5,27942,9268752,5snNHNlYT2UrtZo5HCJkiw
38,+1,BTS - SWIM,169,1,27833,8410883,3Nrfpe0tUJi4K4DXYWgMUX
39,-7,RESCENE - Runaway,98,17,27829,2537698,5deOsjuFTKrNMJW3rKuL8S
40,=,Lim Young Woong - Eternal Moment,372,16,27686,8554004,75MOYjGEyyH5U4ZFHOPvxR
41,-11,Jin - Don’t Say You Love Me,477,1,27656,24700630,5vV3bFXnN6D6N3Nj4xRvaV
42,=,The Black Skirts - Ling Ling,303,32,27452,4422638,6WeDO4GynFmK4OxwkBzMW8
43,+6,fromis_9 - Vitamin ME,46,15,25868,1495514,24nUVBIlCGi4twz4nYxJum
44,+1,Hearts2Hearts - FOCUS,320,6,25587,9964882,1ZLU77nRzQIaP23mVSYpCQ
45,-1,NMIXX - Heavy Serenade,117,3,25219,4837558,28ot3wh4oNmoFOdVajibBl
46,+4,LEE CHANHYUK - Endangered Love,407,11,25210,10138123,4RkTSLr5Qf79FfUkeaDKbl
47,+1,Red Velvet - Surfin' Boy,33,12,24739,1136902,1z4g3DjTBBZKhvAroFlhOM
48,-1,Hearts2Hearts - STYLE,444,8,24677,12489835,1ZLU77nRzQIaP23mVSYpCQ
49,-3,KiiiKiii - Candy Pink Magic Hole Flip Phone,26,21,24597,708203,63sat2XSMKdwKfqspmYQKP
50,-7,TUIDE - GRLS,12,35,24001,299242,2uxeKIw5ancTu92x28Ctkf
51,+1,PLAVE - HMPH! (w/ SOLE ),98,22,23193,1987973,0k2zyzGq6HX383VlMBOvRG;6naXFodImN2DwRmKCQHAUt
52,-1,tuki. - 晩餐歌,814,30,22713,9120892,1Y5vJqABeI6QI6R95EDV6o
53,+1,VINXEN - FLYING HIGH WITH U,201,21,21927,4579120,4T6xiCykTP9rCNaEPU7D4q
54,-1,AKMU - Paradise of Rumors,151,1,21580,6371522,6OwKE9Ez6ALxpTaKcT5ayv
55,+1,Kim Na Young - A Letter For You,118,53,21052,2099140,4dvmLXorXADxVq8EcySEWk
56,+1,"AKMU - How can I love the heartbreak, you're the one I love",1092,24,20715,9351660,6OwKE9Ez6ALxpTaKcT5ayv
57,+5,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",169,2,20693,6921999,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
58,+1,Lady Gaga - Die With A Smile (w/ Bruno Mars ),750,5,20348,14582219,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
59,-1,RESCENE - Pinball,62,50,20228,1136661,5deOsjuFTKrNMJW3rKuL8S
60,+4,ILLIT - Magnetic,894,1,20200,21271185,36cgvBn0aadzOijnjjwqMN
61,+29,george - Boat,554,49,19787,5269850,2pRZp2WxvnWWiSPcSSYkNV
62,+1,BIGBANG - HARU HARU - KR Ver.,268,54,19595,2881805,4Kxlr1PRlDKEB0ekOCyHgX
63,+22,JENNIE - HEAVEN,8,48,19310,148871,250b0Wlc5Vk0CoUsaCY84M
64,+4,Girls' Generation-HRS - Skibidi,3,64,18776,51243,1wlgozUz29VEBQxMDqQFK1
65,+43,Izi - 응급실,534,51,18734,6158929,4PPkRMbw2jIs7flJkl4okf
66,+47,Epik High - 우산 (w/ Younha ),236,50,18473,3016349,5snNHNlYT2UrtZo5HCJkiw;6GwM5CHqhWXzG3l5kzRSAS
67,-2,Dominic Fike - Babydoll,171,51,18419,2907575,6USv9qhCn6zfxlBQIYJ9qs
68,-13,Sik-K - U (w/ Lil Moshpit ),2,55,18401,39986,5DIi2JWfQPTKffaVBlIYRn;0tVSrjQ0NpDlecsJwGmrMy
69,+1,BIG Naughty - Vancouver,1226,33,18386,8864195,7cEaNXXTHx3LokbjUUyHal
70,-10,Ariana Grande - hate that i made you love me,98,15,18210,2663748,66CXWjxzNUsdJxJ2JdwvnR
71,-2,Lim Young Woong - ULSSIGU,372,20,18044,7109027,75MOYjGEyyH5U4ZFHOPvxR
72,=,Brown Eyes - 벌써 일년,534,34,18036,7814330,6O7LgtO6NKOOOudzRayUfJ
73,+7,G-DRAGON - CROOKED,670,21,17690,9945753,30b9WulBM8sFuBo17nNq9c
74,+3,Sung Si Kyung - Every moment of you,301,41,17627,4574245,7jFUYMpMUBDL4JQtMZ5ilc
75,-8,"Heize - And July (w/ DEAN , dj friz )",108,53,17575,1927507,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
76,+5,ROSÉ - toxic till the end,639,2,17525,13419420,3eVa5w3URK5duf6eyVDbu9
77,+1,The Black Skirts - 1:05,506,45,17381,6719288,6WeDO4GynFmK4OxwkBzMW8
78,+6,Jimin - Be Mine,758,2,17295,28808998,1oSPZhvZMIrWW5I41kPkkY
79,+71,Yoon Do Hyun - I Guess I Loved You,1134,51,17279,9535791,6KsmQPHXE3qhzNNBPSZ0eB
80,+22,Primary - Johnny (w/ Dynamicduo ),460,60,17175,5678161,4QDcs3XrA8uHUZ7Xt9Ytep;4nvFFLtv7ZqoTr83387uK4
81,-6,Lim Young Woong - Unread Message,372,26,17090,6696260,75MOYjGEyyH5U4ZFHOPvxR
82,-8,PLAVE - Born Savage,114,16,17034,2292490,0k2zyzGq6HX383VlMBOvRG
83,+4,CORTIS - GO!,340,6,17000,8113130,1ebt9HnXdyYA6KgLXr1n4P
84,-8,NewJeans - Hype Boy,1496,1,16952,25347439,6HvZYsbFfjnjFrWF950C9d
85,+10,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park ),494,49,16870,6294800,2dd5mrQZvg6SmahdgVKDzh;7MNyflLAWpaH0EPw1fdORD
86,-3,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj ),145,14,16801,3843848,1uNFoZAHBGtllmzznpCI3s;0hCNtLu0JehylgoiP8L4Gh
87,+10,BIGBANG - Sunset Glow,299,50,16742,3195330,4Kxlr1PRlDKEB0ekOCyHgX
88,+12,"AKMU - Joy, Sorrow, A Beautiful Heart",151,3,16434,4528111,6OwKE9Ez6ALxpTaKcT5ayv
89,-1,NMIXX - Blue Valentine,327,3,16376,9281011,28ot3wh4oNmoFOdVajibBl
90,+14,"G-DRAGON - HOME SWEET HOME (w/ TAEYANG , DAESUNG )",432,2,16285,8878036,30b9WulBM8sFuBo17nNq9c;6udveWUgX4vu75FF0DTrXV;1OQxmfKN9UG5C7nr4MkasO
91,-25,"Car, the garden - My whole world",245,3,16091,6225639,7c1HgFDe8ogy5NOZ1ANCJQ
92,-3,Lim Young Woong - Wild flower,371,34,16053,6359614,75MOYjGEyyH5U4ZFHOPvxR
93,-1,Kenshi Yonezu - Lemon,1404,25,15825,12274548,1snhtMLeb2DYoMOcVbb8iB
94,-21,aespa - Whiplash,671,3,15729,18202903,6YVMFz59CuY7ngCxTxjpxE
95,+1,Kenshi Yonezu - IRIS OUT,355,1,15722,14935164,1snhtMLeb2DYoMOcVbb8iB
96,+25,The NuTs - 사랑의 바보,616,50,15701,7303581,56NKtypwi90dIOb5ZQZwHb
97,-11,Lim Young Woong - Left in the Rain,372,30,15689,6398882,75MOYjGEyyH5U4ZFHOPvxR
98,-4,ILLIT - NOT CUTE ANYMORE,285,2,15683,7788416,36cgvBn0aadzOijnjjwqMN
99,-6,NELL - The time of walking on remembrance,80,62,15568,1112232,5WY88tCMFA6J6vqSN3MmDZ
