pos,change,title,days,peak,streams,total,artistIds
1,+1,CORTIS - REDRED,128,1,85855,12888752,1ebt9HnXdyYA6KgLXr1n4P
2,-1,BIGBANG - BiiiG,7,1,75529,585820,4Kxlr1PRlDKEB0ekOCyHgX
3,=,RESCENE - LOVE ATTACK,97,2,67250,6089377,5deOsjuFTKrNMJW3rKuL8S
4,=,KiiiKiii - Pop Off Pop Off,16,1,64266,1001929,63sat2XSMKdwKfqspmYQKP
5,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1743,3,59724,11434942,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
6,+3,Jimin - Who,768,1,54566,104204210,1oSPZhvZMIrWW5I41kPkkY
7,-1,aespa - LEMONADE,89,2,54267,6347211,6YVMFz59CuY7ngCxTxjpxE
8,-1,RESCENE - Pretty Girl,49,3,53757,2965959,5deOsjuFTKrNMJW3rKuL8S
9,+1,ATEEZ - BAD,57,7,48510,2485508,68KmkJeZGfwe1OUaivBa2L
10,+1,RESCENE - Deja Vu,86,8,46549,2799912,5deOsjuFTKrNMJW3rKuL8S
11,+1,ILLIT - It's Me,118,2,46167,7844436,36cgvBn0aadzOijnjjwqMN
12,+2,HANRORO - 0+0,342,1,44150,16666933,5wVJpXzuKV6Xj7Yhsf2uYx
13,=,Hearts2Hearts - Lemon Tang,65,2,42271,3425170,1ZLU77nRzQIaP23mVSYpCQ
14,+1,HANRORO - Landing in Love,407,1,40405,17890975,5wVJpXzuKV6Xj7Yhsf2uYx
15,+1,I.O.I - Suddenly,98,4,39525,5162311,6RKnXXyprPjhBdCvL802Ku
16,+4,Nerd Connection - If I have you only (My love X Nerd Connection),1014,15,36761,13352651,5WKUZJPvN1SScyggtPFShK
17,+1,Hearts2Hearts - RUDE!,187,1,36528,10938426,1ZLU77nRzQIaP23mVSYpCQ
18,-1,Redoor - Forever Has Always Been,465,17,35932,9802481,5xhi1KB7WkPiTYb5Fm3YvS
19,+2,WOODZ - Drowning,693,7,35107,15986379,6y9nlaoynxSvoTGY09Vdcy
20,-1,HANRORO - Let Me Love My Youth,410,6,35074,11460418,5wVJpXzuKV6Xj7Yhsf2uYx
21,+1,JENNIE - Less than a Lover,33,3,34448,1780609,250b0Wlc5Vk0CoUsaCY84M
22,-14,Jung Kook - Seven (w/ Latto ),1139,1,34077,71440824,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
23,+1,Hearts2Hearts - ICONIC HEART,14,19,34006,408982,1ZLU77nRzQIaP23mVSYpCQ
24,-1,ENHYPEN - Bloody Paradise,5,23,33929,145330,5t5FqBwTcgKTaWmfEbwQY9
25,+4,Jin - Don’t Say You Love Me,467,1,32917,24392904,5vV3bFXnN6D6N3Nj4xRvaV
26,=,RESCENE - Runaway,88,17,32254,2251273,5deOsjuFTKrNMJW3rKuL8S
