pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,108,1,83600,11296402,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,77,2,76385,4638642,5deOsjuFTKrNMJW3rKuL8S
3,=,JENNIE - Less than a Lover,13,3,63820,893167,250b0Wlc5Vk0CoUsaCY84M
4,+1,aespa - LEMONADE,69,2,61635,5216683,6YVMFz59CuY7ngCxTxjpxE
5,-1,RESCENE - Pretty Girl,29,3,60692,1827248,5deOsjuFTKrNMJW3rKuL8S
6,=,Jimin - Who,748,1,56261,103071511,1oSPZhvZMIrWW5I41kPkkY
7,+1,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1723,7,53824,10134113,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
8,-1,ILLIT - It's Me,98,2,52834,6873244,36cgvBn0aadzOijnjjwqMN
9,=,Hearts2Hearts - Lemon Tang,45,2,51958,2520316,1ZLU77nRzQIaP23mVSYpCQ
10,=,ATEEZ - BAD,37,7,48206,1523191,68KmkJeZGfwe1OUaivBa2L
11,+1,HANRORO - 0+0,322,1,47570,15783355,5wVJpXzuKV6Xj7Yhsf2uYx
12,+1,RESCENE - Deja Vu,66,10,45418,1841701,5deOsjuFTKrNMJW3rKuL8S
13,+1,Hearts2Hearts - RUDE!,167,1,45088,10130134,1ZLU77nRzQIaP23mVSYpCQ
14,+1,I.O.I - Suddenly,78,4,44283,4326700,6RKnXXyprPjhBdCvL802Ku
15,-4,HANRORO - Landing in Love,387,1,43756,17060003,5wVJpXzuKV6Xj7Yhsf2uYx
16,=,Red Velvet - Surfin' Boy,3,16,41497,112947,1z4g3DjTBBZKhvAroFlhOM
17,=,fromis_9 - Vitamin ME,16,15,39171,558611,24nUVBIlCGi4twz4nYxJum
18,=,KiiiKiii - 404 (New Era),192,1,37083,9208696,63sat2XSMKdwKfqspmYQKP
19,+3,WOODZ - Drowning,673,7,36016,15307602,6y9nlaoynxSvoTGY09Vdcy
20,-1,Jung Kook - Seven (w/ Latto ),1119,1,35863,70745788,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
