pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,,,1013702,,
2,=,RESCENE - LOVE ATTACK,,,960300,,
3,=,aespa - LEMONADE,,,925236,,
4,=,RESCENE - Pretty Girl,,,849105,,
5,=,ILLIT - It's Me,,,725676,,
6,+1,ATEEZ - BAD,,,694516,,
7,+1,I.O.I - 갑자기,,,670300,,
8,-2,Hwa Sa - Good Goodbye,,,629832,,
9,=,RESCENE - Deja Vu,,,620833,,
10,NEW,fromis_9 - Vitamin ME,,,577678,,
11,-1,Hearts2Hearts - RUDE!,,,546915,,
12,-1,TAEYEON - Bansanka,,,534665,,
13,-1,WOODZ - Drowning,,,462308,,
14,+2,tuki. - 晩餐歌,,,403816,,
15,=,OFFICIAL HIGE DANDISM - Pretender,,,398685,,
16,-2,HANRORO - 사랑하게 될 거야,,,394604,,
17,+1,Hearts2Hearts - Lemon Tang,,,365832,,
18,-1,Choi Yu Ree - 생각을 멈추다 보면,,,363888,,
19,=,HANRORO - 0+0,,,356761,,
20,=,YENA - 캐치 캐치,,,347094,,
