pos,change,title,days,peak,streams,total,artistIds
1,=,ATEEZ - BAD,,,974454,,
2,=,RESCENE - LOVE ATTACK,,,877564,,
3,+1,CORTIS - REDRED,,,842268,,
4,-1,aespa - LEMONADE,,,822518,,
5,=,RESCENE - Pretty Girl,,,756020,,
6,=,ILLIT - It's Me,,,664850,,
7,=,RESCENE - Deja Vu,,,584560,,
8,=,I.O.I - 갑자기,,,579771,,
9,=,Hearts2Hearts - RUDE!,,,565612,,
10,+1,KiiiKiii - Pop Off Pop Off,,,472205,,
11,-1,TAEYEON - Bansanka,,,455145,,
12,+1,YENA - 캐치 캐치,,,440790,,
13,-1,HWASA - Good Goodbye,,,418203,,
14,+3,BABYMONSTER - MOON,,,412238,,
15,-1,WOODZ - Drowning,,,405312,,
16,-1,Choi Yu Ree - 생각을 멈추다 보면,,,395502,,
17,-1,OFFICIAL HIGE DANDISM - Pretender,,,385300,,
18,+1,HANRORO - 사랑하게 될 거야,,,370783,,
19,-1,JENNIE - Less than a Lover,,,362927,,
20,=,Red Velvet - Surfin' Boy,,,356175,,
