pos,change,title,days,peak,streams,total,artistIds
1,=,IU - Dear my crazy soulmate,,,2314815,,
2,+1,ALL(H)OURS - DANG DANG,,,1656034,,
3,-1,SOYEON - 퇴사할게여,,,1586733,,
4,=,ATEEZ - BAD,,,1016800,,
5,+1,RESCENE - LOVE ATTACK,,,935163,,
6,+3,RESCENE - Pretty Girl,,,828725,,
7,+1,CORTIS - REDRED,,,785610,,
8,-3,IU - Unknown Planet,,,765323,,
9,+1,aespa - LEMONADE,,,754812,,
10,-3,Lim Young Woong - 또또,,,717492,,
11,+2,ILLIT - It's Me,,,624837,,
12,=,RESCENE - Deja Vu,,,616809,,
13,-2,BIGBANG - BiiiG,,,592563,,
14,=,Hearts2Hearts - RUDE!,,,588028,,
15,+2,HWASA - Good Goodbye,,,531967,,
16,-1,I.O.I - 갑자기,,,526080,,
17,+2,WOODZ - Drowning,,,471997,,
18,-2,D.O. - Guitarist,,,470044,,
19,+1,KiiiKiii - Pop Off Pop Off,,,438463,,
20,NEW,TAEYEON - Bansanka,,,429356,,
