pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,111,1,79305,11540523,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,80,2,71365,4856444,5deOsjuFTKrNMJW3rKuL8S
3,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1726,3,64835,10320574,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
4,=,aespa - LEMONADE,72,2,58391,5393372,6YVMFz59CuY7ngCxTxjpxE
5,+1,RESCENE - Pretty Girl,32,3,55311,1995970,5deOsjuFTKrNMJW3rKuL8S
6,-1,JENNIE - Less than a Lover,16,3,51833,1063201,250b0Wlc5Vk0CoUsaCY84M
7,+1,ILLIT - It's Me,101,2,51397,7028200,36cgvBn0aadzOijnjjwqMN
8,-1,Jimin - Who,751,1,50754,103227796,1oSPZhvZMIrWW5I41kPkkY
9,=,Hearts2Hearts - Lemon Tang,48,2,47800,2669659,1ZLU77nRzQIaP23mVSYpCQ
10,+3,RESCENE - Deja Vu,69,10,45237,1977082,5deOsjuFTKrNMJW3rKuL8S
11,+5,HANRORO - 0+0,325,1,45073,15919203,5wVJpXzuKV6Xj7Yhsf2uYx
12,-1,I.O.I - Suddenly,81,4,45025,4463647,6RKnXXyprPjhBdCvL802Ku
13,-3,ATEEZ - BAD,40,7,44879,1662383,68KmkJeZGfwe1OUaivBa2L
14,=,HANRORO - Landing in Love,390,1,42749,17189232,5wVJpXzuKV6Xj7Yhsf2uYx
15,=,Hearts2Hearts - RUDE!,170,1,42702,10260537,1ZLU77nRzQIaP23mVSYpCQ
16,-4,Red Velvet - Surfin' Boy,6,12,40102,238537,1z4g3DjTBBZKhvAroFlhOM
17,=,fromis_9 - Vitamin ME,19,15,38237,675113,24nUVBIlCGi4twz4nYxJum
18,+1,KiiiKiii - 404 (New Era),195,1,35574,9317720,63sat2XSMKdwKfqspmYQKP
19,+4,BOL4 - Please Summer!,16,19,35415,362539,4k5fFEYgkWYrYvtOK3zVBl
20,=,YENA - Catch Catch,145,10,34617,5389805,49muoiIu4uea4PO8vueUNN
21,-3,HANRORO - Let Me Love My Youth,393,6,34277,10865817,5wVJpXzuKV6Xj7Yhsf2uYx
22,-1,WOODZ - Drowning,676,7,32551,15408393,6y9nlaoynxSvoTGY09Vdcy
23,-1,Jung Kook - Seven (w/ Latto ),1122,1,31634,70844472,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
24,+3,Nerd Connection - If I have you only (My love X Nerd Connection),997,15,31439,12747706,5WKUZJPvN1SScyggtPFShK
25,-1,OFFICIAL HIGE DANDISM - Pretender,776,19,31025,12216231,5Vo1hnCRmCM6M4thZCInCj
26,=,Jin - Don’t Say You Love Me,450,1,30899,23822827,5vV3bFXnN6D6N3Nj4xRvaV
27,-2,"Woo - We Are (w/ Loco , GRAY )",599,15,29945,7527226,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
28,=,NMIXX - Heavy Serenade,90,3,29719,4101977,28ot3wh4oNmoFOdVajibBl
29,=,Redoor - Forever Has Always Been,448,17,29422,9216846,5xhi1KB7WkPiTYb5Fm3YvS
30,+1,JANNABI - for lovers who hesitate,1811,26,28107,11034290,2SY6OktZyMLdOnscX3DCyS
31,+1,BTS - SWIM,142,1,27491,7658358,3Nrfpe0tUJi4K4DXYWgMUX
32,+3,Epik High - Love Love Love,270,5,27422,8511326,5snNHNlYT2UrtZo5HCJkiw
33,=,Hearts2Hearts - STYLE,417,8,27298,11818956,1ZLU77nRzQIaP23mVSYpCQ
34,+4,AKMU - Paradise of Rumors,124,1,26452,5720002,6OwKE9Ez6ALxpTaKcT5ayv
35,-5,tuki. - 晩餐歌,787,30,26323,8438707,1Y5vJqABeI6QI6R95EDV6o
36,-2,TAEYEON - Bansanka,41,10,25903,1452833,3qNVuliS40BLgXGxhdBdqu
37,+2,데이먼스 이어 Damons year - yours,1381,6,25672,19052920,2T5KKZuEEudb7alCJ1pCus
38,+5,VINXEN - FLYING HIGH WITH U,174,21,25365,3944130,4T6xiCykTP9rCNaEPU7D4q
