pos,change,title,days,peak,streams,total,artistIds
1,=,ATEEZ - BAD,,,849273,,
2,=,RESCENE - LOVE ATTACK,,,813805,,
3,=,aespa - LEMONADE,,,763551,,
4,=,CORTIS - REDRED,,,748057,,
5,=,RESCENE - Pretty Girl,,,653093,,
6,+1,RESCENE - Deja Vu,,,580962,,
7,-1,ILLIT - It's Me,,,579748,,
8,=,KiiiKiii - Pop Off Pop Off,,,561583,,
9,=,Hearts2Hearts - RUDE!,,,524017,,
10,=,I.O.I - 갑자기,,,490418,,
11,=,TAEYEON - Bansanka,,,433579,,
12,+1,Choi Yu Ree - 생각을 멈추다 보면,,,363715,,
13,+4,JENNIE - Less than a Lover,,,363052,,
14,+1,WOODZ - Drowning,,,357650,,
15,+1,Red Velvet - Surfin' Boy,,,357643,,
16,-2,Post Malone - Sunflower,,,354326,,
17,-5,YENA - 캐치 캐치,,,348941,,
18,=,HWASA - Good Goodbye,,,346446,,
19,=,OFFICIAL HIGE DANDISM - Pretender,,,341525,,
20,=,Hearts2Hearts - Lemon Tang,,,307552,,
