pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,113,1,83661,11702377,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,82,2,79739,5007481,5deOsjuFTKrNMJW3rKuL8S
3,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1728,3,75738,10464008,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
4,=,aespa - LEMONADE,74,2,61724,5512107,6YVMFz59CuY7ngCxTxjpxE
5,=,RESCENE - Pretty Girl,34,3,60049,2111515,5deOsjuFTKrNMJW3rKuL8S
6,=,Jimin - Who,753,1,55796,103335302,1oSPZhvZMIrWW5I41kPkkY
7,=,JENNIE - Less than a Lover,18,3,53715,1167750,250b0Wlc5Vk0CoUsaCY84M
8,+2,RESCENE - Deja Vu,71,8,52781,2075627,5deOsjuFTKrNMJW3rKuL8S
9,-1,ILLIT - It's Me,103,2,51469,7129324,36cgvBn0aadzOijnjjwqMN
10,-1,Hearts2Hearts - Lemon Tang,50,2,49871,2765372,1ZLU77nRzQIaP23mVSYpCQ
11,+1,ATEEZ - BAD,42,7,49035,1756108,68KmkJeZGfwe1OUaivBa2L
12,+2,Red Velvet - Surfin' Boy,8,12,46719,328268,1z4g3DjTBBZKhvAroFlhOM
13,=,I.O.I - Suddenly,83,4,45871,4553501,6RKnXXyprPjhBdCvL802Ku
14,-3,HANRORO - 0+0,327,1,45810,16010235,5wVJpXzuKV6Xj7Yhsf2uYx
15,=,Hearts2Hearts - RUDE!,172,1,44631,10346784,1ZLU77nRzQIaP23mVSYpCQ
16,=,HANRORO - Landing in Love,392,1,43900,17274558,5wVJpXzuKV6Xj7Yhsf2uYx
17,=,fromis_9 - Vitamin ME,21,15,38751,750396,24nUVBIlCGi4twz4nYxJum
18,+2,KiiiKiii - 404 (New Era),197,1,37949,9390144,63sat2XSMKdwKfqspmYQKP
19,=,HANRORO - Let Me Love My Youth,395,6,36601,10936977,5wVJpXzuKV6Xj7Yhsf2uYx
20,+2,Jin - Don’t Say You Love Me,452,1,36093,23891391,5vV3bFXnN6D6N3Nj4xRvaV
21,+2,Nerd Connection - If I have you only (My love X Nerd Connection),999,15,35948,12815800,5WKUZJPvN1SScyggtPFShK
22,-1,YENA - Catch Catch,147,10,34755,5457912,49muoiIu4uea4PO8vueUNN
23,+3,Jung Kook - Seven (w/ Latto ),1124,1,34465,70909882,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
24,=,WOODZ - Drowning,678,7,34049,15474241,6y9nlaoynxSvoTGY09Vdcy
25,-7,BOL4 - Please Summer!,18,18,33930,432005,4k5fFEYgkWYrYvtOK3zVBl
26,-1,OFFICIAL HIGE DANDISM - Pretender,778,19,32647,12280374,5Vo1hnCRmCM6M4thZCInCj
27,=,Redoor - Forever Has Always Been,450,17,32370,9279679,5xhi1KB7WkPiTYb5Fm3YvS
28,+2,NMIXX - Heavy Serenade,92,3,31345,4161296,28ot3wh4oNmoFOdVajibBl
29,-1,"Woo - We Are (w/ Loco , GRAY )",601,15,30600,7587336,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
30,NEW,KiiiKiii - Pop Off Pop Off,1,30,29836,29836,63sat2XSMKdwKfqspmYQKP
31,=,BTS - SWIM,144,1,29749,7715361,3Nrfpe0tUJi4K4DXYWgMUX
32,=,JANNABI - for lovers who hesitate,1813,26,29412,11090745,2SY6OktZyMLdOnscX3DCyS
33,+6,RESCENE - Runaway,73,17,28816,1796136,5deOsjuFTKrNMJW3rKuL8S
34,+3,tuki. - 晩餐歌,789,30,28270,8492587,1Y5vJqABeI6QI6R95EDV6o
35,-1,데이먼스 이어 Damons year - yours,1383,6,28089,19106775,2T5KKZuEEudb7alCJ1pCus
