pos,change,title,days,peak,streams,total,artistIds
1,=,SOYEON - 퇴사할게여,,,1773939,,
2,+1,ATEEZ - BAD,,,1196879,,
3,-1,MEOMURU - 꿈꾸던 어른이 되었나요?,,,1087914,,
4,=,RESCENE - LOVE ATTACK,,,964053,,
5,+1,CORTIS - REDRED,,,864510,,
6,+1,RESCENE - Pretty Girl,,,839165,,
7,-2,IU - Dear my crazy soulmate,,,800281,,
8,NEW,HWASA - Good Goodbye,,,737433,,
9,+1,aespa - LEMONADE,,,726550,,
10,+2,RESCENE - Deja Vu,,,701867,,
11,+5,ILLIT - It's Me,,,601821,,
12,+2,Hearts2Hearts - RUDE!,,,599925,,
13,-2,"LEE CHANGSUB - Four seasons, and you",,,596360,,
14,-6,Lim Young Woong - Moise,,,593741,,
15,-6,ROSÉ - new trick,,,576307,,
16,+2,I.O.I - 갑자기,,,546409,,
17,-4,IU - Unknown Planet,,,542672,,
18,NEW,QWER - Dreamer,,,538468,,
19,-2,BESTIE - 연애의 조건,,,534658,,
20,-5,Girls' Generation - Skibidi,,,527289,,
