pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,,,995494,,
2,=,RESCENE - LOVE ATTACK,,,977751,,
3,=,aespa - LEMONADE,,,961044,,
4,+1,RESCENE - Pretty Girl,,,816489,,
5,+1,ILLIT - It's Me,,,767689,,
6,+1,ATEEZ - BAD,,,727472,,
7,+1,I.O.I - 갑자기,,,686663,,
8,+1,RESCENE - Deja Vu,,,646050,,
9,NEW,FIFTY FIFTY - Genie Magic,,,615679,,
10,=,Hwa Sa - Good Goodbye,,,589333,,
11,=,Hearts2Hearts - RUDE!,,,572405,,
12,=,TAEYEON - Bansanka,,,530557,,
13,-9,fromis_9 - Vitamin ME,,,514306,,
14,-1,WOODZ - Drowning,,,467051,,
15,=,tuki. - 晩餐歌,,,409712,,
16,+1,OFFICIAL HIGE DANDISM - Pretender,,,402271,,
17,+1,Hearts2Hearts - Lemon Tang,,,397317,,
18,-2,HANRORO - 사랑하게 될 거야,,,397187,,
19,-5,Novelbright - Walking with you,,,380385,,
20,NEW,YENA - 캐치 캐치,,,374734,,
