pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,89,1,105668,9559921,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,58,2,81334,3149581,5deOsjuFTKrNMJW3rKuL8S
3,+2,ILLIT - It's Me,79,2,63418,5760019,36cgvBn0aadzOijnjjwqMN
4,-1,aespa - LEMONADE,50,2,61219,4073355,6YVMFz59CuY7ngCxTxjpxE
5,-1,RESCENE - Pretty Girl,10,4,59810,517720,5deOsjuFTKrNMJW3rKuL8S
6,+1,Hearts2Hearts - Lemon Tang,26,2,57717,1556763,1ZLU77nRzQIaP23mVSYpCQ
7,-1,Jimin - Who,729,1,54558,102017205,1oSPZhvZMIrWW5I41kPkkY
8,=,HANRORO - Landing in Love,368,1,50992,16159928,5wVJpXzuKV6Xj7Yhsf2uYx
9,=,I.O.I - Suddenly,59,4,49313,3429141,6RKnXXyprPjhBdCvL802Ku
10,=,HANRORO - 0+0,303,1,48206,14846832,5wVJpXzuKV6Xj7Yhsf2uYx
11,+1,Hearts2Hearts - RUDE!,148,1,47246,9252029,1ZLU77nRzQIaP23mVSYpCQ
12,-1,ATEEZ - BAD,18,11,44466,606900,68KmkJeZGfwe1OUaivBa2L
13,=,RESCENE - Deja Vu,47,13,42761,968552,5deOsjuFTKrNMJW3rKuL8S
14,+1,HANRORO - Let Me Love My Youth,371,6,37846,10050188,5wVJpXzuKV6Xj7Yhsf2uYx
15,+3,Nerd Connection - If I have you only (My love X Nerd Connection),975,15,37668,11972599,5WKUZJPvN1SScyggtPFShK
16,-2,TAEYEON - Bansanka,19,10,37197,731043,3qNVuliS40BLgXGxhdBdqu
17,-1,KiiiKiii - 404 (New Era),173,1,36468,8512940,63sat2XSMKdwKfqspmYQKP
18,+1,WOODZ - Drowning,654,7,35149,14614277,6y9nlaoynxSvoTGY09Vdcy
19,+4,YENA - Catch Catch,123,10,34889,4634758,49muoiIu4uea4PO8vueUNN
20,+1,NMIXX - Heavy Serenade,68,3,34267,3404058,28ot3wh4oNmoFOdVajibBl
21,-1,RESCENE - Runaway,49,17,33611,1069384,5deOsjuFTKrNMJW3rKuL8S
22,=,OFFICIAL HIGE DANDISM - Pretender,754,19,33580,11510542,5Vo1hnCRmCM6M4thZCInCj
23,+1,Jung Kook - Seven (w/ Latto ),1100,1,33439,70076531,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
24,-7,Jin - Don’t Say You Love Me,428,1,33109,23094037,5vV3bFXnN6D6N3Nj4xRvaV
25,+3,AKMU - Paradise of Rumors,102,1,32371,5089425,6OwKE9Ez6ALxpTaKcT5ayv
26,=,BTS - SWIM,120,1,31844,6969985,3Nrfpe0tUJi4K4DXYWgMUX
27,-2,CORTIS - GO!,291,6,31641,6956731,1ebt9HnXdyYA6KgLXr1n4P
28,-1,Redoor - Forever Has Always Been,426,17,31239,8545995,5xhi1KB7WkPiTYb5Fm3YvS
29,+2,"Woo - We Are (w/ Loco , GRAY )",577,15,29865,6874205,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
30,+2,Epik High - Love Love Love,248,5,29603,7863718,5snNHNlYT2UrtZo5HCJkiw
31,-2,데이먼스 이어 Damons year - yours,1359,6,29530,18437003,2T5KKZuEEudb7alCJ1pCus
32,-2,Hearts2Hearts - STYLE,395,8,29128,11197200,1ZLU77nRzQIaP23mVSYpCQ
33,+2,JANNABI - for lovers who hesitate,1789,32,28742,10392241,2SY6OktZyMLdOnscX3DCyS
34,-1,CORTIS - ACAI,75,32,27771,1713325,1ebt9HnXdyYA6KgLXr1n4P
35,+1,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",120,2,27741,5750326,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
36,+2,VINXEN - FLYING HIGH WITH U,152,21,27343,3396252,4T6xiCykTP9rCNaEPU7D4q
37,-3,Ariana Grande - hate that i made you love me,50,15,27144,1549677,66CXWjxzNUsdJxJ2JdwvnR
38,-1,ILLIT - Magnetic,845,1,26768,20080334,36cgvBn0aadzOijnjjwqMN
39,+3,Nerd Connection - ‎Good Night Good Dream,760,28,26432,7614957,5WKUZJPvN1SScyggtPFShK
40,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj ),96,14,25664,2775341,1uNFoZAHBGtllmzznpCI3s;0hCNtLu0JehylgoiP8L4Gh
41,+3,LEE CHANHYUK - Endangered Love,358,11,25568,8951123,4RkTSLr5Qf79FfUkeaDKbl
42,-1,CORTIS - FaSHioN,246,12,25330,4380606,1ebt9HnXdyYA6KgLXr1n4P
43,=,hamo - 아크라포빅 (Akrapovic),154,4,25266,5558663,7bQHemX2QBqGaERdrfraNW
44,-5,LE SSERAFIM - BOOMPALA,57,7,25219,2052824,4SpbR6yFEvexJuaBpgAU5p
45,+2,CHOIJUNSEONG (Jun S) - L[ ]VE,50,16,25103,1398067,2RPo7pzzve2r1LufIxrPeR
46,RE,BTS - NORMAL,93,12,46523,2228738,3Nrfpe0tUJi4K4DXYWgMUX
47,+2,"HAON - TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush) (w/ Nosun , Raf Sandou , Marv , Jung Junhyuk , ZICO )",134,2,23455,5691267,2krUNMgFZYm5s4Nn0g91W9;0BHYZCuuyLl53LVgeC3pUa;4FBKTurCVdtC6Fq8mSQgj8;1V2ep7618bYgCcTVyDKPcW;3AfvvgMrTONEdoXOfWrBoS;4XpUIb8uuNlIWVKmgKZXC0
48,-2,Hearts2Hearts - FOCUS,271,6,23351,8744711,1ZLU77nRzQIaP23mVSYpCQ
49,-4,Lim Young Woong - Eternal Moment,323,16,23134,7318075,75MOYjGEyyH5U4ZFHOPvxR
50,-2,tuki. - 晩餐歌,765,47,22630,7835636,1Y5vJqABeI6QI6R95EDV6o
51,,BTS - NORMAL,,,,,3Nrfpe0tUJi4K4DXYWgMUX
52,+8,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park ),445,49,20548,5392915,2dd5mrQZvg6SmahdgVKDzh;7MNyflLAWpaH0EPw1fdORD
53,-3,RESCENE - Pinball,13,50,20114,205919,5deOsjuFTKrNMJW3rKuL8S
54,-2,"AKMU - How can I love the heartbreak, you're the one I love",1043,24,19518,8462877,6OwKE9Ez6ALxpTaKcT5ayv
55,+1,Kim Na Young - A Letter For You,69,53,19047,1165350,4dvmLXorXADxVq8EcySEWk
56,-3,ILLIT - NOT CUTE ANYMORE,236,2,18978,6909576,36cgvBn0aadzOijnjjwqMN
57,-2,Sung Si Kyung - Every moment of you,252,41,18833,3674590,7jFUYMpMUBDL4JQtMZ5ilc
