pos,change,title,days,peak,streams,total,artistIds
1,=,RESCENE - LOVE ATTACK,127,1,78892,8163572,5deOsjuFTKrNMJW3rKuL8S
2,+2,CORTIS - REDRED,158,1,76755,15021308,1ebt9HnXdyYA6KgLXr1n4P
3,-1,SOYEON - I’m gonna TOESA,16,2,73744,798547,6Xg22wJOAcnvPUfk5WvODH
4,-1,Jung Kook - Seven (w/ Latto ),1169,1,67003,73408246,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
5,=,RESCENE - Deja Vu,116,5,61364,4297966,5deOsjuFTKrNMJW3rKuL8S
6,+2,Jimin - Who,798,1,60720,105927794,1oSPZhvZMIrWW5I41kPkkY
7,=,RESCENE - Pretty Girl,79,3,60211,4536171,5deOsjuFTKrNMJW3rKuL8S
8,+2,ATEEZ - BAD,87,7,56953,3969362,68KmkJeZGfwe1OUaivBa2L
9,-3,BIG Naughty - Nostalgia,25,1,56551,1632320,7cEaNXXTHx3LokbjUUyHal
10,-1,Redoor - Forever Has Always Been,495,6,52783,11213622,5xhi1KB7WkPiTYb5Fm3YvS
11,+2,aespa - LEMONADE,119,2,49226,7834607,6YVMFz59CuY7ngCxTxjpxE
12,+2,HANRORO - Landing in Love,437,1,48998,19191493,5wVJpXzuKV6Xj7Yhsf2uYx
13,-2,IU - Dear my crazy soulmate,15,6,48046,723619,3HqSLMAZ3g3d5poNaI7GOU
14,+4,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1773,3,46761,12958939,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
15,-3,HANRORO - 0+0,372,1,46100,18054713,5wVJpXzuKV6Xj7Yhsf2uYx
16,=,Nerd Connection - If I have you only (My love X Nerd Connection),1044,13,45768,14587441,5WKUZJPvN1SScyggtPFShK
17,+3,ILLIT - It's Me,148,2,44848,9113513,36cgvBn0aadzOijnjjwqMN
18,-1,Hearts2Hearts - RUDE!,217,1,43136,12134192,1ZLU77nRzQIaP23mVSYpCQ
19,-4,KiiiKiii - Pop Off Pop Off,46,1,41765,2522056,63sat2XSMKdwKfqspmYQKP
20,+2,I.O.I - Suddenly,128,4,41564,6290911,6RKnXXyprPjhBdCvL802Ku
21,+2,WOODZ - Drowning,723,7,40172,17049002,6y9nlaoynxSvoTGY09Vdcy
22,-1,HANRORO - Let Me Love My Youth,440,6,40079,12601613,5wVJpXzuKV6Xj7Yhsf2uYx
23,-4,IU - Unknown Planet,15,5,39193,630290,3HqSLMAZ3g3d5poNaI7GOU
24,+7,YENA - Catch Catch,192,10,37296,6830764,49muoiIu4uea4PO8vueUNN
25,-1,Hearts2Hearts - Lemon Tang,95,2,37090,4563573,1ZLU77nRzQIaP23mVSYpCQ
26,+1,BIGBANG - BiiiG,37,1,36633,1986671,4Kxlr1PRlDKEB0ekOCyHgX
27,-1,Nerd Connection - ‎Good Night Good Dream,829,24,36033,9580753,5WKUZJPvN1SScyggtPFShK
28,-3,The Black Skirts - Ling Ling,323,25,35986,5050011,6WeDO4GynFmK4OxwkBzMW8
29,+3,TAEYEON - Bansanka,88,10,34252,2794280,3qNVuliS40BLgXGxhdBdqu
30,-1,JANNABI - for lovers who hesitate,1858,23,33820,12514020,2SY6OktZyMLdOnscX3DCyS
31,+3,Epik High - Love Love Love,317,5,33182,9860762,5snNHNlYT2UrtZo5HCJkiw
32,-4,KiiiKiii - 404 (New Era),242,1,32968,10894621,63sat2XSMKdwKfqspmYQKP
33,-3,RESCENE - Runaway,118,17,32405,3129444,5deOsjuFTKrNMJW3rKuL8S
34,+3,"Woo - We Are (w/ Loco , GRAY )",646,15,32163,8940249,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
35,=,데이먼스 이어 Damons year - yours,1428,6,31507,20427836,2T5KKZuEEudb7alCJ1pCus
36,=,OFFICIAL HIGE DANDISM - Pretender,823,19,29936,13639261,5Vo1hnCRmCM6M4thZCInCj
37,+1,Lim Young Woong - ToTo,16,31,29546,453286,75MOYjGEyyH5U4ZFHOPvxR
38,-5,TUIDE - SUN KISS,32,14,28669,1063027,2uxeKIw5ancTu92x28Ctkf
