pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,130,1,73068,13038274,1ebt9HnXdyYA6KgLXr1n4P
2,+1,RESCENE - LOVE ATTACK,99,2,68943,6227497,5deOsjuFTKrNMJW3rKuL8S
3,-1,BIGBANG - BiiiG,9,1,64038,721673,4Kxlr1PRlDKEB0ekOCyHgX
4,=,KiiiKiii - Pop Off Pop Off,18,1,58386,1123157,63sat2XSMKdwKfqspmYQKP
5,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1745,3,56854,11550603,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
6,+3,Jimin - Who,770,1,52291,104308017,1oSPZhvZMIrWW5I41kPkkY
7,=,aespa - LEMONADE,91,2,52181,6452073,6YVMFz59CuY7ngCxTxjpxE
8,-2,RESCENE - Pretty Girl,51,3,51182,3070545,5deOsjuFTKrNMJW3rKuL8S
9,+1,ATEEZ - BAD,59,7,48889,2582986,68KmkJeZGfwe1OUaivBa2L
10,-2,Jung Kook - Seven (w/ Latto ),1141,1,48653,71541387,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
11,+1,RESCENE - Deja Vu,88,8,46843,2892706,5deOsjuFTKrNMJW3rKuL8S
12,+1,HANRORO - 0+0,344,1,44624,16755375,5wVJpXzuKV6Xj7Yhsf2uYx
13,-2,ILLIT - It's Me,120,2,44480,7934920,36cgvBn0aadzOijnjjwqMN
14,+3,Nerd Connection - If I have you only (My love X Nerd Connection),1016,14,41782,13433278,5WKUZJPvN1SScyggtPFShK
15,=,HANRORO - Landing in Love,409,1,40561,17971373,5wVJpXzuKV6Xj7Yhsf2uYx
16,-2,Hearts2Hearts - Lemon Tang,67,2,39989,3506307,1ZLU77nRzQIaP23mVSYpCQ
17,-1,I.O.I - Suddenly,100,4,39317,5240789,6RKnXXyprPjhBdCvL802Ku
18,=,Redoor - Forever Has Always Been,467,17,36912,9876733,5xhi1KB7WkPiTYb5Fm3YvS
19,+1,HANRORO - Let Me Love My Youth,412,6,35959,11531582,5wVJpXzuKV6Xj7Yhsf2uYx
20,-1,Hearts2Hearts - RUDE!,189,1,35671,11010287,1ZLU77nRzQIaP23mVSYpCQ
21,+2,ENHYPEN - Bloody Paradise,7,21,34509,213531,5t5FqBwTcgKTaWmfEbwQY9
22,=,JENNIE - Less than a Lover,35,3,34134,1848490,250b0Wlc5Vk0CoUsaCY84M
23,-2,WOODZ - Drowning,695,7,33153,16053379,6y9nlaoynxSvoTGY09Vdcy
