pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,,,1423455,,
2,=,ATEEZ - BAD,,,1197736,,
3,+4,JENNIE - FALLEN ANGEL,,,993759,,
4,-1,RESCENE - LOVE ATTACK,,,951458,,
5,=,CORTIS - REDRED,,,876634,,
6,-2,aespa - LEMONADE,,,867766,,
7,-1,RESCENE - Pretty Girl,,,801868,,
8,=,ILLIT - It's Me,,,709861,,
9,+1,Hearts2Hearts - RUDE!,,,613687,,
10,+2,LEE SUHYUN - Blue Lagoon (Korean Ver.),,,598712,,
11,-2,RESCENE - Deja Vu,,,593865,,
12,-1,I.O.I - 갑자기,,,575023,,
13,NEW,JENNIE - HEAVEN,,,491099,,
14,+3,YENA - 캐치 캐치,,,465309,,
15,-2,KiiiKiii - Pop Off Pop Off,,,465098,,
16,-2,TAEYEON - Bansanka,,,452522,,
17,-2,WOODZ - Drowning,,,442875,,
18,=,HWASA - Good Goodbye,,,407582,,
19,+1,OFFICIAL HIGE DANDISM - Pretender,,,390167,,
20,NEW,Ha Yea Song - Happy Me (2026 ver.),,,381054,,
