pos,change,title,days,peak,streams,total,artistIds
1,=,Jung Kook - Seven (w/ Latto ),1163,1,70764,72979352,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
2,=,RESCENE - LOVE ATTACK,121,2,64477,7727574,5deOsjuFTKrNMJW3rKuL8S
3,=,CORTIS - REDRED,152,1,63336,14601442,1ebt9HnXdyYA6KgLXr1n4P
4,+1,Jimin - Who,792,1,60560,105563303,1oSPZhvZMIrWW5I41kPkkY
5,-1,BIG Naughty - Nostalgia,19,1,59076,1285144,7cEaNXXTHx3LokbjUUyHal
6,=,SOYEON - I’m gonna TOESA,10,6,57880,376418,6Xg22wJOAcnvPUfk5WvODH
7,+1,IU - Dear my crazy soulmate,9,6,51082,421331,3HqSLMAZ3g3d5poNaI7GOU
8,-1,Redoor - Forever Has Always Been,489,6,50643,10891683,5xhi1KB7WkPiTYb5Fm3YvS
9,=,RESCENE - Deja Vu,110,8,50123,3962901,5deOsjuFTKrNMJW3rKuL8S
10,=,RESCENE - Pretty Girl,73,3,49009,4209978,5deOsjuFTKrNMJW3rKuL8S
11,+1,HANRORO - 0+0,366,1,48178,17761669,5wVJpXzuKV6Xj7Yhsf2uYx
12,-1,ATEEZ - BAD,81,7,47945,3657243,68KmkJeZGfwe1OUaivBa2L
13,NEW,ROSÉ - new trick,1,13,47123,47123,3eVa5w3URK5duf6eyVDbu9
14,-1,aespa - LEMONADE,113,2,44086,7558515,6YVMFz59CuY7ngCxTxjpxE
15,+1,IU - Unknown Planet,9,5,43379,375884,3HqSLMAZ3g3d5poNaI7GOU
16,-2,KiiiKiii - Pop Off Pop Off,40,1,43326,2262909,63sat2XSMKdwKfqspmYQKP
17,-2,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1767,3,42104,12689404,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
18,-1,Nerd Connection - If I have you only (My love X Nerd Connection),1038,13,41890,14319351,5WKUZJPvN1SScyggtPFShK
19,-1,HANRORO - Landing in Love,431,1,41395,18921121,5wVJpXzuKV6Xj7Yhsf2uYx
20,=,Hearts2Hearts - RUDE!,211,1,38284,11888185,1ZLU77nRzQIaP23mVSYpCQ
21,=,ILLIT - It's Me,142,2,38264,8865822,36cgvBn0aadzOijnjjwqMN
22,-3,HANRORO - Let Me Love My Youth,434,6,38080,12360572,5wVJpXzuKV6Xj7Yhsf2uYx
23,-1,I.O.I - Suddenly,122,4,35396,6059266,6RKnXXyprPjhBdCvL802Ku
24,-1,Hearts2Hearts - Lemon Tang,89,2,35065,4341460,1ZLU77nRzQIaP23mVSYpCQ
25,=,WOODZ - Drowning,717,7,34908,16829169,6y9nlaoynxSvoTGY09Vdcy
26,-2,BIGBANG - BiiiG,31,1,34890,1776946,4Kxlr1PRlDKEB0ekOCyHgX
27,=,JANNABI - for lovers who hesitate,1852,23,32999,12307486,2SY6OktZyMLdOnscX3DCyS
28,-2,TUIDE - SUN KISS,26,14,31681,870886,2uxeKIw5ancTu92x28Ctkf
29,-1,KiiiKiii - 404 (New Era),236,1,31293,10693988,63sat2XSMKdwKfqspmYQKP
30,=,Nerd Connection - ‎Good Night Good Dream,823,26,30781,9372212,5WKUZJPvN1SScyggtPFShK
31,-2,Girls' Generation-HRS - Skibidi,17,26,30775,454010,1wlgozUz29VEBQxMDqQFK1
32,-1,데이먼스 이어 Damons year - yours,1422,6,30473,20233827,2T5KKZuEEudb7alCJ1pCus
33,+4,Epik High - Love Love Love,311,5,29457,9671912,5snNHNlYT2UrtZo5HCJkiw
34,+6,Lim Young Woong - ToTo,10,34,29108,271342,75MOYjGEyyH5U4ZFHOPvxR
35,-3,The Black Skirts - Ling Ling,317,28,29105,4851454,6WeDO4GynFmK4OxwkBzMW8
36,-3,"Woo - We Are (w/ Loco , GRAY )",640,15,28896,8750406,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
37,-2,OFFICIAL HIGE DANDISM - Pretender,817,19,28882,13460323,5Vo1hnCRmCM6M4thZCInCj
38,-2,RESCENE - Runaway,112,17,28823,2942449,5deOsjuFTKrNMJW3rKuL8S
39,+2,YENA - Catch Catch,186,10,28440,6637956,49muoiIu4uea4PO8vueUNN
40,-2,TAEYEON - Bansanka,82,10,28425,2611598,3qNVuliS40BLgXGxhdBdqu
41,-2,D.O. - Guitarist,10,31,28273,246966,2CQZr2RPZmrcvDnaod1ldC
42,-8,Hearts2Hearts - FOCUS,334,6,28214,10344605,1ZLU77nRzQIaP23mVSYpCQ
43,-1,JENNIE - Less than a Lover,57,3,27182,2587750,250b0Wlc5Vk0CoUsaCY84M
