pos,change,title,days,peak,streams,total,artistIds
1,=,LISA - SaWaDiKa,,,2204505,,
2,=,ATEEZ - BAD,,,1149883,,
3,NEW,LISA - SaWaDiKa,,,949420,,
4,-1,RESCENE - LOVE ATTACK,,,940900,,
5,+1,RESCENE - Pretty Girl,,,876905,,
6,-1,aespa - LEMONADE,,,859228,,
7,=,CORTIS - REDRED,,,849249,,
8,-4,BIGBANG - BiiiG,,,838863,,
9,-1,ILLIT - It's Me,,,689028,,
10,=,Hearts2Hearts - RUDE!,,,628918,,
11,-2,RESCENE - Deja Vu,,,599590,,
12,=,I.O.I - 갑자기,,,575851,,
13,=,KiiiKiii - Pop Off Pop Off,,,492190,,
14,=,WOODZ - Drowning,,,473836,,
15,+1,YENA - 캐치 캐치,,,453870,,
16,+3,HWASA - Good Goodbye,,,431258,,
17,-2,TAEYEON - Bansanka,,,428601,,
18,=,OFFICIAL HIGE DANDISM - Pretender,,,410456,,
19,-2,LEE SUHYUN - Blue Lagoon (Korean Ver.),,,408331,,
20,NEW,tuki. - 晩餐歌,,,371733,,
