pos,change,title,days,peak,streams,total,artistIds
1,=,SOYEON - 퇴사할게여,,,1622325,,
2,+1,MEOMURU - 꿈꾸던 어른이 되었나요?,,,1122717,,
3,-1,ATEEZ - BAD,,,1118030,,
4,=,RESCENE - LOVE ATTACK,,,876743,,
5,=,IU - Dear my crazy soulmate,,,804483,,
6,=,CORTIS - REDRED,,,787993,,
7,+1,RESCENE - Pretty Girl,,,741141,,
8,+5,Lim Young Woong - Moise,,,724504,,
9,-2,ROSÉ - new trick,,,717291,,
10,=,aespa - LEMONADE,,,672421,,
11,-2,"LEE CHANGSUB - Four seasons, and you",,,664202,,
12,-1,RESCENE - Deja Vu,,,660275,,
13,-1,IU - Unknown Planet,,,590054,,
14,=,Hearts2Hearts - RUDE!,,,543653,,
15,+1,Girls' Generation - Skibidi,,,524286,,
16,+1,ILLIT - It's Me,,,522000,,
17,+3,BESTIE - 연애의 조건,,,508429,,
18,=,I.O.I - 갑자기,,,497224,,
19,-4,Lim Young Woong - 또또,,,478663,,
20,-1,Choi Yu Ree - 생각을 멈추다 보면,,,467695,,
