pos,change,title,days,peak,streams,total,artistIds
1,+2,BIG Naughty - Nostalgia,7,1,82756,478847,7cEaNXXTHx3LokbjUUyHal
2,-1,CORTIS - REDRED,140,1,78409,13779146,1ebt9HnXdyYA6KgLXr1n4P
3,+1,RESCENE - LOVE ATTACK,109,2,71999,6919984,5deOsjuFTKrNMJW3rKuL8S
4,-2,Jung Kook - Seven (w/ Latto ),1151,1,69216,72112477,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
5,+1,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1755,3,57188,12112634,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
6,+1,Jimin - Who,780,1,57057,104876562,1oSPZhvZMIrWW5I41kPkkY
7,+1,KiiiKiii - Pop Off Pop Off,28,1,56673,1694787,63sat2XSMKdwKfqspmYQKP
8,-3,RESCENE - Pretty Girl,61,3,56451,3604886,5deOsjuFTKrNMJW3rKuL8S
9,=,aespa - LEMONADE,101,2,53043,6966709,6YVMFz59CuY7ngCxTxjpxE
10,=,ATEEZ - BAD,69,7,52410,3082904,68KmkJeZGfwe1OUaivBa2L
11,+1,RESCENE - Deja Vu,98,8,50883,3374339,5deOsjuFTKrNMJW3rKuL8S
12,-1,BIGBANG - BiiiG,19,1,49488,1278630,4Kxlr1PRlDKEB0ekOCyHgX
13,+2,Redoor - Forever Has Always Been,477,13,48663,10289068,5xhi1KB7WkPiTYb5Fm3YvS
14,=,HANRORO - 0+0,354,1,47180,17196657,5wVJpXzuKV6Xj7Yhsf2uYx
15,-2,ILLIT - It's Me,130,2,46129,8378810,36cgvBn0aadzOijnjjwqMN
16,=,HANRORO - Landing in Love,419,1,45249,18393105,5wVJpXzuKV6Xj7Yhsf2uYx
17,=,Hearts2Hearts - RUDE!,199,1,42081,11399427,1ZLU77nRzQIaP23mVSYpCQ
18,+1,Hearts2Hearts - Lemon Tang,77,2,41013,3898361,1ZLU77nRzQIaP23mVSYpCQ
19,+1,Nerd Connection - If I have you only (My love X Nerd Connection),1026,13,40604,13840448,5WKUZJPvN1SScyggtPFShK
20,-2,I.O.I - Suddenly,110,4,39150,5626087,6RKnXXyprPjhBdCvL802Ku
21,+1,HANRORO - Let Me Love My Youth,422,6,38592,11895135,5wVJpXzuKV6Xj7Yhsf2uYx
22,-1,WOODZ - Drowning,705,7,37951,16405943,6y9nlaoynxSvoTGY09Vdcy
23,=,JANNABI - for lovers who hesitate,1840,23,37538,11927708,2SY6OktZyMLdOnscX3DCyS
24,=,TUIDE - SUN KISS,14,14,36044,456886,2uxeKIw5ancTu92x28Ctkf
25,+1,JENNIE - FALLEN ANGEL,10,19,35349,346225,250b0Wlc5Vk0CoUsaCY84M
26,-1,JENNIE - Less than a Lover,45,3,33978,2232437,250b0Wlc5Vk0CoUsaCY84M
27,+1,OFFICIAL HIGE DANDISM - Pretender,805,19,33342,13098197,5Vo1hnCRmCM6M4thZCInCj
28,-1,KiiiKiii - 404 (New Era),224,1,33076,10292086,63sat2XSMKdwKfqspmYQKP
