pos,change,title,days,peak,streams,total,artistIds
1,+1,ATEEZ - BAD,,,1017015,,
2,-1,BIGBANG - BiiiG,,,969426,,
3,=,RESCENE - LOVE ATTACK,,,860525,,
4,=,aespa - LEMONADE,,,804047,,
5,=,CORTIS - REDRED,,,740667,,
6,=,RESCENE - Pretty Girl,,,720599,,
7,+1,RESCENE - Deja Vu,,,581480,,
8,+2,Hearts2Hearts - RUDE!,,,562879,,
9,=,ILLIT - It's Me,,,557799,,
10,+1,I.O.I - 갑자기,,,498523,,
11,+3,KiiiKiii - Pop Off Pop Off,,,473808,,
12,=,LEE SUHYUN - Blue Lagoon (Korean Ver.),,,454776,,
13,=,JENNIE - FALLEN ANGEL,,,442461,,
14,+1,WOODZ - Drowning,,,428368,,
15,+1,TAEYEON - Bansanka,,,412683,,
16,+4,HWASA - Good Goodbye,,,370356,,
17,+2,OFFICIAL HIGE DANDISM - Pretender,,,365412,,
18,-1,Choi Yu Ree - 생각을 멈추다 보면,,,364144,,
19,-1,YENA - 캐치 캐치,,,363080,,
20,NEW,tuki. - 晩餐歌,,,333900,,
