pos,change,title,days,peak,streams,total,artistIds
1,=,SOYEON - 퇴사할게여,,,1863441,,
2,=,ATEEZ - BAD,,,1425881,,
3,=,MEOMURU - 꿈꾸던 어른이 되었나요?,,,1090106,,
4,=,ROSÉ - new trick,,,1019789,,
5,+2,CORTIS - REDRED,,,938270,,
6,-1,RESCENE - LOVE ATTACK,,,929144,,
7,+1,RESCENE - Pretty Girl,,,902595,,
8,-2,IU - Dear my crazy soulmate,,,826250,,
9,=,aespa - LEMONADE,,,767162,,
10,=,RESCENE - Deja Vu,,,675993,,
11,+1,ILLIT - It's Me,,,637994,,
12,-1,Hearts2Hearts - RUDE!,,,599040,,
13,+3,I.O.I - 갑자기,,,559132,,
14,NEW,"LEE CHANGSUB - Four seasons, and you",,,557994,,
15,-1,Girls' Generation - Skibidi,,,543782,,
16,-1,BIGBANG - BiiiG,,,536232,,
17,=,HWASA - Good Goodbye,,,535733,,
18,NEW,IU - Unknown Planet,,,529436,,
19,-6,Lim Young Woong - 또또,,,522455,,
20,-2,WOODZ - Drowning,,,514993,,
