pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,3,1,89020,266740,4Kxlr1PRlDKEB0ekOCyHgX
2,=,CORTIS - REDRED,124,1,71394,12561994,1ebt9HnXdyYA6KgLXr1n4P
3,=,RESCENE - LOVE ATTACK,93,2,65490,5807832,5deOsjuFTKrNMJW3rKuL8S
4,=,KiiiKiii - Pop Off Pop Off,12,1,60981,740029,63sat2XSMKdwKfqspmYQKP
5,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1739,3,57226,11176966,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
6,=,Jimin - Who,764,1,57011,103989944,1oSPZhvZMIrWW5I41kPkkY
7,=,aespa - LEMONADE,85,2,51847,6125339,6YVMFz59CuY7ngCxTxjpxE
8,=,RESCENE - Pretty Girl,45,3,51442,2740858,5deOsjuFTKrNMJW3rKuL8S
9,+1,ATEEZ - BAD,53,7,46471,2286920,68KmkJeZGfwe1OUaivBa2L
10,-1,RESCENE - Deja Vu,82,8,45746,2607533,5deOsjuFTKrNMJW3rKuL8S
11,=,ILLIT - It's Me,114,2,43662,7652950,36cgvBn0aadzOijnjjwqMN
12,+1,HANRORO - 0+0,338,1,40083,16491408,5wVJpXzuKV6Xj7Yhsf2uYx
13,-1,Hearts2Hearts - Lemon Tang,61,2,38921,3254193,1ZLU77nRzQIaP23mVSYpCQ
14,=,I.O.I - Suddenly,94,4,38114,4999958,6RKnXXyprPjhBdCvL802Ku
15,+1,HANRORO - Landing in Love,403,1,37370,17727948,5wVJpXzuKV6Xj7Yhsf2uYx
16,-1,JENNIE - Less than a Lover,29,3,35705,1642951,250b0Wlc5Vk0CoUsaCY84M
17,+9,Jung Kook - Seven (w/ Latto ),1135,1,34081,71275565,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
18,-1,Hearts2Hearts - RUDE!,183,1,34014,10789863,1ZLU77nRzQIaP23mVSYpCQ
19,=,WOODZ - Drowning,689,7,33474,15845383,6y9nlaoynxSvoTGY09Vdcy
20,-2,Red Velvet - Surfin' Boy,19,12,33038,736328,1z4g3DjTBBZKhvAroFlhOM
21,+1,KiiiKiii - Candy Pink Magic Hole Flip Phone,12,21,33038,319625,63sat2XSMKdwKfqspmYQKP
22,-2,Nerd Connection - If I have you only (My love X Nerd Connection),1010,15,32759,13207236,5WKUZJPvN1SScyggtPFShK
23,+1,Redoor - Forever Has Always Been,461,17,32545,9655791,5xhi1KB7WkPiTYb5Fm3YvS
24,+3,HANRORO - Let Me Love My Youth,406,6,32536,11321741,5wVJpXzuKV6Xj7Yhsf2uYx
25,-4,KiiiKiii - 404 (New Era),208,1,31899,9774424,63sat2XSMKdwKfqspmYQKP
26,-3,Jin - Don’t Say You Love Me,463,1,31229,24267366,5vV3bFXnN6D6N3Nj4xRvaV
27,-2,RESCENE - Runaway,84,17,30986,2123151,5deOsjuFTKrNMJW3rKuL8S
28,=,Hearts2Hearts - ICONIC HEART,10,19,29977,274528,1ZLU77nRzQIaP23mVSYpCQ
29,=,YENA - Catch Catch,158,10,29541,5813833,49muoiIu4uea4PO8vueUNN
30,+2,fromis_9 - Vitamin ME,32,15,29215,1115126,24nUVBIlCGi4twz4nYxJum
31,-1,BOL4 - Please Summer!,29,18,28363,788778,4k5fFEYgkWYrYvtOK3zVBl
32,+2,OFFICIAL HIGE DANDISM - Pretender,789,19,27833,12608869,5Vo1hnCRmCM6M4thZCInCj
33,+3,TAEYEON - Bansanka,54,10,27647,1808755,3qNVuliS40BLgXGxhdBdqu
