pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,2,1,99145,177720,4Kxlr1PRlDKEB0ekOCyHgX
2,=,CORTIS - REDRED,123,1,74531,12490600,1ebt9HnXdyYA6KgLXr1n4P
3,+1,RESCENE - LOVE ATTACK,92,2,69731,5742342,5deOsjuFTKrNMJW3rKuL8S
4,-1,KiiiKiii - Pop Off Pop Off,11,1,67832,679048,63sat2XSMKdwKfqspmYQKP
5,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1738,3,59239,11119740,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
6,=,Jimin - Who,763,1,57541,103932933,1oSPZhvZMIrWW5I41kPkkY
7,=,aespa - LEMONADE,84,2,53185,6073492,6YVMFz59CuY7ngCxTxjpxE
8,=,RESCENE - Pretty Girl,44,3,52316,2689416,5deOsjuFTKrNMJW3rKuL8S
9,+1,RESCENE - Deja Vu,81,8,48033,2561787,5deOsjuFTKrNMJW3rKuL8S
10,-1,ATEEZ - BAD,52,7,47989,2240449,68KmkJeZGfwe1OUaivBa2L
11,=,ILLIT - It's Me,113,2,45195,7609288,36cgvBn0aadzOijnjjwqMN
12,=,Hearts2Hearts - Lemon Tang,60,2,41765,3215272,1ZLU77nRzQIaP23mVSYpCQ
13,=,HANRORO - 0+0,337,1,41117,16451325,5wVJpXzuKV6Xj7Yhsf2uYx
14,+2,I.O.I - Suddenly,93,4,39686,4961844,6RKnXXyprPjhBdCvL802Ku
15,-1,JENNIE - Less than a Lover,28,3,39581,1607246,250b0Wlc5Vk0CoUsaCY84M
16,-1,HANRORO - Landing in Love,402,1,38792,17690578,5wVJpXzuKV6Xj7Yhsf2uYx
17,=,Hearts2Hearts - RUDE!,182,1,35563,10755849,1ZLU77nRzQIaP23mVSYpCQ
18,+4,Red Velvet - Surfin' Boy,18,12,34838,703290,1z4g3DjTBBZKhvAroFlhOM
19,=,WOODZ - Drowning,688,7,34464,15811909,6y9nlaoynxSvoTGY09Vdcy
20,-2,Nerd Connection - If I have you only (My love X Nerd Connection),1009,15,34106,13174477,5WKUZJPvN1SScyggtPFShK
21,-1,KiiiKiii - 404 (New Era),207,1,33617,9742525,63sat2XSMKdwKfqspmYQKP
22,-1,KiiiKiii - Candy Pink Magic Hole Flip Phone,11,21,33413,286587,63sat2XSMKdwKfqspmYQKP
23,+1,Jin - Don’t Say You Love Me,462,1,33327,24236137,5vV3bFXnN6D6N3Nj4xRvaV
24,-1,Redoor - Forever Has Always Been,460,17,33242,9623246,5xhi1KB7WkPiTYb5Fm3YvS
25,+3,RESCENE - Runaway,83,17,32618,2092165,5deOsjuFTKrNMJW3rKuL8S
26,=,Jung Kook - Seven (w/ Latto ),1134,1,32561,71241484,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
27,-2,HANRORO - Let Me Love My Youth,405,6,32511,11289205,5wVJpXzuKV6Xj7Yhsf2uYx
28,-1,Hearts2Hearts - ICONIC HEART,9,19,31537,244551,1ZLU77nRzQIaP23mVSYpCQ
29,=,YENA - Catch Catch,157,10,30247,5784292,49muoiIu4uea4PO8vueUNN
30,=,BOL4 - Please Summer!,28,18,29917,760415,4k5fFEYgkWYrYvtOK3zVBl
31,+4,BTS - SWIM,154,1,28731,7999352,3Nrfpe0tUJi4K4DXYWgMUX
32,-1,fromis_9 - Vitamin ME,31,15,28700,1085911,24nUVBIlCGi4twz4nYxJum
33,=,JANNABI - for lovers who hesitate,1823,26,28433,11384752,2SY6OktZyMLdOnscX3DCyS
34,-2,OFFICIAL HIGE DANDISM - Pretender,788,19,28113,12581036,5Vo1hnCRmCM6M4thZCInCj
35,-1,NMIXX - Heavy Serenade,102,3,26664,4449073,28ot3wh4oNmoFOdVajibBl
36,=,TAEYEON - Bansanka,53,10,26635,1781108,3qNVuliS40BLgXGxhdBdqu
37,=,"Woo - We Are (w/ Loco , GRAY )",611,15,26632,7876907,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
38,=,Hearts2Hearts - FOCUS,305,6,26449,9593357,1ZLU77nRzQIaP23mVSYpCQ
39,=,Epik High - Love Love Love,282,5,26401,8835469,5snNHNlYT2UrtZo5HCJkiw
40,+3,Lim Young Woong - Eternal Moment,357,16,25365,8154687,75MOYjGEyyH5U4ZFHOPvxR
41,=,데이먼스 이어 Damons year - yours,1393,6,25306,19374838,2T5KKZuEEudb7alCJ1pCus
42,-2,tuki. - 晩餐歌,799,30,25229,8760841,1Y5vJqABeI6QI6R95EDV6o
43,+1,Hearts2Hearts - STYLE,429,8,24174,12126944,1ZLU77nRzQIaP23mVSYpCQ
44,-2,Nerd Connection - ‎Good Night Good Dream,794,28,23953,8524680,5WKUZJPvN1SScyggtPFShK
45,=,The Black Skirts - Ling Ling,288,45,23615,4025800,6WeDO4GynFmK4OxwkBzMW8
46,+2,LEE CHANHYUK - Endangered Love,392,11,22960,9773397,4RkTSLr5Qf79FfUkeaDKbl
47,=,AKMU - Paradise of Rumors,136,1,22899,6030826,6OwKE9Ez6ALxpTaKcT5ayv
48,-2,VINXEN - FLYING HIGH WITH U,186,21,22591,4240003,4T6xiCykTP9rCNaEPU7D4q
49,=,ILLIT - Magnetic,879,1,22386,20957523,36cgvBn0aadzOijnjjwqMN
50,=,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",154,2,21758,6581288,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
51,=,CORTIS - GO!,325,6,21650,7835943,1ebt9HnXdyYA6KgLXr1n4P
52,+1,Ariana Grande - hate that i made you love me,83,15,21317,2406779,66CXWjxzNUsdJxJ2JdwvnR
53,+2,RESCENE - Pinball,47,50,20364,843668,5deOsjuFTKrNMJW3rKuL8S
54,-2,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj ),130,14,19580,3584696,1uNFoZAHBGtllmzznpCI3s;0hCNtLu0JehylgoiP8L4Gh
55,-1,CORTIS - ACAI,109,32,19108,2531983,1ebt9HnXdyYA6KgLXr1n4P
56,+1,NewJeans - Hype Boy,1481,1,19000,25076536,6HvZYsbFfjnjFrWF950C9d
57,+1,Dominic Fike - Babydoll,156,51,17963,2621425,6USv9qhCn6zfxlBQIYJ9qs
58,-2,Steve Lacy - oh yeah?,17,54,17791,300160,57vWImR43h4CaDao012Ofp
59,=,Sung Si Kyung - Every moment of you,286,41,17779,4301466,7jFUYMpMUBDL4JQtMZ5ilc
60,+27,Epik High - 우산 (w/ Younha ),221,50,17741,2770956,5snNHNlYT2UrtZo5HCJkiw;6GwM5CHqhWXzG3l5kzRSAS
61,=,KATSEYE - Animal,27,43,17298,537829,3c0gDdb9lhnHGFtP4prQpn
62,=,Kim Na Young - A Letter For You,103,53,17270,1806594,4dvmLXorXADxVq8EcySEWk
63,+2,"Heize - And July (w/ DEAN , dj friz )",93,53,17259,1667810,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
64,+8,Brown Eyes - 벌써 일년,519,34,17082,7537493,6O7LgtO6NKOOOudzRayUfJ
65,-5,KiiiKiii - SWEET SOUR,11,55,17077,187532,63sat2XSMKdwKfqspmYQKP
66,+7,ROSÉ - toxic till the end,624,2,16632,13170854,3eVa5w3URK5duf6eyVDbu9
67,+1,Lim Young Woong - ULSSIGU,357,20,16583,6852160,75MOYjGEyyH5U4ZFHOPvxR
68,-2,"AKMU - How can I love the heartbreak, you're the one I love",1077,24,16571,9076256,6OwKE9Ez6ALxpTaKcT5ayv
69,+12,BIGBANG - HARU HARU - KR Ver.,253,55,16487,2599909,4Kxlr1PRlDKEB0ekOCyHgX
70,+1,KATSEYE - Hootie Frutti,3,69,16468,50108,3c0gDdb9lhnHGFtP4prQpn
71,-4,aespa - KISS N TELL,28,42,16440,516828,6YVMFz59CuY7ngCxTxjpxE
72,+2,The Black Skirts - 1:05,491,45,16392,6454946,6WeDO4GynFmK4OxwkBzMW8
73,-3,NMIXX - Blue Valentine,312,3,16317,9029918,28ot3wh4oNmoFOdVajibBl
74,-5,Lady Gaga - Die With A Smile (w/ Bruno Mars ),735,5,16300,14304902,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
75,-12,Jimin - Be Mine,743,2,16168,28560714,1oSPZhvZMIrWW5I41kPkkY
76,=,Lim Young Woong - Unread Message,357,26,16022,6449029,75MOYjGEyyH5U4ZFHOPvxR
77,+1,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park ),479,49,15896,6029496,2dd5mrQZvg6SmahdgVKDzh;7MNyflLAWpaH0EPw1fdORD
78,-14,KiiiKiii - Ever2Late!,11,63,15823,184771,63sat2XSMKdwKfqspmYQKP
79,-4,fromis_9 - Supersonic,690,10,15817,10522986,24nUVBIlCGi4twz4nYxJum
80,-1,BIG Naughty - Vancouver,1211,33,15524,8595559,7cEaNXXTHx3LokbjUUyHal
81,+12,"AKMU - Joy, Sorrow, A Beautiful Heart",136,3,15463,4304564,6OwKE9Ez6ALxpTaKcT5ayv
82,+8,The NuTs - 사랑의 바보,601,50,15391,7069227,56NKtypwi90dIOb5ZQZwHb
83,-6,She & Him - I Thought I Saw Your Face Today,18,70,15347,280149,3CIRif6ZAedT7kZSPvj2A4
84,-2,"Car, the garden - My whole world",230,3,15286,5997032,7c1HgFDe8ogy5NOZ1ANCJQ
85,+23,NELL - The time of walking on remembrance,65,62,14944,892624,5WY88tCMFA6J6vqSN3MmDZ
86,-2,Primary - Johnny (w/ Dynamicduo ),445,64,14904,5436607,4QDcs3XrA8uHUZ7Xt9Ytep;4nvFFLtv7ZqoTr83387uK4
87,-4,hamo - 아크라포빅 (Akrapovic),188,4,14903,6249106,7bQHemX2QBqGaERdrfraNW
88,-2,Lim Young Woong - Wild flower,356,34,14878,6127778,75MOYjGEyyH5U4ZFHOPvxR
89,+10,G-DRAGON - CROOKED,655,21,14853,9691044,30b9WulBM8sFuBo17nNq9c
90,+1,Lim Young Woong - Left in the Rain,357,30,14839,6165189,75MOYjGEyyH5U4ZFHOPvxR
91,-6,Kenshi Yonezu - IRIS OUT,340,1,14785,14704852,1snhtMLeb2DYoMOcVbb8iB
92,-12,ILLIT - NOT CUTE ANYMORE,270,2,14752,7536790,36cgvBn0aadzOijnjjwqMN
93,+1,M.C the Max - 행복하지 말아요,5,93,14461,65878,3MaRWfwKpbYnkYHC5gRKYo
94,+4,Lim Young Woong - Wonderful Life,356,35,14332,5859346,75MOYjGEyyH5U4ZFHOPvxR
95,-6,Lim Young Woong - Heavenly Ever After,494,9,14291,9839616,75MOYjGEyyH5U4ZFHOPvxR
96,+22,"G-DRAGON - HOME SWEET HOME (w/ TAEYANG , DAESUNG )",417,2,14283,8643543,30b9WulBM8sFuBo17nNq9c;6udveWUgX4vu75FF0DTrXV;1OQxmfKN9UG5C7nr4MkasO
97,=,CORTIS - FaSHioN,280,12,14274,5045722,1ebt9HnXdyYA6KgLXr1n4P
98,+8,Lim Young Woong - Melody for You,356,35,14227,5928699,75MOYjGEyyH5U4ZFHOPvxR
99,-3,The Kid LAROI - Stay (w/ Justin Bieber ),1504,1,14223,13008480,2tIP7SsRs7vjIcLrU85W8J;1uNFoZAHBGtllmzznpCI3s
100,-5,ILLIT - Billyeoon Goyangi (Do the Dance),431,4,14221,10199773,36cgvBn0aadzOijnjjwqMN
101,=,The Black Skirts - EVERYTHING,1263,77,13964,9231644,6WeDO4GynFmK4OxwkBzMW8
102,-2,Yerin Baek - Antifreeze,679,5,13955,7088631,6dhfy4ByARPJdPtMyrUYJK
103,-1,aespa - Whiplash (English Version),5,64,13936,76918,6YVMFz59CuY7ngCxTxjpxE
104,-1,Kenshi Yonezu - Lemon,1389,25,13922,12051364,1snhtMLeb2DYoMOcVbb8iB
105,+2,BLACKPINK - JUMP,405,2,13920,11457495,41MozSoPIsD1dJM0CLPjZF
106,+16,BLACKPINK - As If It's Your Last,299,92,13864,1342673,41MozSoPIsD1dJM0CLPjZF
107,+3,Hearts2Hearts - The Chase,523,6,13839,9184061,1ZLU77nRzQIaP23mVSYpCQ
108,+11,10CM - To Reach You,304,8,13811,4903214,6zn0ihyAApAYV51zpXxdEp
