pos,change,title,days,peak,streams,total,artistIds
1,=,IU - Dear my crazy soulmate,,,1545952,,
2,=,SOYEON - 퇴사할게여,,,1497970,,
3,=,ATEEZ - BAD,,,914436,,
4,+9,meomuru - 꿈꾸던 어른이 되었나요?,,,853747,,
5,-1,RESCENE - LOVE ATTACK,,,846958,,
6,+3,Lim Young Woong - 또또,,,689316,,
7,+1,aespa - LEMONADE,,,688954,,
8,-3,RESCENE - Pretty Girl,,,673345,,
9,-2,CORTIS - REDRED,,,663307,,
10,+2,Girls' Generation-HRS - Skibidi,,,625620,,
11,-1,IU - Unknown Planet,,,621780,,
12,+2,RESCENE - Deja Vu,,,617311,,
13,+2,Hearts2Hearts - RUDE!,,,566373,,
14,+5,D.O. - Guitarist,,,552848,,
15,-4,Roy Kim - Sparkle,,,536452,,
16,+1,BIGBANG - BiiiG,,,508837,,
17,NEW,BIG Naughty - Nostalgia,,,508394,,
18,-2,ILLIT - It's Me,,,496920,,
19,-1,HWASA - Good Goodbye,,,486713,,
20,=,I.O.I - 갑자기,,,457596,,
