pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,93,1,94347,9953316,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,62,2,78008,3458638,5deOsjuFTKrNMJW3rKuL8S
3,=,RESCENE - Pretty Girl,14,3,69494,789094,5deOsjuFTKrNMJW3rKuL8S
4,+1,aespa - LEMONADE,54,2,59981,4310009,6YVMFz59CuY7ngCxTxjpxE
5,+1,ILLIT - It's Me,83,2,57162,5996927,36cgvBn0aadzOijnjjwqMN
6,-2,Jimin - Who,733,1,55099,102241195,1oSPZhvZMIrWW5I41kPkkY
7,+1,HANRORO - 0+0,307,1,50401,15043831,5wVJpXzuKV6Xj7Yhsf2uYx
8,-1,Hearts2Hearts - Lemon Tang,30,2,49605,1766388,1ZLU77nRzQIaP23mVSYpCQ
9,=,HANRORO - Landing in Love,372,1,48399,16356240,5wVJpXzuKV6Xj7Yhsf2uYx
10,+1,ATEEZ - BAD,22,10,47624,789818,68KmkJeZGfwe1OUaivBa2L
11,-1,I.O.I - Suddenly,63,4,47480,3619089,6RKnXXyprPjhBdCvL802Ku
12,=,RESCENE - Deja Vu,51,12,45628,1145330,5deOsjuFTKrNMJW3rKuL8S
13,=,Hearts2Hearts - RUDE!,152,1,43959,9430409,1ZLU77nRzQIaP23mVSYpCQ
14,=,HANRORO - Let Me Love My Youth,375,6,37718,10202746,5wVJpXzuKV6Xj7Yhsf2uYx
15,+1,Nerd Connection - If I have you only (My love X Nerd Connection),979,15,36947,12117647,5WKUZJPvN1SScyggtPFShK
16,+2,WOODZ - Drowning,658,7,36111,14755995,6y9nlaoynxSvoTGY09Vdcy
17,-2,TAEYEON - Bansanka,23,10,35546,872083,3qNVuliS40BLgXGxhdBdqu
18,-1,KiiiKiii - 404 (New Era),177,1,35265,8653203,63sat2XSMKdwKfqspmYQKP
19,+3,Jung Kook - Seven (w/ Latto ),1104,1,33788,70207621,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
20,-1,Jin - Don’t Say You Love Me,432,1,32716,23225666,5vV3bFXnN6D6N3Nj4xRvaV
21,-1,RESCENE - Runaway,53,17,32317,1199723,5deOsjuFTKrNMJW3rKuL8S
22,-1,YENA - Catch Catch,127,10,32093,4768066,49muoiIu4uea4PO8vueUNN
23,+3,BTS - SWIM,124,1,32087,7094293,3Nrfpe0tUJi4K4DXYWgMUX
24,+1,OFFICIAL HIGE DANDISM - Pretender,758,19,31947,11638246,5Vo1hnCRmCM6M4thZCInCj
25,-2,NMIXX - Heavy Serenade,72,3,31752,3532755,28ot3wh4oNmoFOdVajibBl
26,+11,JANNABI - for lovers who hesitate,1793,26,30031,10503491,2SY6OktZyMLdOnscX3DCyS
27,=,Redoor - Forever Has Always Been,430,17,29944,8667927,5xhi1KB7WkPiTYb5Fm3YvS
28,+3,Epik High - Love Love Love,252,5,29683,7979288,5snNHNlYT2UrtZo5HCJkiw
29,+6,데이먼스 이어 Damons year - yours,1363,6,28808,18548852,2T5KKZuEEudb7alCJ1pCus
30,-2,CORTIS - GO!,295,6,28653,7076780,1ebt9HnXdyYA6KgLXr1n4P
31,+2,Hearts2Hearts - STYLE,399,8,28583,11309729,1ZLU77nRzQIaP23mVSYpCQ
32,+4,"Woo - We Are (w/ Loco , GRAY )",581,15,28077,6986659,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
33,+1,AKMU - Paradise of Rumors,106,1,27946,5204131,6OwKE9Ez6ALxpTaKcT5ayv
34,-4,Ariana Grande - hate that i made you love me,54,15,27375,1656833,66CXWjxzNUsdJxJ2JdwvnR
35,+5,tuki. - 晩餐歌,769,35,26913,7938958,1Y5vJqABeI6QI6R95EDV6o
36,-4,Nerd Connection - ‎Good Night Good Dream,764,28,26716,7724348,5WKUZJPvN1SScyggtPFShK
37,-13,"HEEDAE - 112 (w/ C JAMM , BlackNut )",4,15,26598,129980,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
38,=,CORTIS - ACAI,79,32,26068,1821249,1ebt9HnXdyYA6KgLXr1n4P
39,+2,ILLIT - Magnetic,849,1,25881,20183561,36cgvBn0aadzOijnjjwqMN
40,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj ),100,14,25297,2875890,1uNFoZAHBGtllmzznpCI3s;0hCNtLu0JehylgoiP8L4Gh
41,+6,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",124,2,25038,5848713,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
42,+7,VINXEN - FLYING HIGH WITH U,156,21,24470,3495674,4T6xiCykTP9rCNaEPU7D4q
43,+1,LEE CHANHYUK - Endangered Love,362,11,24131,9046826,4RkTSLr5Qf79FfUkeaDKbl
44,-15,"HEEDAE - Brainwash (w/ C JAMM , BlackNut )",4,18,24029,122920,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
45,-3,CORTIS - FaSHioN,250,12,23843,4478956,1ebt9HnXdyYA6KgLXr1n4P
46,+2,hamo - 아크라포빅 (Akrapovic),158,4,23222,5654300,7bQHemX2QBqGaERdrfraNW
47,-1,Hearts2Hearts - FOCUS,275,6,23164,8835783,1ZLU77nRzQIaP23mVSYpCQ
48,-3,Lim Young Woong - Eternal Moment,327,16,22832,7411436,75MOYjGEyyH5U4ZFHOPvxR
49,-6,LE SSERAFIM - BOOMPALA,61,7,22483,2146452,4SpbR6yFEvexJuaBpgAU5p
50,=,CHOIJUNSEONG (Jun S) - L[ ]VE,54,16,22266,1492206,2RPo7pzzve2r1LufIxrPeR
51,=,"HAON - TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush) (w/ Nosun , Raf Sandou , Marv , Jung Junhyuk , ZICO )",138,2,21785,5782977,2krUNMgFZYm5s4Nn0g91W9;0BHYZCuuyLl53LVgeC3pUa;4FBKTurCVdtC6Fq8mSQgj8;1V2ep7618bYgCcTVyDKPcW;3AfvvgMrTONEdoXOfWrBoS;4XpUIb8uuNlIWVKmgKZXC0
52,=,RESCENE - Pinball,17,50,20702,287110,5deOsjuFTKrNMJW3rKuL8S
53,+4,Sung Si Kyung - Every moment of you,256,41,20324,3751466,7jFUYMpMUBDL4JQtMZ5ilc
54,+2,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1708,31,20319,9651633,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
55,-1,The Black Skirts - Ling Ling,258,54,20069,3437781,6WeDO4GynFmK4OxwkBzMW8
56,+3,Kim Na Young - A Letter For You,73,53,19748,1244121,4dvmLXorXADxVq8EcySEWk
57,+13,Jimin - Be Mine,713,2,19615,28012952,1oSPZhvZMIrWW5I41kPkkY
58,-5,"AKMU - How can I love the heartbreak, you're the one I love",1047,24,19422,8540718,6OwKE9Ez6ALxpTaKcT5ayv
59,NEW,fromis_9 - Vitamin ME,1,59,19235,19235,24nUVBIlCGi4twz4nYxJum
60,-5,HANRORO - You and I,13,38,19165,241321,5wVJpXzuKV6Xj7Yhsf2uYx
61,+4,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park ),449,49,18954,5469148,2dd5mrQZvg6SmahdgVKDzh;7MNyflLAWpaH0EPw1fdORD
62,+2,Brown Eyes - 벌써 일년,489,34,18609,7025847,6O7LgtO6NKOOOudzRayUfJ
63,+13,NewJeans - Hype Boy,1451,1,18369,24455133,6HvZYsbFfjnjFrWF950C9d
64,-1,The Black Skirts - 1:05,461,45,18296,5934364,6WeDO4GynFmK4OxwkBzMW8
65,+10,"Heize - And July (w/ DEAN , dj friz )",63,53,18275,1157737,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
66,+2,aespa - WDA (Whole Different Animal) (w/ G-DRAGON ),72,5,18172,2670341,6YVMFz59CuY7ngCxTxjpxE;30b9WulBM8sFuBo17nNq9c
67,-5,CORTIS - YOUNGCREATORCREW,79,18,18108,1961081,1ebt9HnXdyYA6KgLXr1n4P
68,-2,BTS - NORMAL,97,12,18019,2314550,3Nrfpe0tUJi4K4DXYWgMUX
69,-2,ILLIT - Billyeoon Goyangi (Do the Dance),401,4,17702,9725053,36cgvBn0aadzOijnjjwqMN
70,+11,NELL - The time of walking on remembrance,35,62,17653,447778,5WY88tCMFA6J6vqSN3MmDZ
71,-10,ILLIT - NOT CUTE ANYMORE,240,2,17596,6984503,36cgvBn0aadzOijnjjwqMN
72,=,Lady Gaga - Die With A Smile (w/ Bruno Mars ),705,5,17442,13776715,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
73,-2,Dominic Fike - Babydoll,126,58,17423,2042269,6USv9qhCn6zfxlBQIYJ9qs
74,+15,BIG Naughty - Vancouver,1181,33,17229,8133782,7cEaNXXTHx3LokbjUUyHal
75,+3,NMIXX - Blue Valentine,282,3,17073,8489581,28ot3wh4oNmoFOdVajibBl
76,+9,Yerin Baek - Antifreeze,649,5,16854,6577688,6dhfy4ByARPJdPtMyrUYJK
77,-19,"HEEDAE - Licking the Sky (w/ C JAMM , BlackNut )",4,45,16839,81866,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
78,+20,NewJeans - Supernatural,752,1,16742,13031709,6HvZYsbFfjnjFrWF950C9d
79,+9,Primary - Johnny (w/ Dynamicduo ),415,64,16702,4984462,4QDcs3XrA8uHUZ7Xt9Ytep;4nvFFLtv7ZqoTr83387uK4
80,+2,aespa - Whiplash,639,3,16610,17635991,6YVMFz59CuY7ngCxTxjpxE
81,+13,The NuTs - 사랑의 바보,571,50,16577,6597949,56NKtypwi90dIOb5ZQZwHb
82,+2,Kenshi Yonezu - IRIS OUT,310,1,16542,14213761,1snhtMLeb2DYoMOcVbb8iB
83,-10,10CM - To Reach You,274,8,16538,4417775,6zn0ihyAApAYV51zpXxdEp
84,-10,Lim Young Woong - ULSSIGU,327,20,16417,6358151,75MOYjGEyyH5U4ZFHOPvxR
85,+12,NewJeans - How Sweet,785,1,16178,14646814,6HvZYsbFfjnjFrWF950C9d
86,+6,Kenshi Yonezu - Lemon,1359,25,16060,11593583,1snhtMLeb2DYoMOcVbb8iB
87,+20,Epik High - 우산 (w/ Younha ),195,50,15990,2396548,5snNHNlYT2UrtZo5HCJkiw;6GwM5CHqhWXzG3l5kzRSAS
88,-8,NewJeans - Ditto,1311,1,15962,23984141,6HvZYsbFfjnjFrWF950C9d
89,-10,"AKMU - Joy, Sorrow, A Beautiful Heart",106,3,15925,3814147,6OwKE9Ez6ALxpTaKcT5ayv
90,+14,The Kid LAROI - Stay (w/ Justin Bieber ),1474,1,15883,12508357,2tIP7SsRs7vjIcLrU85W8J;1uNFoZAHBGtllmzznpCI3s
91,+9,Sung Si Kyung - Michide -On The Road-,240,51,15874,3356654,7jFUYMpMUBDL4JQtMZ5ilc
92,+3,BTS - Body to Body,124,2,15830,4661006,3Nrfpe0tUJi4K4DXYWgMUX
93,+12,Izi - 응급실,493,51,15712,5573429,4PPkRMbw2jIs7flJkl4okf
94,-34,"HEEDAE - Ouch My Pain (w/ C JAMM , BlackNut )",4,41,15704,84150,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
95,+6,ROSÉ - toxic till the end,594,2,15602,12664291,3eVa5w3URK5duf6eyVDbu9
96,+23,The Black Skirts - Antifreeze,202,83,15325,2618756,6WeDO4GynFmK4OxwkBzMW8
97,+5,fromis_9 - Supersonic,660,10,15313,10040140,24nUVBIlCGi4twz4nYxJum
98,+12,Ed Sheeran - Shape of You,930,77,15218,6550165,6eUKZXaKkcviH0Ku9w2n3V
99,-16,YEONJUN - Ice Cream,11,63,15196,172970,2Mo2yHjmrDRZW7yRuJwR2w
100,+11,"Car, the garden - My whole world",200,3,14979,5556323,7c1HgFDe8ogy5NOZ1ANCJQ
101,+8,COOL - 애상,85,71,14902,949467,0w3PsroIezW7uRTNxEJLb9
102,-12,Lim Young Woong - Unread Message,327,26,14792,5974430,75MOYjGEyyH5U4ZFHOPvxR
103,-10,"LE SSERAFIM - ICONIC BY MISTAKE (w/ ILLIT , KATSEYE )",40,20,14674,931451,4SpbR6yFEvexJuaBpgAU5p;36cgvBn0aadzOijnjjwqMN;3c0gDdb9lhnHGFtP4prQpn
104,-13,Lim Young Woong - Wild flower,326,34,14593,5676300,75MOYjGEyyH5U4ZFHOPvxR
105,-6,Lim Young Woong - Heavenly Ever After,464,9,14542,9392508,75MOYjGEyyH5U4ZFHOPvxR
106,+11,Geeks - Officially Missing You,667,61,14364,7394985,5VxfguafjfSdJcN10ACVZe
107,+9,The Black Skirts - EVERYTHING,1233,81,14238,8794430,6WeDO4GynFmK4OxwkBzMW8
108,+45,Dynamicduo - Guilty,292,83,14200,3201547,4nvFFLtv7ZqoTr83387uK4
109,+18,IVE - BANG BANG,162,3,14193,4601630,6RHTUrRF63xao58xh9FXYJ
110,+3,BTS - Come Over,40,13,14098,959223,3Nrfpe0tUJi4K4DXYWgMUX
111,-8,NewJeans - Attention,1425,1,14052,18715640,6HvZYsbFfjnjFrWF950C9d
112,-26,"Car, the garden - Closely Far Away",682,11,14038,10771246,7c1HgFDe8ogy5NOZ1ANCJQ
113,-44,Yoon Do Hyun - I Guess I Loved You,1092,51,13974,8883896,6KsmQPHXE3qhzNNBPSZ0eB
114,+41,NewJeans - New Jeans,1083,3,13967,14081150,6HvZYsbFfjnjFrWF950C9d
115,-38,HEEDAE - Let It Go (w/ C JAMM ),4,53,13956,75535,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR
116,-1,BTS - 2.0,124,8,13873,3851319,3Nrfpe0tUJi4K4DXYWgMUX
117,-21,JANNABI - Baby I need you,229,36,13871,1400798,2SY6OktZyMLdOnscX3DCyS
118,+27,"Car, the garden - 나무",474,47,13847,4790578,7c1HgFDe8ogy5NOZ1ANCJQ
119,-1,BUMJIN - A Letter,902,33,13794,9969082,3vljSA6N2aSE8U3OhNFkPy
120,+1,Beenzino - Aqua Man,125,61,13762,1707353,7IrDIIq3j04exsiF3Z7CPg
121,-15,Lim Young Woong - Left in the Rain,327,30,13760,5720897,75MOYjGEyyH5U4ZFHOPvxR
122,+3,wave to earth - love.,263,107,13742,2434646,5069JTmv5ZDyPeZaCCXiCg
123,+16,Justin Bieber - Love Yourself,1692,33,13731,8595587,1uNFoZAHBGtllmzznpCI3s
124,-16,Lim Young Woong - Melody for You,326,35,13587,5499810,75MOYjGEyyH5U4ZFHOPvxR
125,+12,NewJeans - Super Shy,995,1,13580,15453427,6HvZYsbFfjnjFrWF950C9d
126,-4,Choi Yu Ree - When I stop thinking,24,122,13575,307525,6qvVoPGEqNCyYSjYCgfV1v
127,+3,Shawn Mendes - There's Nothing Holdin' Me Back,415,92,13540,2774944,7n2wHs1TKAczGzO7Dd2rGr
128,-4,HYUKOH - TOMBOY,778,39,13512,8464517,57okaLdCtv3nVBSn5otJkp
129,+19,HWASA - Good Goodbye,222,4,13510,4596306,7bmYpVgQub656uNTu6qGNQ
130,+13,Hearts2Hearts - The Chase,495,6,13485,8798607,1ZLU77nRzQIaP23mVSYpCQ
131,-11,CORTIS - TNT,79,25,13463,1584087,1ebt9HnXdyYA6KgLXr1n4P
