pos,change,title,days,peak,streams,total,artistIds
1,+1,aespa - LEMONADE,,,927353,,
2,-1,RESCENE - LOVE ATTACK,,,916094,,
3,=,ATEEZ - BAD,,,883068,,
4,=,CORTIS - REDRED,,,822670,,
5,=,ILLIT - It's Me,,,747213,,
6,=,RESCENE - Pretty Girl,,,716469,,
7,+1,Hearts2Hearts - RUDE!,,,627598,,
8,NEW,BABYMONSTER - MOON,,,626675,,
9,=,JENNIE - Less than a Lover,,,608705,,
10,-3,I.O.I - 갑자기,,,593647,,
11,-1,RESCENE - Deja Vu,,,558608,,
12,+1,fromis_9 - Vitamin ME,,,494542,,
13,+1,BOL4 - Please Summer!,,,471829,,
14,-3,TAEYEON - Bansanka,,,470237,,
15,-3,HWASA - Good Goodbye,,,419060,,
16,-1,WOODZ - Drowning,,,418905,,
17,+3,Choi Yu Ree - 생각을 멈추다 보면,,,381577,,
18,-1,HANRORO - 사랑하게 될 거야,,,373241,,
19,-1,tuki. - 晩餐歌,,,371664,,
20,-1,OFFICIAL HIGE DANDISM - Pretender,,,370196,,
