pos,change,title,days,peak,streams,total,artistIds
1,+1,CORTIS - REDRED,144,1,67573,14058585,1ebt9HnXdyYA6KgLXr1n4P
2,+1,RESCENE - LOVE ATTACK,113,2,64755,7188427,5deOsjuFTKrNMJW3rKuL8S
3,+1,BIG Naughty - Nostalgia,11,1,64524,764750,7cEaNXXTHx3LokbjUUyHal
4,-3,Jung Kook - Seven (w/ Latto ),1155,1,56706,72392894,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
5,=,Jimin - Who,784,1,56570,105110094,1oSPZhvZMIrWW5I41kPkkY
6,+1,aespa - LEMONADE,105,2,51244,7170041,6YVMFz59CuY7ngCxTxjpxE
7,+6,Redoor - Forever Has Always Been,481,7,50013,10478352,5xhi1KB7WkPiTYb5Fm3YvS
8,+4,HANRORO - 0+0,358,1,48635,17380788,5wVJpXzuKV6Xj7Yhsf2uYx
9,-3,RESCENE - Pretty Girl,65,3,48452,3807150,5deOsjuFTKrNMJW3rKuL8S
10,-2,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1759,3,48151,12313012,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
11,-2,KiiiKiii - Pop Off Pop Off,32,1,47207,1897515,63sat2XSMKdwKfqspmYQKP
12,-1,ATEEZ - BAD,73,7,46281,3276361,68KmkJeZGfwe1OUaivBa2L
13,-3,RESCENE - Deja Vu,102,8,46156,3566836,5deOsjuFTKrNMJW3rKuL8S
14,+1,HANRORO - Landing in Love,423,1,45946,18566405,5wVJpXzuKV6Xj7Yhsf2uYx
15,-1,BIGBANG - BiiiG,23,1,43850,1464927,4Kxlr1PRlDKEB0ekOCyHgX
16,=,Hearts2Hearts - RUDE!,203,1,40713,11563320,1ZLU77nRzQIaP23mVSYpCQ
17,+1,HANRORO - Let Me Love My Youth,426,6,40188,12050801,5wVJpXzuKV6Xj7Yhsf2uYx
18,-1,ILLIT - It's Me,134,2,39978,8545533,36cgvBn0aadzOijnjjwqMN
19,=,Nerd Connection - If I have you only (My love X Nerd Connection),1030,13,38318,13991526,5WKUZJPvN1SScyggtPFShK
20,NEW,IU - Unknown Planet,1,20,36501,36501,3HqSLMAZ3g3d5poNaI7GOU
21,+1,Hearts2Hearts - Lemon Tang,81,2,35920,4047087,1ZLU77nRzQIaP23mVSYpCQ
22,-2,TUIDE - SUN KISS,18,14,35181,604609,2uxeKIw5ancTu92x28Ctkf
23,=,WOODZ - Drowning,709,7,34966,16549058,6y9nlaoynxSvoTGY09Vdcy
24,-3,I.O.I - Suddenly,114,4,34860,5773384,6RKnXXyprPjhBdCvL802Ku
25,NEW,IU - Dear my crazy soulmate,1,25,34039,34039,3HqSLMAZ3g3d5poNaI7GOU
26,-2,KiiiKiii - 404 (New Era),228,1,33528,10426332,63sat2XSMKdwKfqspmYQKP
27,-2,JENNIE - FALLEN ANGEL,14,19,32210,482220,250b0Wlc5Vk0CoUsaCY84M
28,-2,"Woo - We Are (w/ Loco , GRAY )",632,15,31404,8494937,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
29,+1,The Black Skirts - Ling Ling,309,29,30920,4603331,6WeDO4GynFmK4OxwkBzMW8
30,-1,Nerd Connection - ‎Good Night Good Dream,815,28,30155,9117603,5WKUZJPvN1SScyggtPFShK
31,+1,데이먼스 이어 Damons year - yours,1414,6,30122,19985779,2T5KKZuEEudb7alCJ1pCus
32,-5,JENNIE - Less than a Lover,49,3,30043,2364886,250b0Wlc5Vk0CoUsaCY84M
33,=,OFFICIAL HIGE DANDISM - Pretender,809,19,29986,13222414,5Vo1hnCRmCM6M4thZCInCj
34,-3,ENHYPEN - Bloody Paradise,21,18,29976,680893,5t5FqBwTcgKTaWmfEbwQY9
35,+3,RESCENE - Runaway,104,17,29280,2708972,5deOsjuFTKrNMJW3rKuL8S
36,-1,TAEYEON - Bansanka,74,10,29035,2380524,3qNVuliS40BLgXGxhdBdqu
37,-3,Girls' Generation-HRS - Skibidi,9,34,28996,202278,1wlgozUz29VEBQxMDqQFK1
38,-2,Jin - Don’t Say You Love Me,483,1,28106,24864848,5vV3bFXnN6D6N3Nj4xRvaV
39,-2,Epik High - Love Love Love,303,5,28049,9441852,5snNHNlYT2UrtZo5HCJkiw
40,-12,JANNABI - for lovers who hesitate,1844,23,27921,12056914,2SY6OktZyMLdOnscX3DCyS
41,-1,BTS - SWIM,175,1,26866,8572979,3Nrfpe0tUJi4K4DXYWgMUX
42,-3,YENA - Catch Catch,178,10,26784,6410861,49muoiIu4uea4PO8vueUNN
43,-2,BOL4 - Please Summer!,49,18,26488,1396471,4k5fFEYgkWYrYvtOK3zVBl
44,+1,Hearts2Hearts - STYLE,450,8,26403,12642875,1ZLU77nRzQIaP23mVSYpCQ
45,-3,Hearts2Hearts - FOCUS,326,6,26333,10123306,1ZLU77nRzQIaP23mVSYpCQ
46,-3,fromis_9 - Vitamin ME,52,15,26150,1656037,24nUVBIlCGi4twz4nYxJum
47,-1,LEE CHANHYUK - Endangered Love,413,11,24288,10292000,4RkTSLr5Qf79FfUkeaDKbl
48,-4,NMIXX - Heavy Serenade,123,3,24237,4989054,28ot3wh4oNmoFOdVajibBl
49,+8,Lim Young Woong - ToTo,2,49,23321,43374,75MOYjGEyyH5U4ZFHOPvxR
50,-2,Hearts2Hearts - ICONIC HEART,30,19,23237,848768,1ZLU77nRzQIaP23mVSYpCQ
51,-4,TUIDE - GRLS,18,35,22817,445844,2uxeKIw5ancTu92x28Ctkf
52,-1,RESCENE - Pinball,68,50,22160,1262771,5deOsjuFTKrNMJW3rKuL8S
53,+10,Lim Young Woong - Please Be Happy,2,53,21523,40475,75MOYjGEyyH5U4ZFHOPvxR
54,+6,Lim Young Woong - Moise,2,54,21504,40923,75MOYjGEyyH5U4ZFHOPvxR
55,-3,Lim Young Woong - Eternal Moment,378,16,21338,8703736,75MOYjGEyyH5U4ZFHOPvxR
56,-6,Kim Na Young - A Letter For You,124,50,21326,2224034,4dvmLXorXADxVq8EcySEWk
57,-8,Red Velvet - Surfin' Boy,39,12,21168,1270933,1z4g3DjTBBZKhvAroFlhOM
58,=,Sung Si Kyung - Every moment of you,307,41,21127,4686962,7jFUYMpMUBDL4JQtMZ5ilc
59,-3,BIG Naughty - Vancouver,1232,33,20881,8985913,7cEaNXXTHx3LokbjUUyHal
60,-5,Lady Gaga - Die With A Smile (w/ Bruno Mars ),756,5,20294,14706767,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
