pos,change,title,days,peak,streams,total,artistIds
1,=,aespa - LEMONADE,,,931074,,
2,=,RESCENE - LOVE ATTACK,,,919385,,
3,=,ATEEZ - BAD,,,882597,,
4,=,CORTIS - REDRED,,,838454,,
5,+1,RESCENE - Pretty Girl,,,748849,,
6,+2,BABYMONSTER - MOON,,,731983,,
7,-2,ILLIT - It's Me,,,720519,,
8,-1,Hearts2Hearts - RUDE!,,,653252,,
9,=,JENNIE - Less than a Lover,,,629468,,
10,=,I.O.I - 갑자기,,,600283,,
11,=,RESCENE - Deja Vu,,,561562,,
12,+1,BOL4 - Please Summer!,,,486956,,
13,+1,TAEYEON - Bansanka,,,486111,,
14,-2,fromis_9 - Vitamin ME,,,459670,,
15,+1,WOODZ - Drowning,,,426815,,
16,-1,HWASA - Good Goodbye,,,409462,,
17,+3,OFFICIAL HIGE DANDISM - Pretender,,,383068,,
18,NEW,Red Velvet - Surfin' Boy,,,380320,,
19,-2,Choi Yu Ree - 생각을 멈추다 보면,,,379620,,
20,NEW,YENA - 캐치 캐치,,,378708,,
