pos,change,title,days,peak,streams,total,artistIds
1,+1,RESCENE - LOVE ATTACK,,,895391,,
2,-1,aespa - LEMONADE,,,891417,,
3,=,ATEEZ - BAD,,,849616,,
4,+2,BABYMONSTER - MOON,,,847582,,
5,-1,CORTIS - REDRED,,,846350,,
6,-1,RESCENE - Pretty Girl,,,739694,,
7,=,ILLIT - It's Me,,,695048,,
8,+1,JENNIE - Less than a Lover,,,619690,,
9,-1,Hearts2Hearts - RUDE!,,,611981,,
10,=,I.O.I - 갑자기,,,600397,,
11,=,RESCENE - Deja Vu,,,548080,,
12,+1,TAEYEON - Bansanka,,,484794,,
13,-1,BOL4 - Please Summer!,,,479797,,
14,=,fromis_9 - Vitamin ME,,,448016,,
15,=,WOODZ - Drowning,,,423454,,
16,=,HWASA - Good Goodbye,,,404626,,
17,=,OFFICIAL HIGE DANDISM - Pretender,,,389244,,
18,+2,YENA - 캐치 캐치,,,388479,,
19,NEW,tuki. - 晩餐歌,,,378149,,
20,-1,Choi Yu Ree - 생각을 멈추다 보면,,,377554,,
