pos,change,title,days,peak,streams,total,artistIds
1,+2,RESCENE - LOVE ATTACK,126,1,75452,8084680,5deOsjuFTKrNMJW3rKuL8S
2,=,SOYEON - I’m gonna TOESA,15,2,72812,724803,6Xg22wJOAcnvPUfk5WvODH
3,-2,Jung Kook - Seven (w/ Latto ),1168,1,72499,73341243,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
4,=,CORTIS - REDRED,157,1,69942,14944553,1ebt9HnXdyYA6KgLXr1n4P
5,+2,RESCENE - Deja Vu,115,5,58134,4236602,5deOsjuFTKrNMJW3rKuL8S
6,=,BIG Naughty - Nostalgia,24,1,55953,1575769,7cEaNXXTHx3LokbjUUyHal
7,+2,RESCENE - Pretty Girl,78,3,54009,4475960,5deOsjuFTKrNMJW3rKuL8S
8,-3,Jimin - Who,797,1,53761,105867074,1oSPZhvZMIrWW5I41kPkkY
9,-1,Redoor - Forever Has Always Been,494,6,52390,11160839,5xhi1KB7WkPiTYb5Fm3YvS
10,=,ATEEZ - BAD,86,7,51854,3912409,68KmkJeZGfwe1OUaivBa2L
11,=,IU - Dear my crazy soulmate,14,6,50692,675573,3HqSLMAZ3g3d5poNaI7GOU
12,=,HANRORO - 0+0,371,1,47383,18008613,5wVJpXzuKV6Xj7Yhsf2uYx
13,+1,aespa - LEMONADE,118,2,47101,7785381,6YVMFz59CuY7ngCxTxjpxE
14,+2,HANRORO - Landing in Love,436,1,45969,19142495,5wVJpXzuKV6Xj7Yhsf2uYx
15,=,KiiiKiii - Pop Off Pop Off,45,1,44844,2480291,63sat2XSMKdwKfqspmYQKP
16,-3,Nerd Connection - If I have you only (My love X Nerd Connection),1043,13,44632,14541673,5WKUZJPvN1SScyggtPFShK
17,+2,Hearts2Hearts - RUDE!,216,1,43658,12091056,1ZLU77nRzQIaP23mVSYpCQ
18,=,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1772,3,43570,12912178,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
19,-2,IU - Unknown Planet,14,5,43109,591097,3HqSLMAZ3g3d5poNaI7GOU
20,+1,ILLIT - It's Me,147,2,41692,9068665,36cgvBn0aadzOijnjjwqMN
21,-1,HANRORO - Let Me Love My Youth,439,6,41494,12561534,5wVJpXzuKV6Xj7Yhsf2uYx
22,=,I.O.I - Suddenly,127,4,39132,6249347,6RKnXXyprPjhBdCvL802Ku
23,+1,WOODZ - Drowning,722,7,38466,17008830,6y9nlaoynxSvoTGY09Vdcy
24,-1,Hearts2Hearts - Lemon Tang,94,2,37009,4526483,1ZLU77nRzQIaP23mVSYpCQ
25,+8,The Black Skirts - Ling Ling,322,25,36126,5014025,6WeDO4GynFmK4OxwkBzMW8
26,+3,Nerd Connection - ‎Good Night Good Dream,828,24,35501,9544720,5WKUZJPvN1SScyggtPFShK
27,=,BIGBANG - BiiiG,36,1,35307,1950038,4Kxlr1PRlDKEB0ekOCyHgX
28,=,KiiiKiii - 404 (New Era),241,1,35021,10861653,63sat2XSMKdwKfqspmYQKP
29,-3,JANNABI - for lovers who hesitate,1857,23,34831,12480200,2SY6OktZyMLdOnscX3DCyS
30,+1,RESCENE - Runaway,117,17,33969,3097039,5deOsjuFTKrNMJW3rKuL8S
31,+5,YENA - Catch Catch,191,10,33260,6793468,49muoiIu4uea4PO8vueUNN
32,+8,TAEYEON - Bansanka,87,10,32846,2760028,3qNVuliS40BLgXGxhdBdqu
33,-8,TUIDE - SUN KISS,31,14,32781,1034358,2uxeKIw5ancTu92x28Ctkf
34,+1,Epik High - Love Love Love,316,5,31857,9827580,5snNHNlYT2UrtZo5HCJkiw
35,-5,데이먼스 이어 Damons year - yours,1427,6,31550,20396329,2T5KKZuEEudb7alCJ1pCus
36,+2,OFFICIAL HIGE DANDISM - Pretender,822,19,30839,13609325,5Vo1hnCRmCM6M4thZCInCj
37,-3,"Woo - We Are (w/ Loco , GRAY )",645,15,30432,8908086,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
38,-6,Lim Young Woong - ToTo,15,31,30383,423740,75MOYjGEyyH5U4ZFHOPvxR
39,-2,Girls' Generation-HRS - Skibidi,22,26,29414,602073,1wlgozUz29VEBQxMDqQFK1
40,-1,Hearts2Hearts - FOCUS,339,6,29183,10491548,1ZLU77nRzQIaP23mVSYpCQ
41,+1,ROSÉ - new trick,6,13,27583,192577,3eVa5w3URK5duf6eyVDbu9
42,-1,D.O. - Guitarist,15,31,27204,387183,2CQZr2RPZmrcvDnaod1ldC
43,=,JENNIE - Less than a Lover,62,3,27036,2721237,250b0Wlc5Vk0CoUsaCY84M
44,+5,Hearts2Hearts - STYLE,463,8,26972,12974934,1ZLU77nRzQIaP23mVSYpCQ
45,+2,fromis_9 - Vitamin ME,65,15,26649,1998681,24nUVBIlCGi4twz4nYxJum
46,=,BTS - SWIM,188,1,25713,8911951,3Nrfpe0tUJi4K4DXYWgMUX
47,-2,BESTie - Love Options,23,45,25712,446508,1HiZjIv6iLp9cs5vX0AJKo
48,=,ENHYPEN - Bloody Paradise,34,18,25442,1022174,5t5FqBwTcgKTaWmfEbwQY9
49,+4,LEE CHANHYUK - Endangered Love,426,11,25206,10604226,4RkTSLr5Qf79FfUkeaDKbl
50,+28,Kim Na Young - A Letter For You,137,50,24188,2483582,4dvmLXorXADxVq8EcySEWk
51,-1,RESCENE - Pinball,81,50,24157,1556370,5deOsjuFTKrNMJW3rKuL8S
52,-1,BOL4 - Please Summer!,62,18,24014,1727807,4k5fFEYgkWYrYvtOK3zVBl
53,-1,Lim Young Woong - Please Be Happy,15,48,23999,354702,75MOYjGEyyH5U4ZFHOPvxR
54,-10,Hearts2Hearts - Moonride,14,44,23652,316895,1ZLU77nRzQIaP23mVSYpCQ
55,+1,Lady Gaga - Die With A Smile (w/ Bruno Mars ),769,5,22871,14996859,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
56,+16,Yoon Do Hyun - I Guess I Loved You,1153,51,22698,9881379,6KsmQPHXE3qhzNNBPSZ0eB
57,-2,Lim Young Woong - Moise,15,51,22485,341543,75MOYjGEyyH5U4ZFHOPvxR
58,=,Jin - Don’t Say You Love Me,496,1,22449,25179056,5vV3bFXnN6D6N3Nj4xRvaV
59,+58,Brown Eyes - 벌써 일년,553,34,21894,8146378,6O7LgtO6NKOOOudzRayUfJ
60,+16,"Heize - And July (w/ DEAN , dj friz )",127,53,21730,2289778,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
61,=,Sung Si Kyung - Every moment of you,320,41,21708,4963144,7jFUYMpMUBDL4JQtMZ5ilc
62,-5,Lim Young Woong - Baila,15,54,21634,325966,75MOYjGEyyH5U4ZFHOPvxR
63,+10,The Black Skirts - 1:05,525,45,21250,7089860,6WeDO4GynFmK4OxwkBzMW8
64,-4,Lim Young Woong - For Us,15,54,21158,324579,75MOYjGEyyH5U4ZFHOPvxR
65,-6,Jung Kook - 3D (w/ Jack Harlow ),1033,2,20850,30292246,6HaGTQPmzraVmaVxvz6EUc;2LIk90788K0zvyj2JJVwkJ
66,+18,AKMU - Paradise of Rumors,170,1,20829,6723714,6OwKE9Ez6ALxpTaKcT5ayv
