pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,131,1,69473,13107747,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,100,2,64336,6291833,5deOsjuFTKrNMJW3rKuL8S
3,=,BIGBANG - BiiiG,10,1,58614,780287,4Kxlr1PRlDKEB0ekOCyHgX
4,=,KiiiKiii - Pop Off Pop Off,19,1,56214,1179371,63sat2XSMKdwKfqspmYQKP
5,+1,Jimin - Who,771,1,54683,104362700,1oSPZhvZMIrWW5I41kPkkY
6,-1,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1746,3,54394,11604997,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
7,=,aespa - LEMONADE,92,2,49519,6501592,6YVMFz59CuY7ngCxTxjpxE
8,=,RESCENE - Pretty Girl,52,3,48328,3118873,5deOsjuFTKrNMJW3rKuL8S
9,=,ATEEZ - BAD,60,7,47469,2630455,68KmkJeZGfwe1OUaivBa2L
10,+1,RESCENE - Deja Vu,89,8,44640,2937346,5deOsjuFTKrNMJW3rKuL8S
11,+1,HANRORO - 0+0,345,1,44522,16799897,5wVJpXzuKV6Xj7Yhsf2uYx
12,+1,ILLIT - It's Me,121,2,42190,7977110,36cgvBn0aadzOijnjjwqMN
13,+9,JENNIE - Less than a Lover,36,3,41088,1889578,250b0Wlc5Vk0CoUsaCY84M
14,=,Nerd Connection - If I have you only (My love X Nerd Connection),1017,14,41003,13474281,5WKUZJPvN1SScyggtPFShK
15,=,HANRORO - Landing in Love,410,1,40471,18011844,5wVJpXzuKV6Xj7Yhsf2uYx
16,=,Hearts2Hearts - Lemon Tang,68,2,37321,3543628,1ZLU77nRzQIaP23mVSYpCQ
17,=,I.O.I - Suddenly,101,4,36933,5277722,6RKnXXyprPjhBdCvL802Ku
18,-8,Jung Kook - Seven (w/ Latto ),1142,1,36588,71577975,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
19,-1,Redoor - Forever Has Always Been,468,17,36492,9913225,5xhi1KB7WkPiTYb5Fm3YvS
20,-1,HANRORO - Let Me Love My Youth,413,6,35609,11567191,5wVJpXzuKV6Xj7Yhsf2uYx
21,-1,Hearts2Hearts - RUDE!,190,1,34164,11044451,1ZLU77nRzQIaP23mVSYpCQ
22,-1,ENHYPEN - Bloody Paradise,8,21,33371,246902,5t5FqBwTcgKTaWmfEbwQY9
23,=,WOODZ - Drowning,696,7,33017,16086396,6y9nlaoynxSvoTGY09Vdcy
24,+1,TUIDE - SUN KISS,5,24,32018,128172,2uxeKIw5ancTu92x28Ctkf
25,-1,BOL4 - Please Summer!,36,18,31185,1010982,4k5fFEYgkWYrYvtOK3zVBl
26,+2,JANNABI - for lovers who hesitate,1831,26,30964,11620027,2SY6OktZyMLdOnscX3DCyS
27,-1,Jin - Don’t Say You Love Me,470,1,30297,24487341,5vV3bFXnN6D6N3Nj4xRvaV
28,-1,KiiiKiii - 404 (New Era),215,1,30241,9999672,63sat2XSMKdwKfqspmYQKP
29,+1,OFFICIAL HIGE DANDISM - Pretender,796,19,29610,12817656,5Vo1hnCRmCM6M4thZCInCj
30,+2,YENA - Catch Catch,165,10,28846,6027859,49muoiIu4uea4PO8vueUNN
31,+3,데이먼스 이어 Damons year - yours,1401,6,28524,19592417,2T5KKZuEEudb7alCJ1pCus
32,-3,Hearts2Hearts - ICONIC HEART,17,19,28465,501130,1ZLU77nRzQIaP23mVSYpCQ
33,-2,"Woo - We Are (w/ Loco , GRAY )",619,15,28341,8101551,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
34,-1,Red Velvet - Surfin' Boy,26,12,28294,951925,1z4g3DjTBBZKhvAroFlhOM
35,=,TAEYEON - Bansanka,61,10,27721,2001375,3qNVuliS40BLgXGxhdBdqu
36,=,Epik High - Love Love Love,290,5,27512,9062290,5snNHNlYT2UrtZo5HCJkiw
37,+3,RESCENE - Runaway,91,17,27493,2335143,5deOsjuFTKrNMJW3rKuL8S
38,+1,Nerd Connection - ‎Good Night Good Dream,802,28,27230,8733575,5WKUZJPvN1SScyggtPFShK
39,NEW,JENNIE - FALLEN ANGEL,1,39,25942,25942,250b0Wlc5Vk0CoUsaCY84M
40,-3,BTS - SWIM,162,1,25738,8217092,3Nrfpe0tUJi4K4DXYWgMUX
41,+3,Lim Young Woong - Eternal Moment,365,16,25608,8360136,75MOYjGEyyH5U4ZFHOPvxR
42,-4,TUIDE - GRLS,5,38,25532,115601,2uxeKIw5ancTu92x28Ctkf
43,-2,fromis_9 - Vitamin ME,39,15,25504,1313659,24nUVBIlCGi4twz4nYxJum
44,-1,NMIXX - Heavy Serenade,110,3,25474,4657865,28ot3wh4oNmoFOdVajibBl
45,-3,KiiiKiii - Candy Pink Magic Hole Flip Phone,19,21,24872,533829,63sat2XSMKdwKfqspmYQKP
46,+3,The Black Skirts - Ling Ling,296,41,23978,4221932,6WeDO4GynFmK4OxwkBzMW8
47,-1,Hearts2Hearts - STYLE,437,8,23168,12319647,1ZLU77nRzQIaP23mVSYpCQ
48,NEW,JENNIE - HEAVEN,1,48,23123,23123,250b0Wlc5Vk0CoUsaCY84M
49,+1,LEE CHANHYUK - Endangered Love,400,11,23053,9969359,4RkTSLr5Qf79FfUkeaDKbl
50,-5,Hearts2Hearts - FOCUS,313,6,22916,9795728,1ZLU77nRzQIaP23mVSYpCQ
51,+2,VINXEN - FLYING HIGH WITH U,194,21,22355,4426473,4T6xiCykTP9rCNaEPU7D4q
52,-5,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",162,2,21955,6770012,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
