pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,102,1,89242,10787438,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,71,2,78497,4180061,5deOsjuFTKrNMJW3rKuL8S
3,=,JENNIE - Less than a Lover,7,3,71713,483960,250b0Wlc5Vk0CoUsaCY84M
4,=,RESCENE - Pretty Girl,23,3,69059,1436303,5deOsjuFTKrNMJW3rKuL8S
5,=,aespa - LEMONADE,63,2,60005,4854539,6YVMFz59CuY7ngCxTxjpxE
6,=,ILLIT - It's Me,92,2,59186,6540466,36cgvBn0aadzOijnjjwqMN
7,=,Jimin - Who,742,1,58632,102735470,1oSPZhvZMIrWW5I41kPkkY
8,=,ATEEZ - BAD,31,7,51661,1232421,68KmkJeZGfwe1OUaivBa2L
9,+1,Hearts2Hearts - Lemon Tang,39,2,50661,2215048,1ZLU77nRzQIaP23mVSYpCQ
10,-1,HANRORO - 0+0,316,1,50625,15493843,5wVJpXzuKV6Xj7Yhsf2uYx
11,+1,Hearts2Hearts - RUDE!,161,1,48370,9856035,1ZLU77nRzQIaP23mVSYpCQ
12,-1,RESCENE - Deja Vu,60,10,47885,1569267,5deOsjuFTKrNMJW3rKuL8S
13,=,HANRORO - Landing in Love,381,1,47743,16789064,5wVJpXzuKV6Xj7Yhsf2uYx
14,=,I.O.I - Suddenly,72,4,46755,4055138,6RKnXXyprPjhBdCvL802Ku
15,=,fromis_9 - Vitamin ME,10,15,40823,318454,24nUVBIlCGi4twz4nYxJum
16,+4,Jung Kook - Seven (w/ Latto ),1113,1,38670,70532112,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
17,-1,HANRORO - Let Me Love My Youth,384,6,38086,10543491,5wVJpXzuKV6Xj7Yhsf2uYx
18,-1,KiiiKiii - 404 (New Era),186,1,37758,8988787,63sat2XSMKdwKfqspmYQKP
19,-1,WOODZ - Drowning,667,7,37249,15091413,6y9nlaoynxSvoTGY09Vdcy
20,-1,Nerd Connection - If I have you only (My love X Nerd Connection),988,15,35609,12449854,5WKUZJPvN1SScyggtPFShK
21,=,YENA - Catch Catch,136,10,34749,5076504,49muoiIu4uea4PO8vueUNN
22,=,Jin - Don’t Say You Love Me,441,1,34488,23530524,5vV3bFXnN6D6N3Nj4xRvaV
23,+3,BTS - SWIM,133,1,33744,7385263,3Nrfpe0tUJi4K4DXYWgMUX
24,-1,TAEYEON - Bansanka,32,10,33369,1184496,3qNVuliS40BLgXGxhdBdqu
