pos,change,title,days,peak,streams,total,artistIds
1,=,BIGBANG - BiiiG,4,1,80396,347136,4Kxlr1PRlDKEB0ekOCyHgX
2,=,CORTIS - REDRED,125,1,78015,12640009,1ebt9HnXdyYA6KgLXr1n4P
3,=,RESCENE - LOVE ATTACK,94,2,69818,5877650,5deOsjuFTKrNMJW3rKuL8S
4,+1,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),1740,3,65781,11242747,246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX
5,-1,KiiiKiii - Pop Off Pop Off,13,1,62874,802903,63sat2XSMKdwKfqspmYQKP
6,+2,RESCENE - Pretty Girl,46,3,57159,2798017,5deOsjuFTKrNMJW3rKuL8S
7,=,aespa - LEMONADE,86,2,54503,6179842,6YVMFz59CuY7ngCxTxjpxE
8,-2,Jimin - Who,765,1,51569,104041513,1oSPZhvZMIrWW5I41kPkkY
9,=,ATEEZ - BAD,54,7,49212,2336132,68KmkJeZGfwe1OUaivBa2L
10,+1,ILLIT - It's Me,115,2,48638,7701588,36cgvBn0aadzOijnjjwqMN
11,-1,RESCENE - Deja Vu,83,8,47416,2654949,5deOsjuFTKrNMJW3rKuL8S
12,=,HANRORO - 0+0,339,1,46050,16537458,5wVJpXzuKV6Xj7Yhsf2uYx
13,=,Hearts2Hearts - Lemon Tang,62,2,42119,3296312,1ZLU77nRzQIaP23mVSYpCQ
14,=,I.O.I - Suddenly,95,4,40707,5040665,6RKnXXyprPjhBdCvL802Ku
15,=,HANRORO - Landing in Love,404,1,40636,17768584,5wVJpXzuKV6Xj7Yhsf2uYx
16,+2,Hearts2Hearts - RUDE!,184,1,37031,10826894,1ZLU77nRzQIaP23mVSYpCQ
17,+5,Nerd Connection - If I have you only (My love X Nerd Connection),1011,15,36526,13243762,5WKUZJPvN1SScyggtPFShK
18,+5,Redoor - Forever Has Always Been,462,17,36464,9692255,5xhi1KB7WkPiTYb5Fm3YvS
19,=,WOODZ - Drowning,690,7,35082,15880465,6y9nlaoynxSvoTGY09Vdcy
20,+4,HANRORO - Let Me Love My Youth,407,6,34151,11355892,5wVJpXzuKV6Xj7Yhsf2uYx
21,-5,JENNIE - Less than a Lover,30,3,33846,1676797,250b0Wlc5Vk0CoUsaCY84M
22,-1,KiiiKiii - Candy Pink Magic Hole Flip Phone,13,21,33033,352658,63sat2XSMKdwKfqspmYQKP
23,+6,YENA - Catch Catch,159,10,32824,5846657,49muoiIu4uea4PO8vueUNN
24,-7,Jung Kook - Seven (w/ Latto ),1136,1,32803,71308368,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
25,=,KiiiKiii - 404 (New Era),209,1,32645,9807069,63sat2XSMKdwKfqspmYQKP
26,+5,BOL4 - Please Summer!,30,18,32583,821361,4k5fFEYgkWYrYvtOK3zVBl
27,+1,Hearts2Hearts - ICONIC HEART,11,19,32529,307057,1ZLU77nRzQIaP23mVSYpCQ
28,-8,Red Velvet - Surfin' Boy,20,12,31228,767556,1z4g3DjTBBZKhvAroFlhOM
29,-2,RESCENE - Runaway,85,17,31125,2154276,5deOsjuFTKrNMJW3rKuL8S
30,+4,JANNABI - for lovers who hesitate,1825,26,31049,11443371,2SY6OktZyMLdOnscX3DCyS
31,-1,fromis_9 - Vitamin ME,33,15,29817,1144943,24nUVBIlCGi4twz4nYxJum
32,+3,Epik High - Love Love Love,284,5,29594,8892611,5snNHNlYT2UrtZo5HCJkiw
33,-7,Jin - Don’t Say You Love Me,464,1,29523,24296889,5vV3bFXnN6D6N3Nj4xRvaV
34,-2,OFFICIAL HIGE DANDISM - Pretender,790,19,29359,12638228,5Vo1hnCRmCM6M4thZCInCj
35,+2,"Woo - We Are (w/ Loco , GRAY )",613,15,29126,7932229,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
36,+6,데이먼스 이어 Damons year - yours,1395,6,26766,19425658,2T5KKZuEEudb7alCJ1pCus
37,+8,tuki. - 晩餐歌,801,30,26734,8810894,1Y5vJqABeI6QI6R95EDV6o
38,+6,Nerd Connection - ‎Good Night Good Dream,796,28,26634,8574752,5WKUZJPvN1SScyggtPFShK
39,-1,NMIXX - Heavy Serenade,104,3,26544,4500667,28ot3wh4oNmoFOdVajibBl
40,-4,BTS - SWIM,156,1,26401,8052974,3Nrfpe0tUJi4K4DXYWgMUX
41,+5,LEE CHANHYUK - Endangered Love,394,11,25711,9822206,4RkTSLr5Qf79FfUkeaDKbl
42,+6,AKMU - Paradise of Rumors,138,1,25463,6078673,6OwKE9Ez6ALxpTaKcT5ayv
43,-2,The Black Skirts - Ling Ling,290,41,25344,4075322,6WeDO4GynFmK4OxwkBzMW8
44,-5,Lim Young Woong - Eternal Moment,359,16,25308,8204871,75MOYjGEyyH5U4ZFHOPvxR
45,-12,TAEYEON - Bansanka,55,10,25095,1833850,3qNVuliS40BLgXGxhdBdqu
46,-6,Hearts2Hearts - FOCUS,307,6,24526,9642573,1ZLU77nRzQIaP23mVSYpCQ
47,+3,VINXEN - FLYING HIGH WITH U,188,21,24499,4286347,4T6xiCykTP9rCNaEPU7D4q
48,-5,ENHYPEN - Bloody Paradise,2,43,24124,47976,5t5FqBwTcgKTaWmfEbwQY9
49,-2,Hearts2Hearts - STYLE,431,8,24052,12173852,1ZLU77nRzQIaP23mVSYpCQ
50,-1,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44 , SUNWOO )",156,2,23962,6627283,66LxteaHD7NvxCnkQoyw2G;6I5eyZiVUpuPwE8mTXp7hC;27Uaxd3EmAW0Hl3Atpf74q
51,=,ILLIT - Magnetic,881,1,22606,21001637,36cgvBn0aadzOijnjjwqMN
52,+4,Dominic Fike - Babydoll,158,51,20205,2659514,6USv9qhCn6zfxlBQIYJ9qs
53,=,CORTIS - GO!,327,6,19949,7874790,1ebt9HnXdyYA6KgLXr1n4P
54,+16,Epik High - 우산 (w/ Younha ),223,50,19112,2805910,5snNHNlYT2UrtZo5HCJkiw;6GwM5CHqhWXzG3l5kzRSAS
55,+4,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park ),481,49,19078,6065559,2dd5mrQZvg6SmahdgVKDzh;7MNyflLAWpaH0EPw1fdORD
56,-4,RESCENE - Pinball,49,50,18948,881790,5deOsjuFTKrNMJW3rKuL8S
57,+11,Sung Si Kyung - Every moment of you,288,41,18650,4336009,7jFUYMpMUBDL4JQtMZ5ilc
58,+2,Kim Na Young - A Letter For You,105,53,18481,1841818,4dvmLXorXADxVq8EcySEWk
59,+2,The Black Skirts - 1:05,493,45,18239,6489874,6WeDO4GynFmK4OxwkBzMW8
60,+31,Primary - Johnny (w/ Dynamicduo ),447,60,17823,5468818,4QDcs3XrA8uHUZ7Xt9Ytep;4nvFFLtv7ZqoTr83387uK4
61,-7,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj ),132,14,17515,3621024,1uNFoZAHBGtllmzznpCI3s;0hCNtLu0JehylgoiP8L4Gh
62,+2,Brown Eyes - 벌써 일년,521,34,17421,7571245,6O7LgtO6NKOOOudzRayUfJ
63,+23,BIGBANG - HARU HARU - KR Ver.,255,55,17322,2631828,4Kxlr1PRlDKEB0ekOCyHgX
64,+19,The NuTs - 사랑의 바보,603,50,17232,7101171,56NKtypwi90dIOb5ZQZwHb
65,-3,NewJeans - Hype Boy,1483,1,16991,25110059,6HvZYsbFfjnjFrWF950C9d
66,+1,Lady Gaga - Die With A Smile (w/ Bruno Mars ),737,5,16978,14337896,1HY2Jd0NmPuamShAr6KMms;0du5cEVh5yTK9QJze8zA0C
67,-2,ROSÉ - toxic till the end,626,2,16861,13203811,3eVa5w3URK5duf6eyVDbu9
68,-2,"AKMU - How can I love the heartbreak, you're the one I love",1079,24,16827,9109140,6OwKE9Ez6ALxpTaKcT5ayv
69,+5,"Heize - And July (w/ DEAN , dj friz )",95,53,16727,1699946,5dCvSnVduaFleCnyy98JMo;3eCd0TZrBPm2n9cDG6yWfF;0js3wKXyi7RL11sfOykRt1
70,+30,BIGBANG - Sunset Glow,286,50,16631,2974382,4Kxlr1PRlDKEB0ekOCyHgX
71,+17,She & Him - I Thought I Saw Your Face Today,20,70,16585,311283,3CIRif6ZAedT7kZSPvj2A4
72,+9,10CM - To Reach You,306,8,16575,4934547,6zn0ihyAApAYV51zpXxdEp
73,+9,G-DRAGON - CROOKED,657,21,16516,9722288,30b9WulBM8sFuBo17nNq9c
74,+4,Lim Young Woong - Unread Message,359,26,16473,6480491,75MOYjGEyyH5U4ZFHOPvxR
75,-4,NMIXX - Blue Valentine,314,3,16465,9061973,28ot3wh4oNmoFOdVajibBl
76,-21,Ariana Grande - hate that i made you love me,85,15,16431,2441742,66CXWjxzNUsdJxJ2JdwvnR
77,-4,Lim Young Woong - ULSSIGU,359,20,16379,6884025,75MOYjGEyyH5U4ZFHOPvxR
78,+18,hamo - 아크라포빅 (Akrapovic),190,4,16302,6279603,7bQHemX2QBqGaERdrfraNW
79,+14,The Black Skirts - EVERYTHING,1265,77,16251,9262198,6WeDO4GynFmK4OxwkBzMW8
80,+23,Lim Young Woong - Heavenly Ever After,496,9,16199,9869368,75MOYjGEyyH5U4ZFHOPvxR
81,+4,Yerin Baek - Antifreeze,681,5,16086,7119345,6dhfy4ByARPJdPtMyrUYJK
82,-25,CORTIS - ACAI,111,32,16041,2565436,1ebt9HnXdyYA6KgLXr1n4P
83,-4,BIG Naughty - Vancouver,1213,33,15914,8626408,7cEaNXXTHx3LokbjUUyHal
84,-12,Steve Lacy - oh yeah?,19,54,15834,331537,57vWImR43h4CaDao012Ofp
85,-5,fromis_9 - Supersonic,692,10,15805,10553614,24nUVBIlCGi4twz4nYxJum
86,+16,The Kid LAROI - Stay (w/ Justin Bieber ),1506,1,15716,13037904,2tIP7SsRs7vjIcLrU85W8J;1uNFoZAHBGtllmzznpCI3s
87,-3,Kenshi Yonezu - IRIS OUT,342,1,15375,14734895,1snhtMLeb2DYoMOcVbb8iB
88,-1,NELL - The time of walking on remembrance,67,62,15363,922566,5WY88tCMFA6J6vqSN3MmDZ
89,+8,ILLIT - NOT CUTE ANYMORE,272,2,15290,7565967,36cgvBn0aadzOijnjjwqMN
90,-13,"AKMU - Joy, Sorrow, A Beautiful Heart",138,3,15122,4334770,6OwKE9Ez6ALxpTaKcT5ayv
91,+76,freestyle - Y (Please Tell Me Why),97,91,15119,1232252,0LigV2SSsRZaeX2htEFXV9
92,+39,Izi - 응급실,521,51,15064,5960807,4PPkRMbw2jIs7flJkl4okf
93,-30,Jimin - Be Mine,745,2,15017,28592092,1oSPZhvZMIrWW5I41kPkkY
94,+11,"G-DRAGON - HOME SWEET HOME (w/ TAEYANG , DAESUNG )",419,2,14926,8671948,30b9WulBM8sFuBo17nNq9c;6udveWUgX4vu75FF0DTrXV;1OQxmfKN9UG5C7nr4MkasO
95,+23,"HAON - TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush) (w/ Nosun , Raf Sandou , Marv , Jung Junhyuk , ZICO )",170,2,14880,6322406,2krUNMgFZYm5s4Nn0g91W9;0BHYZCuuyLl53LVgeC3pUa;4FBKTurCVdtC6Fq8mSQgj8;1V2ep7618bYgCcTVyDKPcW;3AfvvgMrTONEdoXOfWrBoS;4XpUIb8uuNlIWVKmgKZXC0
96,RE,Yoon Do Hyun - I Guess I Loved You,1121,51,14868,9315370,6KsmQPHXE3qhzNNBPSZ0eB
97,+2,"Car, the garden - Closely Far Away",714,11,14821,11241980,7c1HgFDe8ogy5NOZ1ANCJQ
98,+6,M.C the Max - 행복하지 말아요,7,93,14806,94213,3MaRWfwKpbYnkYHC5gRKYo
99,-4,"Car, the garden - My whole world",232,3,14792,6026105,7c1HgFDe8ogy5NOZ1ANCJQ
100,+29,Zion.T - No Make Up,492,65,14787,5854983,5HenzRvMtSrgtvU16XAoby
101,+10,Lim Young Woong - Left in the Rain,359,30,14770,6193178,75MOYjGEyyH5U4ZFHOPvxR
102,-4,Kenshi Yonezu - Lemon,1391,25,14762,12080010,1snhtMLeb2DYoMOcVbb8iB
103,-2,Lim Young Woong - Wild flower,358,34,14661,6156274,75MOYjGEyyH5U4ZFHOPvxR
104,-28,aespa - Whiplash (English Version),7,64,14601,106816,6YVMFz59CuY7ngCxTxjpxE
105,+12,Lim Young Woong - Melody for You,358,35,14598,5956089,75MOYjGEyyH5U4ZFHOPvxR
106,+35,COOL - 애상,117,53,14462,1485833,0w3PsroIezW7uRTNxEJLb9
107,+5,DAY6 - Time of Our Life -Japanese ver.- - Japanese ver.,1345,12,14435,13321295,5TnQc2N1iKlFjYD7CPGvFc
108,+31,DPR LIVE - Jasmine,473,102,14299,2695839,0siBQaURCli5wn2lqv8WZg
109,-1,BOOHWAL - Never Ending Story,339,58,14294,3841399,2LtEDRKi75vGtsfdy205jX
110,-35,KATSEYE - Hootie Frutti,5,69,14256,79756,3c0gDdb9lhnHGFtP4prQpn
111,+13,DAY6 - HAPPY,739,4,14214,12411069,5TnQc2N1iKlFjYD7CPGvFc
112,+33,wave to earth - love.,295,107,14152,2859365,5069JTmv5ZDyPeZaCCXiCg
113,+8,ZICO - actually,47,113,14146,616232,4XpUIb8uuNlIWVKmgKZXC0
114,+12,Woody - Sadder Than Yesterday,271,69,14125,3024821,37ZY7eIcTT28id2jfq8WYw
115,-8,ILLIT - Billyeoon Goyangi (Do the Dance),433,4,14091,10227257,36cgvBn0aadzOijnjjwqMN
116,+32,d4vd - Here With Me,1297,23,14031,12830163,5y8tKLUfMvliMe8IKamR32
117,+41,Dynamicduo - Guilty,324,83,13998,3642802,4nvFFLtv7ZqoTr83387uK4
118,-29,Lim Hyun Jung - 사랑은 봄비처럼...이별은 겨울비처럼... - Bonus Track Version,15,86,13938,198565,7qUALZhWSQIwqTw1auwwCc
119,+13,DAVICHI - TIME CAPSULE,199,71,13912,2364253,4z6yrDz5GfKXkeQZjOaZdq
120,+3,The Black Skirts - Antifreeze,234,83,13838,3072521,6WeDO4GynFmK4OxwkBzMW8
121,+36,Ed Sheeran - Shape of You,962,77,13676,7007934,6eUKZXaKkcviH0Ku9w2n3V
122,+3,HWASA - Good Goodbye,254,4,13668,5049147,7bmYpVgQub656uNTu6qGNQ
123,+11,Lim Young Woong - Wonderful Life,358,35,13664,5885559,75MOYjGEyyH5U4ZFHOPvxR
124,+40,Dhruv - double take,1754,30,13578,11002216,70NcAr4ZtA3FAqU16iQZSb
125,+45,BIGBANG - BANG BANG BANG - KR Ver.,298,21,13555,3703203,4Kxlr1PRlDKEB0ekOCyHgX
126,+12,The Weeknd - Die For You,1282,34,13528,8572200,1Xyo4u8uXC1ZmMpatF05PJ
127,-14,HYUKOH - TOMBOY,810,39,13510,8922082,57okaLdCtv3nVBSn5otJkp
128,+24,HAON - Skrr (w/ GISELLE ),518,23,13491,6337910,2krUNMgFZYm5s4Nn0g91W9;2P1id80CMwR5R5cwcyIIAi
129,+14,"Leessang - 헤어지지 못하는 여자, 떠나가지 못하는 남자 Can't Breakup Girl, Can't Breakaway Boy (w/ Jung In )",14,129,13490,163198,0JGN9XIqm3vfg7hhPHjExI;0CO7rEbHBtpqgY9QPYJgPM
130,+33,Loco - Say Yes (w/ Punch ),433,61,13412,4876304,2e4G04F77jxVuDYo44TCSm;2FgZrgTMX6Sk0VNcOsEPmm
131,RE,"Primary - question mark (Feat. CHOIZA Of Dynamicduo, Zion.T) (w/ CHOIZA , Zion.T )",307,76,13388,3258454,4QDcs3XrA8uHUZ7Xt9Ytep;3vvgBPro7lDMdReL1Ct2Hx;5HenzRvMtSrgtvU16XAoby
132,+28,Shawn Mendes - There's Nothing Holdin' Me Back,447,92,13381,3217594,7n2wHs1TKAczGzO7Dd2rGr
133,-64,KiiiKiii - SWEET SOUR,13,55,13378,216786,63sat2XSMKdwKfqspmYQKP
134,-24,CORTIS - FaSHioN,282,12,13359,5072379,1ebt9HnXdyYA6KgLXr1n4P
135,+45,"Lim Young Woong - I’m sorry, But…",356,38,13357,5615235,75MOYjGEyyH5U4ZFHOPvxR
136,+48,CHOIJUNSEONG (Jun S) - L[ ]VE,86,16,13354,2039584,2RPo7pzzve2r1LufIxrPeR
137,+46,The Walters - I Love You So,750,58,13322,5006280,027TpXKGwdXP7iwbjUSpV8
138,+6,NewJeans - Ditto,1343,1,13298,24489875,6HvZYsbFfjnjFrWF950C9d
139,-23,Sung Si Kyung - Michide -On The Road-,272,51,13297,3807078,7jFUYMpMUBDL4JQtMZ5ilc
140,+7,The Black Skirts - Till The End of Time,278,67,13296,3189991,6WeDO4GynFmK4OxwkBzMW8
141,-47,KATSEYE - Animal,29,43,13282,565412,3c0gDdb9lhnHGFtP4prQpn
142,-6,george - Boat,541,49,13274,5075606,2pRZp2WxvnWWiSPcSSYkNV
143,+6,Yuuri - ベテルギウス,1222,18,13255,10840869,0ixzjrK1wkN2zWBXt3VW3W
144,+24,LEE MU JIN - Coming Of Age Story,448,66,13124,4961585,4Xj0peBt3EZHbdF20JmdWC
145,-18,BLACKPINK - As If It's Your Last,301,92,13116,1368394,41MozSoPIsD1dJM0CLPjZF
146,-31,BLACKPINK - JUMP,407,2,13087,11483490,41MozSoPIsD1dJM0CLPjZF
147,+34,BUMJIN - A Letter,934,33,13054,10442019,3vljSA6N2aSE8U3OhNFkPy
148,+5,"Paul Kim - Every day, Every Moment",557,62,12797,4449613,4qRXrzUmdy3p33lgvJEzdv
149,+28,BIGBANG - SOBER - KR Ver.,206,44,12746,2299569,4Kxlr1PRlDKEB0ekOCyHgX
150,-13,Na Yoon Kwon - 나였으면,177,74,12743,2078331,49fyJl5wIzI5GtRuCKxKRw
151,-29,Parc Jae Jung - Let's Say Goodbye,340,30,12731,2576453,7kXQtwn3ZRTBc8JYNyGwQy
152,-33,NewJeans - How Sweet,817,1,12713,15133267,6HvZYsbFfjnjFrWF950C9d
